doc_title,chunk_id,text,scene_context
11、INT. THEATRE - NIGHT,doc_10_chunk_8,,
11、INT. THEATRE - NIGHT,doc_10_chunk_1,H'mmmm.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_13,That's reassuring to know. But --,
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_4,So there'll be a little gossip about you in St. Petersburg...,
11、INT. THEATRE - NIGHT,doc_10_chunk_4,Yes.,
11、INT. THEATRE - NIGHT,doc_10_chunk_4,This is Dr. Watson.,
11、INT. THEATRE - NIGHT,doc_10_chunk_3,"That makes an even dozen -- in a messy
sort of way.",BOX: Holmes speaks to Watson while observing the orchestra during a performance.
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_7,"Nobody would dare. After all, you have an enviable record with the fair sex.",
11、INT. THEATRE - NIGHT,doc_10_chunk_11,It is only the extraordinary that interests me.,"Backstage, in the corridor near Madame Petrova's dressing room, Holmes speaks with Rogozhin about the case."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_7,What a shame.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_7,I must say she doesn't look thirty-eight.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_17,The point is that Tschaikowski is not an isolated case.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_17,If you want to be picturesque about it.,
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_3,"Watson, you have my most abject apologies. But have you ever been cornered by a madwoman? It seemed like the only way to get out of it without",
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_2,"From the sound of your footsteps, I gathered that you were not in a particularly amiable mood.","Holmes is in a shadowy corner, operating a smoking machine; Watson has just entered the room and approached him."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_18,"Believe me, Madame, the loss is all mine.But I would prefer to disappoint you now than disappoint you in a gondola in Venice.",
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_18,It would have been catastrophe.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_20,Watson!,"Scene: Holmes approaches Watson amidst revelers, trying to get his attention."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_20,"Watson, are you coming?","Scene: Holmes approaches Watson amidst revelers, asking if he is coming."
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_12,"I do. The sooner we solve the case, the sooner we can get rid of her.","Scene: Holmes speaks with Watson, emphasizing the urgency of solving the case to remove someone."
21、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_20_chunk_3,Why did you bring her here?,"Scene: On the landing above, Holmes speaks to the cab driver who has brought a woman from the river; the topic is why the cab driver chose to bring her to 221B Baker Street."
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_2,Can you think of your own name?,"Scene: Holmes is speaking to Gabrielle, who has amnesia, while Dr. Watson is present. The topic is Gabrielle's inability to recall her identity."
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_1,There was some printing on the back of this -- but it seems to have come off in the water.,
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_1,Could she have hit her head when she fell or jumped into the river?,
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_5,Vous etes Belge -- de Bruxelles!,"Scene: In a room, Holmes examines a label on Gabrielle's dress and addresses her, identifying her as being from Brussels."
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_3,"So all we know is that she was coshed on the head, dumped into the Thames, and subsequently dumped into our laps.",
23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,doc_22_chunk_3,Good work.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_11,Absolutely first-rate mind...,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_11,"Oh, you couldn't go wrong with Tschaikowski --",
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_11,Why?,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_11,"Pity, that.",
28、INT. HOLMES' BEDROOM - DAWN,doc_27_chunk_1,What?,
28、INT. HOLMES' BEDROOM - DAWN,doc_27_chunk_1,Did you?,
31、INT. LIVING ROOM - DAY,doc_30_chunk_10,Ashdown Street.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_8,How admirable.,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_8,Oh? Is he missing?,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_8,And that's why you called me in?,
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_8,"I see. The whole thing is still in the
planning stage --",
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_6,Then they'd really talk...,
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_6,"Of course, we can still see each other clandestinely -- on remote benches in Hyde Park, and in the waiting rooms of suburban railway stations --",
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_6,That's what I've been trying to tell you.,
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_5,"Watson, you're running amok.","Scene: In a room, Holmes speaks to Watson who is distressed about potential dishonor; Holmes comments on Watson's behavior."
16、INT. LIVING ROOM - NIGHT,doc_15_chunk_5,"Well, for one thing, I'd get rid of that flower.","Scene: In a room, Holmes advises Watson to remove a flower from behind his ear as part of calming down."
28、INT. HOLMES' BEDROOM - DAWN,doc_27_chunk_0,"Yes, Gabrielle.","Holmes is in his room examining a cardboard; Gabrielle comes out of Watson's bedroom and mistakes him for Emile, and he responds to her."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_9,Za zdrovie.,"Scene: At a table, Holmes responds to a toast with Petrova and Rogozhin."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_9,What's in it?,"Scene: At a table, Holmes speaks with Rogozhin after tasting the vodka."
12、INT. DRESSING ROOM - NIGHT,doc_11_chunk_9,Red pepper.,"Scene: At a table, Holmes identifies the taste of the vodka while speaking with Rogozhin."
