doc_title,chunk_id,fact,scene_context
134、INT. MIRROR CHAMBER - DAY.,doc_133_chunk_1,Ravenna stands in the fire and is unaffected by it.,Room with fire in the middle
132、INT. THRONE ROOM - DAY.,doc_131_chunk_2,The dark faeries are Ravenna's ultimate soldiers.,"Shards assemble into dark faeries, explicitly identified as Ravenna's ultimate soldiers."
101、INT. MIRROR ROOM - DAY.,doc_100_chunk_0,Ravenna is depleted.,mirror room
138、INT. MIRROR CHAMBER - DAY.,doc_137_chunk_1,Ravenna dies,mirror chamber
136、INT. MIRROR CHAMBER - DAY.,doc_135_chunk_3,Ravenna's face starts to age.,
11、INT. ROYAL BEDROOM - NIGHT,doc_10_chunk_3,Ravenna kills the King.,Inside the royal bedroom
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_10,Ravenna's face is younger.,"Scene 171b: Mirror Chamber, Royal Palace, Night"
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_10,Ravenna's energy has returned.,"Scene 171b: Mirror Chamber, Royal Palace, Night"
128、EXT. BALCONY/ RAVENNA'S CASTLE - DAY.,doc_127_chunk_0,Ravenna's soldiers are positioned to hold back Snow White's army.,Balcony above the portcullis during the battle
128、EXT. BALCONY/ RAVENNA'S CASTLE - DAY.,doc_127_chunk_0,Ravenna has planned the entire event and calculated every move.,Balcony above the portcullis during the battle
106、EXT. QUEEN'S BALCONY - ROYAL PALACE - NIGHT.,doc_105_chunk_0,Ravenna is addressed as 'Queen' by the Black Knight General.,On the balcony
18、INT. MIRROR CHAMBER - NIGHT,doc_17_chunk_4,Ravenna orders the execution of the wedding guests and nobles by sword.,"EXT. COURTYARD - NIGHT, wedding guests and nobles held by guards"
18、INT. MIRROR CHAMBER - NIGHT,doc_17_chunk_5,Ravenna orders Snow White to be locked away.,"Scene 20b: After Finn stops with Snow White, Ravenna gives the command."
27、INT. THRONE ROOM - DAY,doc_26_chunk_3,Ravenna was not wounded by the dagger thrust.,"Iain stabs Ravenna with a dagger, but she shows no injury."
19、INT. CASTLE - NORTH TOWER - NIGHT.,doc_18_chunk_1,The event of Snow White opening her eyes to see Ravenna and their eyes locking has occurred at least twice.,
19、INT. CASTLE - NORTH TOWER - NIGHT.,doc_18_chunk_1,Ravenna does not answer Snow White's question.,
27、INT. THRONE ROOM - DAY,doc_26_chunk_1,Ravenna is the Queen.,Soldier addresses Ravenna as 'My Queen'.
134、INT. MIRROR CHAMBER - DAY.,doc_133_chunk_2,Ravenna's skin blisters and heals.,
134、INT. MIRROR CHAMBER - DAY.,doc_133_chunk_2,The trap closes.,
106、EXT. QUEEN'S BALCONY - ROYAL PALACE - NIGHT.,doc_105_chunk_1,Ravenna understands Snow White.,Military briefing: Black Knight General reports enemy forces.
27、INT. THRONE ROOM - DAY,doc_26_chunk_9,Ravenna's lines vanish.,
114、EXT. BEACH - DAWN.,doc_113_chunk_0,The portcullis of Ravenna's castle is down.,"Snow White riding across dunes, castle visible with portcullis down."
132、INT. THRONE ROOM - DAY.,doc_131_chunk_6,Snow White is where Ravenna wants her to be.,"209b: Mirror Chamber, Day"
29、INT. MIRROR CHAMBER - DAY.,doc_28_chunk_0,Ravenna is rejuvenated.,
18、INT. MIRROR CHAMBER - NIGHT,doc_17_chunk_0,Ravenna is alone after soldiers depart.,After soldiers deliver an object and leave.
48、INT. THRONE ROOM - CASTLE - DAY.,doc_47_chunk_1,Ravenna orders Eric to locate and return the escaped prisoner to her.,Conversation with Eric and Finn about an escaped prisoner
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_8,Ravenna is unharmed by wounds.,Forest fight scene
97、EXT. HIGHLAND HILLS - DAY.,doc_96_chunk_2,"Ravenna has become the ravens, and the ravens have become her.","Scene 148a: Mirror Chamber, Royal Palace, Day"
9、INT. PREPARATION CHAMBER/ CASTLE - DAY.,doc_8_chunk_4,Ravenna pauses in response to Snow White's smile.,
16、INT. CORRIDOR OUTSIDE ROYAL BEDROOM - NIGHT.,doc_15_chunk_0,Finn and his knights appear beside Ravenna.,"Father's chamber corridor, Snow White discovers her father's body."
98、EXT. CAMP SITE/ MOUNTAINS - NIGHT.,doc_97_chunk_12,Ravenna's features are revealed to Snow White.,EXT. MOUNTAINS - DAWN
93、INT. THRONE ROOM - DAY,doc_92_chunk_0,Ravenna broke a connection.,
45、INT. MIRROR CHAMBER - NIGHT.,doc_44_chunk_3,Ravenna threatens Finn not to fail her again.,
45、INT. MIRROR CHAMBER - NIGHT.,doc_44_chunk_3,Ravenna orders Finn to bring someone who knows the Dark Forest well and can hunt her.,
25、INT. QUEEN'S BATHING ROOM - DAY.,doc_24_chunk_0,Ravenna is the commander of the Generals present.,"Private setting with Ravenna, her Generals, and Finn."
45、INT. MIRROR CHAMBER - NIGHT.,doc_44_chunk_2,Ravenna heals Finn's wound,Confrontation between Ravenna and Finn
48、INT. THRONE ROOM - CASTLE - DAY.,doc_47_chunk_0,Ravenna is the queen.,"Throne room, Eric enters and approaches Ravenna."
9、INT. PREPARATION CHAMBER/ CASTLE - DAY.,doc_8_chunk_0,Ravenna is being prepared for her wedding to the King.,Ravenna being prepared for wedding to the King.
