doc_title,chunk_id,fact,scene_context
105、INT. SLEEP CHAMBER,doc_104_chunk_2,Bower is in a chamber with only a foot of air remaining.,
104、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_103_chunk_0,Bower is inside the sleep-chamber.,Sleep-chamber compartment during tidal wave.
16、INT. VENTILATION SHAFT - LATER,doc_15_chunk_0,Bower successfully establishes radio contact with Payton after initial static.,"Bower in crawl space uses radio to contact Payton, who responds after static."
20、INT. VENTILATION SHAFT - CONT.,doc_19_chunk_0,"Bower sees small bolts protruding from the wall, small pieces of ripped fabric, and smears of blood.","Shaft interior, after the shudder fades."
31、INT. MESS HALL - LATER,doc_30_chunk_18,Bower commits to trying to contact the bridge.,Radio communication with Payton
31、INT. MESS HALL - LATER,doc_30_chunk_2,Bower is hit in the face.,"Bower ducks, peeks out, and is hit."
17、INT. SLEEP CHAMBER/CONTROL DESK,doc_16_chunk_0,Bower begins to freak out.,Payton listening to Bower on radio
33、INT. OFFICER'S QUARTERS - CONT.,doc_32_chunk_1,Bower is no longer in a trance.,
36、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_35_chunk_0,Bower explicitly refuses to return to Payton.,"Ship, radio conversation"
29、INT. CORRIDOR - CONT.,doc_28_chunk_2,Bower is in a silent stand-off with a man.,side corridor
4、INT. SLEEP CHAMBER COMPARTMENT - CONT.,doc_3_chunk_1,Bower's hair is pure white.,cavernous room
42、INT. INFIRMARY,doc_41_chunk_4,Bower realizes the window is an illusion.,"In a room, at the window."
24、INT. STORAGE BIN,doc_23_chunk_0,Bower is inside a small box-shaped bin.,
35、INT. OFFICERS QUARTERS,doc_34_chunk_4,"The antique pistol crumbles under Bower's grip, falling to pieces.",
45、INT. FILTRATION COMPARTMENT - MOMENTS LATER,doc_44_chunk_4,Bower's gun is jammed.,
29、INT. CORRIDOR - CONT.,doc_28_chunk_1,Bower picks a direction to proceed.,Intersection of corridors: Bower examines piping and picks a direction.
45、INT. FILTRATION COMPARTMENT - MOMENTS LATER,doc_44_chunk_7,Bower is completely unaffected by the threat.,Confrontation with Heflin
49、INT. CORRIDOR,doc_48_chunk_4,Bower breaks free from restraint,"Bower is restrained by a wire, which is slashed, leading to his release."
51、INT. REC ROOM - LATER,doc_50_chunk_2,Bower was rescued by Tanaka.,
5、INT. STORAGE LOCKER ROOM - MOMENTS LATER,doc_4_chunk_2,Bower sees a photo tucked inside the door.,inside the door
49、INT. CORRIDOR,doc_48_chunk_8,Bower has a tattoo.,Identification exchange between Tanaka and Bower
51、INT. REC ROOM - LATER,doc_50_chunk_3,Bower commands to hold it,Confrontation at a pool table
59、INT. PROCESSING DOCK -CONT.,doc_58_chunk_2,Bower is having difficulty keeping up with Nadia's pace.,maze of machinery
60、INT. SLEEP CHAMBER/MAIN CORRIDOR - CONT.,doc_59_chunk_0,Bower is inside the same sleep chamber as Nadia.,"Main corridor of sleep chambers, during a chase from hunters."
52、INT. CORRIDOR - MOMENTS LATER,doc_51_chunk_0,Bower sees Nadia.,"Corridor at sealed doorway, during attempt to wedge door open"
