id,scene,question,answer,evidence,qa_type
1,20 VEGETABLE GARDEN OF THE MANOR EXT/DAY,What visual impression does the scene of Franz cutting the cabbages create?,The whole scene looks like a mass execution.,The whole scene looks like a mass execution.,detailed description
2,34 IN FRONT OF THE CHURCH EXT/DAY,What does the term 'Gauntlet' refer to in the scene?,A hostile path formed by villagers shunning the farmer and his children.,"As the farmer Felder and his children come out, they're shunned. Gauntlet down the village street.",terminology/abbreviation/concept
3,7 RECTORY. DINING ROOM. INT/NIGHT,What is the purpose of the white ribbon the mother will tie on Marie and Martin after punishment?,To remind them of innocence and purity until their behavior shows trustworthiness again.,Its white color was to remind you of innocence and purity. ... you'll wear it until your behavior shows us that we can trust you again.,causal/relational queries
4,50 FARM BUILDINGS /EXT/DAY,What causes Paul to head for the living room instead of re-entering the stable?,He is unable to bring himself to enter the stable after seeing his father's body.,"As he touches the stable door, he lacks the strength to go inside again. Slowly he heads for the living room.",causal/relational queries
5,51 THE DOCTOR'S HOUSE. OFFICE. INT/DAY,Why does the doctor say he can no longer be intimate with the midwife?,He finds her physically repulsive and cannot endure being with her anymore.,"The doctor states he feels like throwing up when with her and can't stand her appearance, smell, or bad breath.",dialogue/beliefs
6,51 THE DOCTOR'S HOUSE. OFFICE. INT/DAY,What is the midwife's implied reason for enduring the doctor's cruelty?,"She provides essential help with his children and medical practice, making her indispensable to him.",The midwife says he can't afford to get rid of her because she does the dirty work and helps with the children and practice.,causal/relational queries
7,56 SCHOOL. INT/DAY,How does the pastor react when he first enters the classroom and what does he do to Marie?,"He grabs Marie by the ear and drags her to the stove, making her stand facing the wall.","Without saying a word, the pastor goes over to Marie, grabs her by the ear and drags her through the whole classroom to the stove, where he makes her stand, face to the wall.",detailed description
8,66 LANDSCAPE WITH A BROOK AND PASTURES EXT/DAY,How does Georg react immediately after taking Sigi's whistle and seeing him fall into the water?,"He hesitates with a helpless and defiant grin, seeing the danger but not helping due to pride.","Georg sees the danger, but his pride prevents him from helping him, as it means admitting his own unjust behavior. For a moment he hesitates, a helpless and defiant grin on his face.",detailed description
9,61 STREET. EXT/DAY,How does Eva physically react after the schoolteacher reassures her about his intentions?,"She puts her hand on his hands and the reins, then leans forward and kisses him cautiously on the lips.","After a few meters, Eva puts her hand on his hands and on the reins. He stops the carriage, she looks at him. EVA: Thanks. ... Suddenly Eva leans forward and kisses him on the lips very cautiously.",detailed description
10,61 STREET. EXT/DAY,What happens to the schoolteacher and Eva immediately after they kiss?,"They remain still, forget to breathe, then turn away from each other, sitting quietly and overwhelmed by happiness.","They remain that way for a long while without their bodies touching each other. After separating, they forget at first to keep breathing. Then, once the worst of the confusion has abated, they both turn away from each other.",detailed description
11,66 LANDSCAPE WITH A BROOK AND PASTURES EXT/DAY,What does Ferdinand do when he sees Sigi half submerged in the brook?,"He jumps into the water and pulls Sigi out, who then shakes his head to regain composure.","But Ferdinand has already jumped into the water and pulls out Sigi, who shakes his head to fully come to his senses.",detailed description
12,3 VILLAGE-STREET AND SCHOOL EXT/DAY,What is the emotional state of the midwife when she interacts with Marie?,She is tired of Marie's precocious and endless questions.,The midwife is tired of Marie's precocious and endless questions.,character states
13,3 VILLAGE-STREET AND SCHOOL EXT/DAY,What is Hans's behavioral state when he sees his mother surrounded by others?,He hesitates before approaching her.,"He hesitates, as he sees his mother surrounded by the others.",character states
14,16 ESTATE. THE STEWARD'S HOUSE. LIVING ROOM. BEDROOM.,How does Ferdinand's behavioral state change after being reprimanded by the midwife?,"He becomes apologetic and subdued, saying 'Sorry' suddenly.","Ferdinand (Suddenly, as if he'd become another person): Sorry.",character states
