doc_title,chunk_id,description,scene_context
108、INT. TV STUDIO - NIGHT,doc_107_chunk_0,Chance continues.,
124、EXT. SOPHIE'S - EVENING,doc_123_chunk_1,continues to pose for pictures,
113、INT. TV STATION - CORRIDOR - NIGHT,doc_112_chunk_0,Chance smiles at well-wishers,"Corridor, walking with Colson and Hull"
124、EXT. SOPHIE'S - EVENING,doc_123_chunk_0,smiling for photogs,"Sophie's house, press gathering after limousine arrives"
118、INT. RAND MANSION - THIRD FLOOR HALLWAY - NIGHT,doc_117_chunk_1,Chance heads for his room as though nothing had happened.,After Eve closes her bedroom door
127、INT. SOPHIE'S - NIGHT,doc_126_chunk_1,Chance warmly shakes Skrapinov's hand with both of his own.,Introduction of Chance to Ambassador Skrapinov and his wife
127、INT. SOPHIE'S - NIGHT,doc_126_chunk_1,Chance smiles at Mrs. Skrapinov as The Ambassador puts an arm around him.,Introduction of Chance to Ambassador Skrapinov and his wife
121、INT. CHANCE'S ROOM - MORNING,doc_120_chunk_0,"Chance is in bed, a bed tray on his lap, eating breakfast.",Chance's bedroom
121、INT. CHANCE'S ROOM - MORNING,doc_120_chunk_0,"The TV is playing, Chance watches as he eats.",Chance's bedroom
109、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_108_chunk_2,"(reaches out, takes her hand)",
124、EXT. SOPHIE'S - EVENING,doc_123_chunk_3,"Eve and Chance walk toward the front door, leaving the newsmen to talk among themselves.","Front door, leaving newsmen behind"
106、INT. RAND MANSION - ALLENBY'S BEDROOM - NIGHT,doc_105_chunk_0,both looking into camera,"Television broadcast, camera pulls back to include Chance and Dupont"
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_2,Chance holds it,
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_2,Eve and Chance quietly leave the room.,
116、EXT. RAND MANSION - NIGHT,doc_115_chunk_0,"Chance accepts the pludit, though does not understand the reason.","Front steps, Chance steps from limousine"
11、INT. CHANCE'S ROOM - DAWN,doc_10_chunk_0,returns to his room,In Chance's room and bathroom
11、INT. CHANCE'S ROOM - DAWN,doc_10_chunk_0,changes channels on the television,In Chance's room and bathroom
11、INT. CHANCE'S ROOM - DAWN,doc_10_chunk_0,takes off his robe and hangs it back up in the closet,In Chance's room and bathroom
11、INT. CHANCE'S ROOM - DAWN,doc_10_chunk_0,goes into the bathroom,In Chance's room and bathroom
129、INT. SOPHIE'S HOUSE - DINNER PARTY - NIGHT,doc_128_chunk_1,(mild interest),
118、INT. RAND MANSION - THIRD FLOOR HALLWAY - NIGHT,doc_117_chunk_0,"Chance looks back at the elevator for a beat, then the two walk quietly down the hall.","Hallway, elevator exit"
133、INT. SOPHIE'S HOUSE - UPSTAIRS ROOM - NIGHT,doc_132_chunk_0,Chance sees a very small pocket television on a desk.,"Small room, dim lighting, Dennis lying on floor"
133、INT. SOPHIE'S HOUSE - UPSTAIRS ROOM - NIGHT,doc_132_chunk_0,He turns the TV on.,"Small room, dim lighting, Dennis lying on floor"
131、INT. SOPHIE'S HOUSE - DINNER PARTY - NIGHT,doc_130_chunk_0,Chance gives him an innocent smile.,"Living room, Dennis whispers to Chance"
131、INT. SOPHIE'S HOUSE - DINNER PARTY - NIGHT,doc_130_chunk_0,(no reaction from Chance),"Living room, Dennis pleads to go upstairs"
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_0,stands nearby,"Rand's bedside, Allenby preparing injection"
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_0,breathes deeply,"Rand's bedside, Allenby preparing injection"
117、INT. RAND'S HOSPITAL ROOM - NIGHT,doc_116_chunk_0,enjoys the oxygen,"Rand's bedside, Allenby preparing injection"
110、INT. TV STUDIO - NIGHT,doc_109_chunk_0,with confidence,
