doc_title,chunk_id,fact,scene_context
41、INT. VIOLET'S BEDROOM - DAY,doc_40_chunk_1,Violet is on her first book tour in New York.,"New York, first book tour"
17、INT. UPSTAIRS HALLWAY/STAIRS/ATTIC ROOM - TWILIGHT,doc_16_chunk_0,Violet was married to Bev.,"Hallway, Jean viewing ancestral photos"
19、EXT. WESTON HOUSE FRONT PORCH - NIGHT,doc_18_chunk_1,The book is dedicated to Violet.,Bill reads a book dedication.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,Violet starts to break down.,"Bathroom, during a conversation about addiction and pain."
34、EXT. WESTON HOUSE - DAY,doc_33_chunk_0,Violet is wearing mourning black.,Walking to Beverly's Lincoln car
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,Violet requests Barbara and Bill to go through Beverly's things and help with the paperwork.,"House, Violet requests help with Beverly's things and paperwork."
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_17,Violet leaves the scene.,
44、INT. VIOLET'S BEDROOM - DAY,doc_43_chunk_4,Violet refuses to leave it alone.,
30、INT. LIVING ROOM - PRE-DAWN,doc_29_chunk_2,Violet stops dancing.,
44、INT. VIOLET'S BEDROOM - DAY,doc_43_chunk_0,Violet receives a photo from Mattie Fae,In the bedroom
62、INT/EXT. TALLGRASS PRAIRIE PRESERVE/BEV'S LINCOLN - DAY,doc_61_chunk_4,Violet is lost in the unforgiving prairie.,unforgiving prairie
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_13,Violet is in the kitchen.,kitchen
72、INT. THE WESTON HOUSE/KITCHEN - DAY,doc_71_chunk_3,Violet refuses to eat.,"Barbara urges Violet to eat, Violet refuses."
72、INT. THE WESTON HOUSE/KITCHEN - DAY,doc_71_chunk_4,Violet refuses to eat the catfish.,
72、INT. THE WESTON HOUSE/KITCHEN - DAY,doc_71_chunk_4,Violet dismisses Ivy's attempt to talk to Barbara.,
9、INT/EXT. CHARLIE'S CADILLAC/WESTON HOUSE - DAY,doc_8_chunk_0,Mattie Fae is Violet's baby sister.,Car scene: Mattie Fae introduced as Violet's baby sister.
54、INT. DINING ROOM - AFTERNOON,doc_53_chunk_43,Violet wrests the pills from Barb.,
26、INT. UPSTAIRS HALLWAY - MOMENTS LATER,doc_25_chunk_0,Violet is in her room.,"Hallway outside Violet's room, Barbara knocking on the door"
58、EXT. WESTON HOUSE YARD - NIGHT 72 *,doc_57_chunk_5,Violet was wearing boots when Raymond saw her.,Christmas memory
58、EXT. WESTON HOUSE YARD - NIGHT 72 *,doc_57_chunk_7,Violet is Karen's mother.,Karen and Violet share an affectionate moment.
75、INT. WESTON HOUSE - CONTINUOUS,doc_74_chunk_11,Violet is alone outside on the walkway.,"Outside the house, driveway empty after Barbara drives off."
