doc_title,chunk_id,text,scene_context
126、EXT. PARKING AREA,doc_125_chunk_0,Yes. You can let her go now.,Parking lot: Paul speaks with Jimbo about releasing Margaret.
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_0,Raymond... please. But shooting your brother is tougher than it looks.,Snowy outdoor scene: Paul speaks to Raymond about shooting his brother
19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS,doc_18_chunk_0,"Jodie, no! Not for dogs!",Garage: Paul tells Jodie not to chew on the dead body.
25、INT. KITCHEN OVEN,doc_24_chunk_0,How's my Angel tonight?,"Kitchen, Paul speaks to Margaret about her well-being"
19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS,doc_18_chunk_2,Hey Honey. Any mail?,"In the house, Paul speaks to his partner about mail."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_3,Did... you ever meet my brother Raymond?,Paul and AVIS discussing Raymond's disappearance
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_3,"Uh huh. Well anyway last night there's a knock on the door and there's Raymond, just... standing there on the doorstep.",Paul and AVIS discussing Raymond's return
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_4,Oh God... Oh Jesus...,"Paul cradling his wife's body, thinking she is dead"
127、INT. TED'S CAR,doc_126_chunk_2,Come on! Where would I get another one? Good point.,"Paul's open trunk, with Jimbo and Gary, discussing the body."
19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS,doc_18_chunk_1,OK then. OK.,Paul packs and locks the fridge.
16、EXT. INSIDE THE DUMPSTER,doc_15_chunk_0,"Well I don't know. I, I, I have no clue. Could it possibly be a problem on your end? So the electric company never makes a... Look, I pay my bills. I'm a Rotarian for goodness --","On the phone with electric company, discussing bill issue while checking soggy pages."
25、INT. KITCHEN OVEN,doc_24_chunk_7,Raymond... Barnell.,"In a restaurant, Paul writes his name on a credit card application and speaks to himself."
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_0,It's all over honey. It's all over. Did they hurt you?,"At Jimbo's car, Paul Barnell speaks to his wife Margaret about the rescue and her condition."
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_0,You know me when I get busy.,"At Jimbo's car, Paul Barnell responds to Margaret's question about food poisoning."
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_0,Just a little.,"At Jimbo's car, Paul Barnell responds to Margaret's question about the bruise."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_1,Thanks Avis. Looks good.,"Office, Avis offers coffee; Paul thanks and comments"
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_1,Was November this bad last year?,"Office, Paul asks about November weather"
139、EXT. STREET / LIBERTY CAPITAL TOWERS - DAY,doc_138_chunk_4,How you feeling?,"At the door, Paul and Margaret preparing to leave in a cab."
139、EXT. STREET / LIBERTY CAPITAL TOWERS - DAY,doc_138_chunk_4,I can tell.,"At the door, Paul and Margaret preparing to leave in a cab."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_2,"Yeah, it was not working. Any calls?","In Paul's office, speaking with Avis about recent calls"
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_2,Something... strange happened last night Avis.,"In Paul's office, speaking with Avis about a strange event last night"
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_5,Florida.,"Hawaii display, speaking with Avis about Florida residence and wife's health."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_5,A uh... small place. By the beach.,"Hawaii display, speaking with Avis about Florida residence and wife's health."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_5,"Better, a little better. Some days are better than others.","Hawaii display, speaking with Avis about Florida residence and wife's health."
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_0,No. You want a refill?,"Raymond on sofa, Paul off-screen; Paul responds to Raymond's question and offers a refill."
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_4,"Dead? No. I mean, they said he hadn't been gone long enough.",Room: Paul and Avis discuss a missing person's status (not dead).
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_4,Lower 48. Said he wanted to get away from the cold.,Room: Paul and Avis discuss the missing person's whereabouts.
"21、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - MORNING",doc_20_chunk_4,"Sorry, what was that?",Room: Paul and Avis discuss the missing person's whereabouts (Paul requests repetition).
12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,doc_11_chunk_1,That's... quite the fish.,"In a meeting with Branch, Paul comments on a fish (before Ted enters)."
12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,doc_11_chunk_1,"Yes, Raymond. You see, as I've already explained to Mr. Branch, he's been gone for five years now, and I thought it might be time to... move on.","In a meeting with Branch and Ted, Paul discusses his brother's life insurance policy."
36、INT. MRS. WHERRY'S HOME - CONTINUOUS,doc_35_chunk_0,I'm afraid I don't understand Mrs. Wherry.,"Mrs. Wherry's kitchen, phone conversation with Mrs. Wherry about clearing the driveway"
108、INT. BARNELL MOBILE HOME / LIVING ROOM,doc_107_chunk_0,"We're out of coffee. But I'll be right back. Still early.
Not to worry. Raymond has already rolled over.","In the bedroom, speaking with Raymond about going for coffee."
50、EXT. BOTTOM OF RIDGE - DAY,doc_49_chunk_2,How did you...?,Detective Boyle questions Paul about an anonymous tip regarding a body.
17、EXT. PARKING AREA / STRIP MALL,doc_16_chunk_1,Hello?,"Scene A15: BARNELL GREAT ESCAPES TRAVEL office, Paul on phone."
14、INT. PAUL'S CAR - CONTINUOUS,doc_13_chunk_0,"Hang on, hang on. First off, how did you get my cell number? (Beat) Because it's for mechanical and medical emergencies only.","Driving in car, on phone call about emergency cell number use."
14、INT. PAUL'S CAR - CONTINUOUS,doc_13_chunk_0,Great.,"After coffee spill, in car, on phone."
14、INT. PAUL'S CAR - CONTINUOUS,doc_13_chunk_0,"No, I'm not... I just... give me a second here.","After coffee spill, on phone, asking for a second."
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_1,They said it'd be in tomorrow by --,"Paul and Raymond drinking, reminiscing about school incident and nickname 'Puddles'."
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_1,Was pretty funny. Bottoms up.,"Paul and Raymond drinking, reminiscing about school incident and nickname 'Puddles'."
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_1,It's early. Come on... ya... ...pussy.,"Paul and Raymond drinking, reminiscing about school incident and nickname 'Puddles'."
25、INT. KITCHEN OVEN,doc_24_chunk_4,What'cha saying there Raymond? Wha'cha saying 'bout me?,Paul and Raymond in a crowd; Paul teases Raymond about what he's saying.
25、INT. KITCHEN OVEN,doc_24_chunk_4,"Ray's a little jeallllllllous. This is the one that got away, right Ray?",Paul and Raymond in a crowd; Paul teases Raymond about jealousy and 'the one that got away'.
35、INT. PAUL'S KITCHEN - NIGHT,doc_34_chunk_0,"Sweetie, don't you worry about Raymond.",House: Paul speaks to Margaret about Raymond's absence.
35、INT. PAUL'S KITCHEN - NIGHT,doc_34_chunk_0,"I know. He, he said he's probably gonna head back down South soon.",House: Paul reassures Margaret about Raymond's plans to return to the South.
53、EXT. PAUL'S HOUSE - SUNSET,doc_52_chunk_0,Yes.,TV news interview on Paul's stoop with reporter
47、EXT. BOTTOM OF THE RIDGE - SUNSET,doc_46_chunk_0,Sorry about this part.,"Paul smearing lard on corpse's face, apologizing for the part."
50、EXT. BOTTOM OF RIDGE - DAY,doc_49_chunk_4,They chewed his ears off. What kind of animal does something like that?,"At a crime scene, Paul Barnell and Detective Boyle discuss the animal attack."
37、INT. PAUL'S KITCHEN,doc_36_chunk_0,"Oh I see. No, you see that must have been
Raymond. (beat) Very much so. No, no one was
more surprised than we were. (beat) No, he's...
indisposed right now, but I'm sure you'll see him
again. He's going to stay at the cabin for a while
until he... leaves. And bless you too.","Paul shakes off his boots, speaking to an unknown person about Raymond's situation."
64、EXT. GRAVEYARD,doc_63_chunk_0,"That was lovely, thank you so much.","Funeral, Paul thanks the minister."
43、EXT. TOP OF THE RIDGE / FOREST - MORNING,doc_42_chunk_0,"Well come on! How much easier do I have to make
this?","Wilderness, Paul at corpse, urging unseen person"
50、EXT. BOTTOM OF RIDGE - DAY,doc_49_chunk_3,Just like on TV.,Crime scene: Paul compares the situation to a TV show while speaking to Detective Boyle.
50、EXT. BOTTOM OF RIDGE - DAY,doc_49_chunk_3,I've got to see him. Please.,Crime scene: Paul insists on seeing the body despite Boyle's warning about the animal attack.
53、EXT. PAUL'S HOUSE - SUNSET,doc_52_chunk_1,"Obviously, my wife's very upset...","Front door, speaking to Margaret (off-screen) about his wife's upset state"
53、EXT. PAUL'S HOUSE - SUNSET,doc_52_chunk_1,"It's been a tough, you know, when something like this happens you just have to ask yourself...","Front door, ignoring Margaret, discussing the stress of the situation"
53、EXT. PAUL'S HOUSE - SUNSET,doc_52_chunk_1,"You can see how stressful it's been, I should really go now. We have to plan a service.","Front door, Paul states he must go to plan a service and then leaves"
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_0,Hey. How's my Princess?,"At Paul's desk, Paul greets Margaret upon her entrance."
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_0,"Honey, you know how expensive that is. I thought we agreed that...","At Paul's desk, Paul expresses concern about the cost of Margaret's psychic call and Adavan."
39、INT. PAUL'S CAR - CONTINUOUS,doc_38_chunk_0,"...It was my own lovely lady, and she said, oh it's
you...","Scene A48: Wilderness Road Turnout, Night. Paul sings along to the radio."
64、EXT. GRAVEYARD,doc_63_chunk_2,"Why don't you wait in the car, sweetheart?","Paul speaks to Margaret, instructing her to wait in the car while TV news vans are visible."
64、EXT. GRAVEYARD,doc_63_chunk_2,She's under a little strain right now.,Paul comments to Ted about Margaret's stress while observing TV news vans on a hill.
46、EXT. BOTTOM OF THE RIDGE - SUNSET,doc_45_chunk_0,"You may want to take a gander. You may want to
take a gander...","Rock face, Paul descending toward corpse, speaking to an unseen person about the corpse."
64、EXT. GRAVEYARD,doc_63_chunk_3,I called them.,"With TED, discussing media presence"
64、EXT. GRAVEYARD,doc_63_chunk_3,"Well, they've been asking me to talk some more about Raymond. I thought now might be an appropriate time.","With TED, explaining about Raymond"
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_3,I'm sorry. I'm just really tired.,Margaret threatens suicide; Paul responds.
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_3,I know. They just don't --,Margaret threatens suicide; Paul responds.
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_3,That is nonsense talk.,Margaret threatens suicide; Paul responds.
76、EXT. BARNELL MOBILE HOME - NIGHT,doc_75_chunk_0,Just for a bit.,"At Mrs. Wherry's deck, speaking with Mrs. Wherry about moving in."
15、EXT. STRIP MALL,doc_14_chunk_0,"Yes, and that check went out a week ago. I watched my secretary write it up.","On the phone near a dumpster, discussing a check."
77、INT. BARNELL MOBILE HOME - NIGHT,doc_76_chunk_0,"Would it have killed you to clean up before you left, Raymond?","Mobile home, speaking to himself about the mess"
59、INT. BARNELL HOME / STUDY - EVENING,doc_58_chunk_5,That's my girl.,Ted's Apartment: Paul and Margaret conversing
72、INT. BARNELL HOME / LIVING ROOM - LATER,doc_71_chunk_0,"We, we had a life insurance policy on my brother. It was for... 100,000 dollars.",Room with sofa: Paul and Gary discuss life insurance policy.
72、INT. BARNELL HOME / LIVING ROOM - LATER,doc_71_chunk_1,Here?,Paul questions Gary's plan to stay at the current location.
71、INT. BARNELL HOME / KITCHEN,doc_70_chunk_0,Hey Maggie-magster. How ya --,"In the house, Paul enters from garage, sees Margaret (mouth taped) and Gary/Jimbo at table, addresses Maggie"
71、INT. BARNELL HOME / KITCHEN,doc_70_chunk_0,What are you people doing in my house?,"In the house, after Gary shows gun, Paul confronts Gary and Jimbo"
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_5,Can you stand.,Paul and Margaret approaching Gary and Jimbo by a car; Paul speaks to Margaret about her condition.
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_5,"Okay, easy... Gary is behind the other car with Jimbo.",Paul and Margaret approaching Gary and Jimbo by a car; Paul speaks to Margaret about Gary's location.
80、INT. MOBILE HOME - LATE NIGHT,doc_79_chunk_1,Raymond? Is that...,Serving hatch: Paul speaks to Raymond Barnell after being thrown through the hatch.
64、EXT. GRAVEYARD,doc_63_chunk_1,"It's OK. We just wrapped up. This is my wife, Margaret.","In a snowy setting, the target character speaks with Ted and introduces his wife Margaret."
80、INT. MOBILE HOME - LATE NIGHT,doc_79_chunk_0,Who is it?,Doorway: Paul asks who is at the door after a knock.
