doc_title,chunk_id,text,scene_context
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_7,You knew he was the smartest one in,
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_15,Broke his heart.,"With Barbara, discussing Bill's heartbreak."
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_2,"Yes, Sunday. No sign. I started getting worried, don'tcha know. That's when I got worked up about that safety deposit box. We kept an awful lot of cash in that box, some expensive jewelry. I had a diamond ring in that box appraised at seven thousand dollars --",Conversation with Barbara and Bill about a missing person and a safety deposit box.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,You're just the prettiest thing. Thank you for coming to see me.,"Speaking to Barbara, Violet compliments her appearance and thanks her for visiting."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,"She had it straightened. Barbara, nor Bill, it doesn't matter, I need you to go through Beverly's things, help me with this paperwork.","Speaking to Barbara and Bill, Violet requests assistance with Beverly's belongings and paperwork."
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_5,"Yes. Hi, Bill.",Violet greets Bill and Jean upon their arrival.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_5,I'm just so scared.,Violet expresses fear to Mattie Fae.
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_5,"Well, look at you.",Violet comments on Jean's appearance.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,Excuse me.,"Bathroom, speaking with Barb about pills and calls"
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,A muscle relaxer.,"Bathroom, speaking with Barb about pills and calls"
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,I don't know what you're talking about.,"Bathroom, speaking with Barb about pills and calls"
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_0,Stop yelling at me!,"Bathroom, speaking with Barb about pills and calls"
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_5,"I had to wait for the bank to open on Monday. And after I emptied that box, I called the police and reported him missing. Monday morning.",Kitchen: Violet and Barbara discuss the safety deposit box and reporting a missing person.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_5,"I didn't want to worry you, honey --",Kitchen: Violet and Barbara discuss the safety deposit box and reporting a missing person.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_3,"Well, I know what you'll say about this, but, your father and I had an urge-ment... arrangement. If something were to ever happen to one of us, the other one would go empty that box.",Barbara questions Violet about a safety deposit box; Violet explains an arrangement with Barbara's father.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_0,"Saturday morning. The Indian girl made us biscuits and gravy. We ate some, he walked out the door, this door right there. Got into his truck. And that was it.",Back porch: Violet speaking to Bill about Saturday morning events.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_12,"Because you're ""dutiful.""",Kitchen: Violet speaks to Barbara about her granddaughter and Barbara's past actions.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_12,I don't care about you two. I'd like to see my granddaughter every now --,Kitchen: Violet speaks to Barbara about her granddaughter and Barbara's past actions.
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_12,But your father. You broke his heart when you moved away.,Kitchen: Violet speaks to Barbara about her granddaughter and Barbara's past actions.
30、INT. LIVING ROOM - PRE-DAWN,doc_29_chunk_0,Izza story. Barely's back. Did sum Beer-ley come home?,"In a house, speaking to the Sheriff about Barely and cigarettes."
30、INT. LIVING ROOM - PRE-DAWN,doc_29_chunk_0,"Gizza cig... some cigezze? Cig-zezz, cig-zizz... cig-uhzzz...","In a house, speaking to the Sheriff about Barely and cigarettes."
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,It's not the same thing. I didn't have a reason.,Bathroom: Violet and Barbara discuss Violet's pain and chemo.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,I'm not hooked on anything.,Bathroom: Violet and Barbara discuss Violet's pain and chemo.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,I'm not. I'm in pain.,Bathroom: Violet and Barbara discuss Violet's pain and chemo.
16、INT. BATHROOM - LATE AFTERNOON,doc_15_chunk_1,"Yes, because my mouth burns from the chemotheeeahh --",Bathroom: Violet and Barbara discuss Violet's pain and chemo.
