doc_title,chunk_id,description,scene_context
261、INT. DENTIST - NEXT DAY,doc_260_chunk_3,Stan notices the technician.,
258、EXT. PHONE CUBICLE,doc_257_chunk_0,Stan answers the phone.,
272、INT. OPERATIONS CENTER - DAY,doc_271_chunk_2,He holds out a badge.,
336、INT. MD-11 - NIGHT,doc_335_chunk_0,Stan stands smiling over Chuck.,
271、INT. CAR - MEMPHIS FREEWAY,doc_270_chunk_0,Stan drives with a certain aggressiveness.,Driving in city traffic
36、INT. MD-11 - NIGHT,doc_35_chunk_0,Stan stands smiling over Chuck.,
367、INT. FEDEX OFFICE - LATER THAT DAY,doc_366_chunk_0,Stan enters.,Chuck's office
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_1,Stan hoists his glass.,
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_1,Stan looks over at him.,
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_0,Stan pulls a flask out of his bag.,"On a plane, after the survival event"
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_0,"Stan takes two glasses from his bag, rests them on a FedEx container, and pours the whiskey.","On a plane, after the survival event"
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_2,"Stan sits back, repulsed but relieved.",
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_2,He pours another drink.,
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_2,"He takes a sip of his drink, just savoring it, thinking.",
334、INT. MD-11 - NIGHT,doc_333_chunk_5,Stan puts on his Walkman.,
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_1,Stan is right by him.,"Airport, cargo door opening"
368、INT. OPERATIONS ROOM - MINUTES LATER,doc_367_chunk_2,And Stan is impressed.,
261、INT. DENTIST - NEXT DAY,doc_260_chunk_2,Stan bursts into the room.,Inside a room
261、INT. DENTIST - NEXT DAY,doc_260_chunk_2,Stan holds Chuck by the shoulders and looks at him.,Inside a room
262、INT. DENTIST - WAITING ROOM,doc_261_chunk_4,"Stan appears, takes in the scene.",Waiting area
350、INT. EXECUTIVE CONFERENCE ROOM - MOMENTS LATER,doc_349_chunk_5,Stan is doing his best to back up Chuck.,
50、INT. EXECUTIVE CONFERENCE ROOM - MOMENTS LATER,doc_49_chunk_5,Stan is doing his best to back up Chuck.,
34、INT. MD-11 - NIGHT,doc_33_chunk_5,Stan puts on his Walkman.,
264、INT. FEDEX PLANE - NIGHT,doc_263_chunk_3,All those things Stan used to tell him.,
34、INT. MD-11 - NIGHT,doc_33_chunk_0,Stan is doing tai chi amidst the FedEx containers.,Amidst FedEx containers
34、INT. MD-11 - NIGHT,doc_33_chunk_0,"Stan comes over, looks at the image on the computer.",At Chuck's computer
562、INT. DENTIST - WAITING ROOM,doc_561_chunk_4,"Stan appears, takes in the scene.",Waiting room with patients
68、INT. OPERATIONS ROOM - MINUTES LATER,doc_67_chunk_2,And Stan is impressed.,
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_2,Smile,"At the steps, crowd celebration"
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_2,Wave,"At the steps, crowd celebration"
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_2,steers Chuck down the steps,"At the steps, crowd celebration"
564、INT. FEDEX PLANE - NIGHT,doc_563_chunk_3,All those things Stan used to tell him.,
334、INT. MD-11 - NIGHT,doc_333_chunk_0,Stan is doing tai chi amidst the FedEx containers.,Amidst FedEx containers
334、INT. MD-11 - NIGHT,doc_333_chunk_0,"Stan comes over, looks at the image on the computer.",At Chuck's computer
561、INT. DENTIST - NEXT DAY,doc_560_chunk_3,Stan notices the technician.,
566、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_565_chunk_3,Stan and Chuck head for the podium.,
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_3,Stan nudges Chuck.,"At an event, time to go to the podium"
266、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_265_chunk_3,Stan and Chuck head for the podium.,"At an event, heading to the podium"
566、EXT. MEMPHIS SUPERHUB - MOMENTS LATER,doc_565_chunk_1,Stan is right by him.,"Airport tarmac, Chuck appears from plane"
263、EXT. HAWAII - DAY,doc_262_chunk_0,Stan examines the ropes around the logs.,"Dock, raft present"
263、EXT. HAWAII - DAY,doc_262_chunk_3,And he leaves.,Leaving to take Kelly to the airport.
564、INT. FEDEX PLANE - NIGHT,doc_563_chunk_1,Stan hoists his glass.,
564、INT. FEDEX PLANE - NIGHT,doc_563_chunk_1,"Now's when Stan gets to the question he's been wanting to ask, that Kelly wanted to know, that we all want to know.",
564、INT. FEDEX PLANE - NIGHT,doc_563_chunk_1,Stan looks over at him.,
