doc_title,chunk_id,description,scene_context
"137、INT. DIRIGIBLE, TROPHY ROOM",doc_136_chunk_0,Muntz drags Russell through the trophy room.,Inside the trophy room
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_5,Muntz is lost in reverie.,
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_3,Muntz is charmed.,
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_3,Muntz LAUGHS at his joke.,
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_1,Muntz slams the door.,
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_1,Muntz waves it off.,
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_1,Muntz LAUGHS.,
"120、EXT. MOUNTAIN, LABYRINTH GATE - CONTINUOUS",doc_119_chunk_0,Muntz motions to the dogs.,"Ground, during the dog attack on Russell and the bird"
"120、EXT. MOUNTAIN, LABYRINTH GATE - CONTINUOUS",doc_119_chunk_0,Muntz follows the bird up the ramp of the dirigible.,"Dirigible ramp, as the bird is dragged aboard"
"135、INT. DIRIGIBLE, CAGE ROOM",doc_134_chunk_0,"Muntz stares into the bird's cage, mesmerized.",at the bird's cage
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_6,Muntz and Alpha exchange glances.,
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_6,Muntz gives his thumbs up from the cockpit as the dirigible lifts off.,Dirigible launch
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_9,"Muntz follows behind them slowly, menacingly.","Muntz's house, as Carl and Russell prepare to leave"
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_2,"Cameras flash as Muntz stands heroic, striking his signature 'thumbs up' stance.",Newsreel
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_4,Muntz walks into the cave.,Inside a cave
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_3,"Muntz speaks to a crowded auditorium, on stage beside a curtained object.","Auditorium stage, beside a curtained object"
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_3,"(leans down, fixes it)","Dinner announcement, Muntz fixes translator"
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_3,Muntz LAUGHS.,After Russell's comment on Alpha's voice
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_6,Muntz and his dogs descend from the dirigible.,Descending from dirigible to ground
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_6,Muntz hurls a lit lantern.,At Carl's house
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_0,Muntz leads Carl and Russell into the dining room and up to a large table.,"dining room, leading Carl and Russell to a table"
"170、EXT. DIRIGIBLE, TOP",doc_169_chunk_0,Muntz KICKS the door.,
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_0,Muntz sets Russell down and walks to a control panel.,
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_0,Muntz is about to throw a switch when he looks out the porthole.,
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_0,Muntz pulls the switch and walks out of the room.,
111、INT. CAVE - CONTINUOUS,doc_110_chunk_0,Muntz gestures to a pylon,"Cave, Muntz gestures to pylon for house mooring"
111、INT. CAVE - CONTINUOUS,doc_110_chunk_0,Muntz and the dogs walk up the gangplank of the dirigible,"Cave, Muntz and dogs board dirigible"
"173、INT. CARL'S HOUSE, LIVING ROOM",doc_172_chunk_0,Muntz lunges after them.,
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_2,Muntz glances at the bottle.,After a dog approaches with a bottle of champagne
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_2,Muntz and Carl LAUGH.,After Muntz tells the story about Roosevelt and gin rummy
136、INT. DIRIGIBLE,doc_135_chunk_0,Muntz enters.,Russell tied to chair
136、INT. DIRIGIBLE,doc_135_chunk_0,Muntz grabs the leaf blower and drags Russell out.,After Russell blows leaf blower in Muntz's face
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_0,Muntz leads Carl and Russell through the room.,"Treasure trove room, Muntz leading Carl and Russell"
"150、INT. DIRIGIBLE, COCKPIT",doc_149_chunk_0,Muntz scans the horizon.,On a ship
"117、INT. DIRIGIBLE, COCKPIT",doc_116_chunk_0,Muntz snarls in anger.,"Dogs cowering in front of Muntz, after Beta and Gamma report Dug's escape."
"117、INT. DIRIGIBLE, COCKPIT",doc_116_chunk_0,He leans over a RADAR TRACKING DEVICE.,Muntz at radar tracking device after saying 'Dug...' 
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_7,Muntz stares.,After Carl says the dog is gone
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_7,He walks to a table full of flight helmets.,After staring
"139、INT. DIRIGIBLE, COCKPIT",doc_138_chunk_0,Muntz enters the cockpit and takes the wheel.,cockpit
164、EXT. CARL'S HOUSE,doc_163_chunk_0,Muntz closing in,"Dirigible, Carl climbing while Muntz closing in"
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_4,Muntz picks up a lantern and walks to the back of the room.,In a room
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_4,He looks over to a full size skeleton.,"In a room, at the back"
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_8,"Using his cane, Muntz topples a helmet from the table.","A room with a table, Muntz handling helmets."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_8,Muntz topples another helmet.,"A room with a table, Muntz handling helmets."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_8,He lifts a third to show Carl.,"A room with a table, Muntz handling helmets."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_8,He drops the helmet.,"A room with a table, Muntz handling helmets."
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_2,"Muntz gives him the ""thumbs up.""",Carl recognizes Charles Muntz
174、EXT. CARL'S HOUSE - CONTINUOUS,doc_173_chunk_0,Muntz leaps after them.,
174、EXT. CARL'S HOUSE - CONTINUOUS,doc_173_chunk_0,Muntz hangs for a moment...,
174、EXT. CARL'S HOUSE - CONTINUOUS,doc_173_chunk_0,He falls.,
"166、EXT. DIRIGIBLE, TOP - DAY",doc_165_chunk_1,Muntz appears on top of the dirigible with a rifle!,On top of the dirigible during the house crash sequence
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_0,Muntz swings his sword at Carl but misses.,Sword fight
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_0,Muntz smashes his trophy collection as he swings for Carl.,Sword fight
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_0,His sword gets stuck in a mounted skeleton.,Sword fight
"166、EXT. DIRIGIBLE, TOP - DAY",doc_165_chunk_2,Muntz storms toward the house.,"Front porch, after bullet smashes door jam"
"166、EXT. DIRIGIBLE, TOP - DAY",doc_165_chunk_2,Muntz POUNDS on the door with the butt of the rifle.,"Front porch, after Russell and others slam door"
162、EXT. SIDE OF DIRIGIBLE - CONTINUOUS,doc_161_chunk_0,Muntz follows up.,"On the side of the dirigible, as Carl climbs the ladder"
"155、INT. DIRIGIBLE, TROPHY ROOM",doc_154_chunk_0,"Behind the door, Muntz is waiting for them.",trophy room
"155、INT. DIRIGIBLE, TROPHY ROOM",doc_154_chunk_0,He grabs a sword from the wall display and attacks.,trophy room
"155、INT. DIRIGIBLE, TROPHY ROOM",doc_154_chunk_0,Muntz kicks Dug loose and out the door.,trophy room
"155、INT. DIRIGIBLE, TROPHY ROOM",doc_154_chunk_0,He slams it shut.,trophy room
165、EXT. SIDE OF DIRIGIBLE,doc_164_chunk_0,Muntz grabs Carl's foot.,"On a ladder, Carl climbing"
165、EXT. SIDE OF DIRIGIBLE,doc_164_chunk_0,Muntz catches on to a rung of the ladder.,"On the ladder, after being knocked off"
165、EXT. SIDE OF DIRIGIBLE,doc_164_chunk_0,He watches Carl and the bird climb.,"On the ladder, after catching a rung"
165、EXT. SIDE OF DIRIGIBLE,doc_164_chunk_0,Muntz descends the ladder.,After watching Carl and the bird climb
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,Muntz pulls the sword free.,
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,He raises the sword over his head to strike and his back CRACKS loudly.,
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,He's stuck!,
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,Carl and Muntz STRUGGLE to move.,
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,"Muntz CRACKS his back free and kicks Carl in the chest, knocking him against a trophy.",
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,He has the upper hand now.,
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,He throttles him with his arm and lifts his sword.,
"161、INT. DIRIGIBLE, TROPHY ROOM",doc_160_chunk_0,Muntz is knocked off balance.,On the dirigible during the tilt
"161、INT. DIRIGIBLE, TROPHY ROOM",doc_160_chunk_0,He slides to one side.,On the dirigible during the tilt
"161、INT. DIRIGIBLE, TROPHY ROOM",doc_160_chunk_0,Muntz comes at Carl.,After the ship corrects and Carl climbs back inside
"171、INT. CARL'S HOUSE, LIVING ROOM",doc_170_chunk_0,Muntz breaks through the door.,Muntz breaks through a door and sights the bird.
"171、INT. CARL'S HOUSE, LIVING ROOM",doc_170_chunk_0,He lifts his rifle and sights the bird...,Muntz breaks through a door and sights the bird.
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_1,the dashing Muntz descends down the gangplank to the delight of the crowd.,Newsreel footage: Muntz descends gangplank
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_2,"Muntz advances on Carl, who struggles to protect the bird.",
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_2,"Muntz is a wild man now, smashing and destroying anythingthat gets in his way.",
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_2,Muntz is about to deal the final blow.,
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,Muntz following behind like something out of a bad dream,
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,Muntz walks to the window and looks out,
