doc_title,chunk_id,text,scene_context
"102、INT. INTERPOL FIELD HQ, VENICE - DAY",doc_101_chunk_1,You?,Ackerman shows Frank a photo on screen; Frank identifies Ackerman in the photo.
109、INT. CIPRIANI HOTEL - DAY,doc_108_chunk_0,I'm sorry.,Hotel room: Frank apologizes to Cara for entering while she is half-dressed.
"130、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_129_chunk_3,"You said I'd told so many lies, you wouldn't believe me even if I did tell the truth... This was the only way to convince you.","After Cara pulls away and asks 'Why?', Frank explains his actions to convince her."
117、INT. CHURCH - CONTINUOUS,doc_116_chunk_0,Who's that?,Monitoring room; Frank notices a masked figure on a monitor showing the lower floor of the house and asks who it is.
106、EXT. BALCONY - RESUME SCENE,doc_105_chunk_1,"It's not just me, is it?",Frank and Ackerman discussing feelings for a woman
"125、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_124_chunk_3,Nothing to be sorry for.,Cara apologizes; Frank responds as Demidov attaches silencer.
"31、EXT. THE LIDO, VENICE - DAY",doc_30_chunk_2,I'm not really into weddings at this particular moment in my life...,"Sidewalk, speaking with Cara, topic: weddings"
"130、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_129_chunk_2,You're wrong. I'm here.,"Frank whispers to a woman, confirming his presence."
"130、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_129_chunk_2,It's me. I'm here.,"Frank whispers to a woman, confirming his presence."
132、EXT. WATER TAXI - NIGHT,doc_131_chunk_0,It's good to see you too.,"On board, Frank responds to the Englishman's comment about his appearance."
32、EXT. BISTRO - AFTERNOON,doc_31_chunk_0,Hmm?,"At a table with Orvieto, speaking with Cara about a possible second chance."
32、EXT. BISTRO - AFTERNOON,doc_31_chunk_0,I suppose that's a possibility. (hesitates) That's what I tell my statistics class anyway; life is a game of chance. Endless possibilities and permutations. You just have to calculate the odds.,"At a table with Orvieto, speaking with Cara about a possible second chance."
32、EXT. BISTRO - AFTERNOON,doc_31_chunk_1,"Well... (quietly) I'd like to think that love is a question of destiny, not chance...","Cara questions Frank; Frank responds about love being destiny, not chance."
111、INT. CHURCH - CONTINUOUS,doc_110_chunk_1,You all read the same newspaper.,"Ackerman sits next to Frank, discussing newspaper and Alexander Pearce."
111、INT. CHURCH - CONTINUOUS,doc_110_chunk_1,I look forward to meeting him.,"Ackerman sits next to Frank, discussing newspaper and Alexander Pearce."
109、INT. CIPRIANI HOTEL - DAY,doc_108_chunk_1,Ackerman told me everything.,"With Cara, discussing Ackerman's information and an apology."
109、INT. CIPRIANI HOTEL - DAY,doc_108_chunk_1,There's no apology necessary.,"With Cara, discussing Ackerman's information and an apology."
106、EXT. BALCONY - RESUME SCENE,doc_105_chunk_0,Then why are you still using her?,"With Ackerman, discussing the woman's loyalty and whether she will turn him in."
106、EXT. BALCONY - RESUME SCENE,doc_105_chunk_0,You think she'll turn him in this time?,"With Ackerman, discussing the woman's loyalty and whether she will turn him in."
"130、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_129_chunk_0,Are you all right?,"Room with broken glass, Frank checks on Cara"
"130、INT. ALEXANDER'S VILLA, PENTHOUSE - NIGHT",doc_129_chunk_0,You didn't get to arrest Alexander Pearce...,"Room with broken glass, Frank reflects on not arresting Alexander Pearce"
101、INT. INTERROGATION ROOM - DAY,doc_100_chunk_0,It's borrowed.,"In a windowless room, Frank and Ackerman discuss the suit."
101、INT. INTERROGATION ROOM - DAY,doc_100_chunk_2,I haven't needed it lately.,"Room with plain wall, Frank and Ackerman discuss Frank's identity."
