doc_title,chunk_id,description,scene_context
114、INT. OPERATIONS,doc_113_chunk_1,"Hicks contemplates her game plan and raises his hand, satisfied.",
102、INT./EXT. APC 104-,doc_101_chunk_1,Hicks grabs a joy stick at the FIRE-CONTROL CONSOLE and turns it rapidly.,"Vehicle interior, firing turret at alien on roof"
102、INT./EXT. APC 104-,doc_101_chunk_4,Hicks eases Ripley's hand back on the throttle lever.,"APC on causeway, moving away from station"
114、INT. OPERATIONS,doc_113_chunk_0,"Burke, Ripley, Hudson and Hicks are bent over a large HORIZONTAL VIDEOSCREEN, like an illuminated chart table.",Group examining a service tunnel ground plan on video screen
113、INT. OPERATIONS,doc_112_chunk_0,"Hicks indicates their remaining inventory of weapons, lying on a table.",Group taking stock of weapons on table after APC wreckage
143、INT. OPERATIONS - ANGLE ON HUDSON,doc_142_chunk_1,pacing,
123、INT. OPERATIONS,doc_122_chunk_0,"Hicks slaps a switch, killing the alarm.","Tactical console, alarm and motion sensor active"
130、INT. OPERATIONS,doc_129_chunk_6,"He picks up his pulse-rifle and with the casually precise movements of long practice he snaps open the bolt, drops out the magazine and hands it to her.",
116、INT. SECOND LEVEL CORRIDOR,doc_115_chunk_1,Hicks sets down his welder and pulls a small object out of a belt pouch.,
116、INT. SECOND LEVEL CORRIDOR,doc_115_chunk_1,He indicates a tiny TRACKER hooked to his battle harness.,
116、INT. SECOND LEVEL CORRIDOR,doc_115_chunk_1,"He shrugs, a little self-consciously.",
113、INT. OPERATIONS,doc_112_chunk_1,"He opens one of the scorched cases, revealing a high-tech servo-actuated machine gun with optical sensing equipment, packed in foam.",
142、INT. OPERATING ROOM,doc_141_chunk_5,Hicks dives into the crazed spider web pattern and explodes into the room in a shower of fragments.,Inside a room
142、INT. OPERATING ROOM,doc_141_chunk_5,"He hits rolling, his armor grinding through the shards, and slides across to Ripley.",Inside a room
142、INT. OPERATING ROOM,doc_141_chunk_5,He gets his fingers around the thrashing legs of the vicious beast and pulls.,Inside a room
104、INT. APC,doc_103_chunk_2,Hicks pushes her back. Right in her face.,Vasquez about to attack Gorman
130、INT. OPERATIONS,doc_129_chunk_0,Hicks is mesmerized by the images from the surveillance cameras.,"Tactical console, viewing surveillance images"
113、INT. OPERATIONS,doc_112_chunk_3,Hicks nods approval of her handling of it.,in a wing
147、INT. OPERATIONS,doc_146_chunk_4,Hicks climbs onto a file cabinet and raises a panel of acoustic drop-ceiling.,"Operations room, Hicks investigates ceiling."
147、INT. OPERATIONS,doc_146_chunk_4,He shines his light inside.,"Operations room, Hicks investigates ceiling."
132、INT. OPERATIONS,doc_131_chunk_0,"The Corporal is standing close behind her, positioning her arms.",Hicks instructing Ripley on M-41A rifle
132、INT. OPERATIONS,doc_131_chunk_0,"He thumbs a button and the magazine drops out, clattering on the floor.",Hicks instructing Ripley on M-41A rifle
142、INT. OPERATING ROOM,doc_141_chunk_7,Hicks hurls the thing into the corner.,During a creature confrontation in a room
142、INT. OPERATING ROOM,doc_141_chunk_7,Hicks sees the stasiscylinders.,After the creature is defeated in the room
109、EXT. APC,doc_108_chunk_0,Hicks and Hudson have Gorman between them,"Emerging from the personnel carrier, the group watches the ship approach."
141、INT. OPERATIONS,doc_140_chunk_0,"Hicks jumps at the sound of the alarm, finally identifying its source among the lights flashing on his board.",
141、INT. OPERATIONS,doc_140_chunk_0,"He bolts for the door, yelling into his headset as he moves.",
123、INT. OPERATIONS,doc_122_chunk_1,Guns A and B. Tracking and firing on multiple targets.,Inside a complex
150、INT. CORRIDOR,doc_149_chunk_1,"Hicks kicks the door open, molten droplets flying.","Corridor, after grenade explosion"
147、INT. OPERATIONS,doc_146_chunk_6,Hicks falls into the room just as the creatures detach mass from the handholds.,the room during the creature attack
150、INT. CORRIDOR,doc_149_chunk_0,Hicks snaps the torch off his belt and cuts into the,"Interior room, door locked, troopers arriving"
126、INT. OPERATIONS - MINUTES LATER,doc_125_chunk_4,looks at the tactical board.,Motion-sensor alarm sounds
104、INT. APC,doc_103_chunk_1,"bent over Gorman, checking for a pulse",
155、INT. AIR DUCT,doc_154_chunk_2,Hicks' torch feathers out. Empty.,
