doc_title,chunk_id,description,scene_context
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_3,Eddie takes her hand.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_2,Eddie sits across from her.,
102、EXT. EDDIE'S CAR - DAY,doc_101_chunk_0,"Eddie speeds through the street, SIREN BLARING.",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_2,"Eddie arrives. Bends down to Leon, whose face is red with blood.",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_8,"Eddie walks into the restaurant. Throws a look back at her, then enters.",
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_1,She looks at Eddie.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_1,She clams up.,
101、INT. ROSE'S APARTMENT - DAY,doc_100_chunk_0,Eddie looks around - taking in the place.,Inside a room where four girls are working phones; Eddie and Jordy are at the door.
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_4,Eddie stops - looks at the ringing phone.,
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_4,Eddie stares at it.,
103、INT. EDDIE'S CAR - DAY,doc_102_chunk_0,Eddie darts in and out of cars with astonishing dexterity.,
103、INT. EDDIE'S CAR - DAY,doc_102_chunk_0,Eddie picks up his phone - dials.,
115、INT. POLICE PRECINCT - DETECTIVE ROOM'S SQUAD - DAY,doc_114_chunk_0,Eddie enters with Jordy.,
115、INT. POLICE PRECINCT - DETECTIVE ROOM'S SQUAD - DAY,doc_114_chunk_0,Eddie gives Jordy a questioning look.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_4,Eddie steps away with Jordy. Keeping his eyes on Daphne.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_4,Eddie tilts his head. Measures Jordy.,
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_3,Eddie steps into the center of the street.,
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_3,"Eddie crouches, taking aim at Emil, who is almost two blocks away.",
104、INT. LUDWIG'S SALON - DAY,doc_103_chunk_6,Eddie arrives.,
104、INT. LUDWIG'S SALON - DAY,doc_103_chunk_6,Eddie looks at Jordy.,
104、INT. LUDWIG'S SALON - DAY,doc_103_chunk_6,Takes Daphne by the arm.,
115、INT. POLICE PRECINCT - DETECTIVE ROOM'S SQUAD - DAY,doc_114_chunk_4,Eddie picks up his cigar that's going out. He sticks it in his mouth.,
115、INT. POLICE PRECINCT - DETECTIVE ROOM'S SQUAD - DAY,doc_114_chunk_4,Eddie dips the end of the cigar and puffs.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_3,Eddie tumbles to the floor! OUT COLD!,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_7,Eddie says nothing,
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_0,Eddie tries to stay in the lead but is running out of breath.,Foot chase through traffic on Madison and 62nd streets.
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_0,"Eddie, the other.",Foot chase through traffic on Madison and 62nd streets.
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_5,Eddie looks at the videocamera.,
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_4,"Eddie closes an eye, aims and squeezes off one SHOT.",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_4,Eddie holsters his weapon.,
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_4,Pulls out a handkerchief. Dabs Leon's wounds.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_8,Eddie says nothing. Just stares at Emil.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_6,Eddie looks at his watch.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_6,Thinks it over.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_6,Measures Jordy.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_6,He gives Jordy a look and heads for the door.,
114、INT. PRECINCT - DAY,doc_113_chunk_2,Eddie walks out.,
114、INT. PRECINCT - DAY,doc_113_chunk_2,Eddie turns - Tommy - the young detective who caught the case in the King Edward Hotel - is coming out of the back office.,
114、INT. PRECINCT - DAY,doc_113_chunk_2,"Tommy, get her outta here.",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_7,"Eddie says 'Um...now is not a good time, okay.'",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_7,"Eddie says 'I've got a Fire Marshall shot, Detective Jackson is hurt but not seriously.'",
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_7,Eddie says 'Yeah. Now's not a good time.',
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_13,"Eddie stumbles backward, falling over but still attached to the chair - holding the gun.",
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_13,Eddie can't believe he got stabbed. Blood swells around his stomach.,
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_0,Eddie takes a seat at a table.,Lunchtime at a crowded location.
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_0,Eddie takes the ring out of his pocket - holds it under the table.,Lunchtime at a crowded location.
110、INT. P.B. HERMAN'S RESTAURANT - DAY,doc_109_chunk_0,Eddie says 'Hey.',Lunchtime at a crowded location.
121、INT. DAPHNE'S APARTMENT - CONTINUOUS,doc_120_chunk_5,Runs his severely burned hand under the cold water.,"Inside a bathroom, after pulling Daphne in and shutting the door."
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_0,"EDDIE C'mon, start at the beginning. You know these people?",
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_0,EDDIE Go on.,
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_0,"EDDIE (CONT'D) Whether you tell us or not, we'll find out. Better if it comes from you.",
107、INT. ARMAND RESTAURANT - DAY,doc_106_chunk_0,He still hesitates.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_9,"EDDIE
A timer.",
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_12,Eddie has managed to get the gun and comes up as Oleg is moving in with the camera and starts shooting toward Oleg - managing to shoot one of the blinds off the window and one of the lampshades off the lamp.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_12,Eddie starts to turn toward Emil who comes at him with the knife and stabs him in the stomach.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_7,That got Eddie's attention and he comes back to the bedroom.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_4,Eddie rummages through the apartment - moving into the kitchen and living room,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_3,Eddie puts his cigar out. Carefully slides it into a cigar holder and pockets it to finish later.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_6,Eddie - in the other room - has found Tamina's brushed gold bracelet on the floor.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_0,Eddie walks in - carrying flowers.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_0,He closes and locks the door behind him.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_0,He grabs the phone.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_0,He looks at the flowers.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_0,Decides to put the case behind him for a moment.,
114、INT. PRECINCT - DAY,doc_113_chunk_3,EDDIE There was too much press hangin' around there. I didn't want her face on the news. So I told him to take her to a quiet area until things settled down.,
114、INT. PRECINCT - DAY,doc_113_chunk_3,"EDDIE It was my decision, not his.",
114、INT. PRECINCT - DAY,doc_113_chunk_3,EDDIE (to Jordy) I'm ready to be briefed. (to Duffy) Excuse us.,
105、EXT. LUDWIG'S SALON - CONTINUOUS,doc_104_chunk_0,Eddie notices Daphne clutching something in her hand.,
105、EXT. LUDWIG'S SALON - CONTINUOUS,doc_104_chunk_0,He reaches for her hand. Opens it.,
105、EXT. LUDWIG'S SALON - CONTINUOUS,doc_104_chunk_0,Eddie searches the streets.,
105、EXT. LUDWIG'S SALON - CONTINUOUS,doc_104_chunk_0,Eddie notices Oleg and Emil on the far corner.,
105、EXT. LUDWIG'S SALON - CONTINUOUS,doc_104_chunk_0,Eddie grabs Leon - squeezes his arm - quietly.,
15、EXT. MILOS' APARTMENT BUILDING - NIGHT,doc_14_chunk_1,Eddie exits carrying a baggie with a timer inside.,
124、INT. PLANET HOLLWYOOD - NIGHT,doc_123_chunk_7,Eddie knocks Oleg over the coffee table and onto the sofa.,
124、INT. PLANET HOLLWYOOD - NIGHT,doc_123_chunk_7,Emil stabs Eddie in the stomach.,
24、INT. MILOS' APARTMENT - DAWN,doc_23_chunk_1,Eddie knocks his 'won ton soup' back.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_4,"Eddie is sitting in front of Emil, sobered up.","Scene: Inside Eddie's ransacked place, 20 minutes after being subdued."
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_4,"Eddie's watch, his gold shield and his money are taken by Emil.","Scene: Inside Eddie's ransacked place, during the confrontation with Emil."
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_5,"Eddie and Jordy watch as Korfin on a stretcher, is loaded in an EMS VEHICLE","Outside the restaurant, following an incident involving Korfin and Leon."
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_5,"Eddie and Jordy turn to go back into the restaurant, now cleared out","Outside the restaurant, after Korfin is taken away in an ambulance."
106、EXT. NYC STREETS - CONTINUOUS,doc_105_chunk_5,EDDIE I can't talk right now. We have some things to take care of.,"Outside the restaurant, when approached by reporter Nicolette Karas."
20、INT. FIRE STATION 91 - NIGHT,doc_19_chunk_0,Eddie Flemming holds up the paint can.,"Scene: Inside the fire station, TV room, during an interview with Nicolette."
24、INT. MILOS' APARTMENT - DAWN,doc_23_chunk_3,Eddie holds on to the sketch when Jordy tries to take it back.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_8,Eddie moves to higher ground - on top of a burnt TV set.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_8,Eddie hands the brushed bracelet to Leon.,
26、INT. KING EDWARD HOTEL ROOM - DAY,doc_25_chunk_1,Eddie walks over to a young detective.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_9,Eddie suddenly KICKS at Emil's hand,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_9,"Eddie avoids the gun, ducking his head to the side of Emil's arm",
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_9,Standing and following his head up Emil's arm and pushing him over into the desk,
26、INT. KING EDWARD HOTEL ROOM - DAY,doc_25_chunk_0,As Eddie enters the crime scene,"Hotel room crime scene, during investigation activity."
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_11,Eddie comes up and around again at Oleg who is coming at him from the wall.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_11,Eddie knocks Oleg over the coffee table and onto the sofa.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_11,"Falling on top of him, rolling over and leaving Oleg on the sofa.",
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_11,Eddie manages to get up from the sofa and position the chair in such a way that he can fall over backward and grab the gun.,
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_0,"Eddie and Leon are standing by what's left of the mattress, looking at Milos and Tamina's charred bodies.",
14、INT. MILOS' APARTMENT - NIGHT,doc_13_chunk_0,"Eddie grips a half-smoked Cuban cigar, listening to Leon.",
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_10,Eddie then knocks Emil with the chair and Emil falls off the desk and onto the floor.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_10,Eddie continues around with the chair and drives Oleg back across the room - pinning him to the wall.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_10,Eddie comes back from Oleg to the gun at the same time as Emil is limping for it.,
116、INT. EDDIE'S APARTMENT - NIGHT,doc_115_chunk_10,Eddie knocks Emil out of the way with the chair and then stabs him with the legs of the chair repeatedly.,
26、INT. KING EDWARD HOTEL ROOM - DAY,doc_25_chunk_3,Eddie takes out his cigar holder. Slides out what's left of his cigar. Re-lights it. Looks down at,
27、INT. KING EDWARD HOTEL ROOM - STAIRS - DAY,doc_26_chunk_0,Eddie exits the hotel,"Outside the hotel, as Eddie is leaving and a man approaches him for an autograph."
