id,scene,question,answer,evidence,qa_type
1,1街巷  夜  外,老夫妇为何隐居北海市？,为过平凡生活，避免江湖纷争,老翁：年轻人，你早晚会明白，平凡才是福啊。,causal/relational queries
2,8福生堂药房  日  外/内,在[8福生堂药房  日  外/内]中，叶家十七口人死前深陷幻境的原因是什么？,千幻人面伞喷射的‘醉人笑’使人陷于幻境,千幻人面伞，伞骨由精钢打造，伞面取人皮所制，转动铁伞，就会喷射‘醉人笑’，使人陷于幻境,causal/relational queries
3,7福生堂后门  日  外,龙聪为何踩中捕兽夹？,因为罗宾将枯叶下的捕兽夹移到了他的脚下。,罗宾伸出脚尖轻挑，将枯叶下藏着的大号捕兽夹移到龙聪脚下。,causal/relational queries
4,32胡家后堂  夜  内,纸人指什么？,纸扎的攻击性傀儡，被罗宾击碎,飞出一个涂红抹绿的纸人，叽叽怪笑着，甚是可怖,terminology/abbreviation/concept
5,33梦巴黎舞台  夜  内（幻境）,六子再次睁开眼后发生了什么？,舞女们变成怪物,等他再睁开眼，舞女们已经变成怪物。,temporal references
6,31胡家庭院  夜  外,龙聪穿过庭院时，仆人们转身后的状态如何？,眼睛变成了两个漩涡,仆人们缓缓转身望过来，眼睛也变成了两个漩涡。,detailed description
7,32胡家后堂  夜  内,幻境指什么？,罗宾等人所处的虚假场景，由假龙聪制造,龙聪：这里都是幻境！,terminology/abbreviation/concept
8,1街巷  夜  外,老丐和壮汉为何来到馄饨摊？,为夺取土门信物,斋藤：交出土门信物，可保二老安享晚年。,causal/relational queries
9,8福生堂药房  日  外/内,罗宾认为凶手杀人的动机是什么？,为了幻术门中的秘术,罗宾摇头：暂时不清楚，应该是为了幻术门中的秘术,causal/relational queries
10,17梦巴黎走廊  夜  内,"在[17梦巴黎走廊  夜  内]中, 罗宾在走廊里做什么？",观察周围环境，紧盯着门顶的阴阳鱼,罗宾边走边观察，走过一处包间，又退回来，紧盯着门顶框上的两条木雕的阴阳鱼,character states
11,22日式宅院走廊  夜  内,"在[22日式宅院走廊  夜  内]中, 六子在看到鬼怪时处于什么情绪状态？",惊恐到极点,六子惊恐到极点，却发不出任何声音。,character states
12,14街道  夜  外,罗宾提到的幻术六法有哪些？,手通天、线穿云、一点神仙笑、细粉妆惊奇、机关道不尽、大袖遮天庭。,罗宾：幻术种类繁多，但归根结底，无外乎六法。所谓手通天、线穿云、一点神仙笑、细粉妆惊奇、机关道不尽、大袖遮天庭。,dialogue/beliefs
