doc_title,chunk_id,text,scene_context
101、INT. DAD'S OFFICE - NIGHT - CONTINUOUS,doc_100_chunk_1,,
101、INT. DAD'S OFFICE - NIGHT - CONTINUOUS,doc_100_chunk_3,"Once I have his attention, you go get her.",
103、EXT. ROOF - NIGHT - CONTINUOUS,doc_102_chunk_0,That was a warning!,"On the roof during a confrontation with Giles, after Kale hits a racketball that misses Giles."
28、INT. 2ND FLOOR HALLWAY/WINDOW - DAY - SECONDS LATER,doc_27_chunk_2,GODDAMMIT!,
102、EXT. 2ND FL PORCH - NIGHT - CONTINUOUS,doc_101_chunk_4,Stick to the plan --,"Scene: Outside the house, Kale speaks to Ashley after she expresses a desire to kill someone; Giles is approaching."
102、EXT. 2ND FL PORCH - NIGHT - CONTINUOUS,doc_101_chunk_0,"We're out here, asshole!","Scene: On the porch, Kale speaks to Giles (off-screen) after breaking a window, waiting for a response."
110、INT. LIVING ROOM - NIGHT - CONTINUOUS,doc_109_chunk_1,No flashing lights -- stay here --,"Scene following the doorbell ringing; Kale speaks to Ashley as they react to the doorbell, preparing to investigate."
29、INT. ENTRY HALL - DAY - SECONDS LATER,doc_28_chunk_0,I'm coming!!,"Scene: At the front door, Kale responds to repeated doorbell ringing."
20、INT. KALE'S BEDROOM - DAYS LATER,doc_19_chunk_0,News.,"Scene: Kale's bedroom, Kale is alone in bed watching TV when Julie enters; he changes the channel and responds to her comment about trash TV."
20、INT. KALE'S BEDROOM - DAYS LATER,doc_19_chunk_2,That might be difficult.,"Scene: Inside a house, Kale speaks to Julie after she drops his clothes and informs him about the maid service and their financial situation."
33、EXT. KALE'S FRONT YARD - DAY - CONTINUOUS,doc_32_chunk_0,"No, c'mon, I'm way inside, turn green --",
16、INT. LIVING ROOM - MORNING - MOMENTS LATER,doc_15_chunk_0,"C'mon, bid a dollar, one dollar --","Scene: Kale is alone on the couch watching 'The Price is Right' on TV, speaking to a contestant on the screen."
1、EXT. BISHOP LAKE - DAY,doc_0_chunk_1,Holy shit!,"Kale is fishing with Jeff; a black bass attacks the lure, surprising Kale."
1、EXT. BISHOP LAKE - DAY,doc_0_chunk_1,I need reinforcements!,Kale is struggling to reel in a large black bass while fishing with Jeff.
30、EXT. KALE'S HOUSE - FRONT PORCH - DAY - CONTINUOUS,doc_29_chunk_0,Oh shit! Shit water shit!,"Scene: Outside a house, Kale reacts to stepping on dog feces that catches fire; he is alone initially, then observed by two neighborhood brats."
33、EXT. KALE'S FRONT YARD - DAY - CONTINUOUS,doc_32_chunk_1,"It's cool, I'm all green.","Scene: Outside Ashley's house, Kale speaks to Ashley after being seen in a messy state by her parents."
111、INT. ENTRY HALL - NIGHT - CONTINUOUS,doc_110_chunk_0,"Parker, where's the cavalry?!","Front door, speaking to Parker about the absence of help."
