doc_title,chunk_id,description,scene_context
119、INT. NEWBERRY FOYER - CONTINUOUS,doc_118_chunk_4,Grocer pulls two rounds from the clip of his semi-automatic,
185、INT. DINER - LATE MORNING,doc_184_chunk_4,Grocer looks a little hurt.,
148、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_147_chunk_2,Grocer hits the return button after taking in the number.,
148、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_147_chunk_2,Grocer raises his juice glass to the computer in a lazy toast.,
234、INT. GROCER'S VAN - SAME,doc_233_chunk_0,Grocer drops the van into gear and heads toward the driveway.,
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_4,Grocer pulls two rounds from the clip of his semi-automatic,
232、INT. GROCER'S VAN - SAME,doc_231_chunk_0,Grocer and company watch in amazement.,
112、INT. GROCER'S VAN - SAME,doc_111_chunk_0,Grocer drops the van into gear and heads toward the driveway.,driveway
185、INT. DINER - LATE MORNING,doc_184_chunk_1,Martin and Grocer's eyes remain locked.,"B.I. McCafferty's restaurant, during waitress's menu announcement"
107、INT. GROCER'S VAN - SAME,doc_106_chunk_0,Grocer spots Martin's car speeding at Newberry.,"Newberry, spotting Martin's car"
63、INT. DINER - LATE MORNING,doc_62_chunk_4,Grocer looks a little hurt.,
26、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_25_chunk_2,Grocer hits the return button after taking in the number.,
26、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_25_chunk_2,Grocer raises his juice glass to the computer in a lazy toast.,
229、INT. GROCER'S VAN - SAME,doc_228_chunk_0,Grocer spots Martin's car speeding at Newberry.,"Newberry, Martin's car speeding"
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_5,Grocer arcs the TWO BULLETS into the air.,
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_5,"GROCER begins to rise from his side of the counter, cocking his gun.",
147、INT. GROCER'S KITCHEN - NIGHT,doc_146_chunk_0,"GROCER stands, wearing a burgundy Fila sweat suit, pushing beets into a vegetable juicer.",gourmet-rustic kitchen
147、INT. GROCER'S KITCHEN - NIGHT,doc_146_chunk_0,Grocer tops off the glass and takes it out of the kitchen.,gourmet-rustic kitchen
238、INT. FOYER,doc_237_chunk_0,Grocer beginning to slip in,"Front door, Grocer attempting to enter"
238、INT. FOYER,doc_237_chunk_0,Grocer backs out fast,"Front door, Grocer backing out"
132、INT. MARTIN'S AND GROCERS CARS - DAY,doc_131_chunk_1,Grocer ignores this.,Phone call
63、INT. DINER - LATE MORNING,doc_62_chunk_5,Grocer loses it.,Tense standoff after Martin's proposal to put guns away
63、INT. DINER - LATE MORNING,doc_62_chunk_5,Long beat as Grocer gets a hold of himself.,Tense standoff after Martin's proposal to put guns away
110、INT. GROCER'S VAN - SAME,doc_109_chunk_0,Grocer and company watch in amazement.,Watching Martin's car disappear into Newberry's driveway
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_2,"Flying through the air disappearing through the shuttered serving window, his flight carrying him past a television that sits on a lazy susan.",Shuttered serving window and television on lazy susan
148、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_147_chunk_0,Grocer enters the main room of the villa-style A-frame.,Main room of the villa-style A-frame
148、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_147_chunk_0,He moves to an antique oak desk and sits in front of a COMPUTER.,"Main room of the villa-style A-frame, at the antique oak desk"
148、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_147_chunk_0,Grocer leans back in his chair and sips the juice.,"Main room of the villa-style A-frame, at the antique oak desk"
116、INT. FOYER,doc_115_chunk_0,Grocer beginning to slip in,"Inside a house, front door area, Martin preparing to fire at the door"
116、INT. FOYER,doc_115_chunk_0,Grocer backs out fast,"Inside a house, front door area, after Martin fires the clip"
119、INT. NEWBERRY FOYER - CONTINUOUS,doc_118_chunk_5,Grocer arcs the TWO BULLETS into the air.,At a counter
119、INT. NEWBERRY FOYER - CONTINUOUS,doc_118_chunk_5,"GROCER begins to rise from his side of the counter, cocking his gun.",At a counter
63、INT. DINER - LATE MORNING,doc_62_chunk_1,Martin and Grocer's eyes remain locked.,"B.I. McCafferty's restaurant, during waitress's menu description"
26、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_25_chunk_0,Grocer enters the main room of the villa-style A-frame.,Villa main room
26、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_25_chunk_0,He moves to an antique oak desk and sits in front of a COMPUTER.,Villa main room
26、INT. GROCER'S GREAT ROOM - CONTINUOUS,doc_25_chunk_0,Grocer leans back in his chair and sips the juice.,Villa main room
185、INT. DINER - LATE MORNING,doc_184_chunk_5,Grocer loses it.,Standoff scene after Martin's proposal to put guns away
185、INT. DINER - LATE MORNING,doc_184_chunk_5,Long beat as Grocer gets a hold of himself.,Standoff scene after Martin's proposal to put guns away
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_1,GROCER heads up the back stairs.,KITCHEN
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_1,GROCER hears him and starts back down.,KITCHEN
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_1,Grocer comes out of the stairwell blasting.,KITCHEN
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_1,"Grocer runs a pattern across the kitchen, FIRING at Martin",KITCHEN
241、INT. NEWBERRY FOYER - CONTINUOUS,doc_240_chunk_1,"Grocer vaults himself through the air toward a serving window from the kitchen to the dining room, still firing.",KITCHEN
132、INT. MARTIN'S AND GROCERS CARS - DAY,doc_131_chunk_0,"behind the wheel, phone in hand","FDR Drive, Martin notices a Town Car in the next lane"
221、EXT. MICHIGAN HIGHWAY - MORNING,doc_220_chunk_0,veer off onto an exit ramp,On an exit ramp
221、EXT. MICHIGAN HIGHWAY - MORNING,doc_220_chunk_0,has assembled a team of about nine,
