doc_title,chunk_id,description,scene_context
163、INT. BEECHCRAFT PLANE - DAY (FLYING),doc_162_chunk_6,"Crawford pulls a map from the file, spreads it out.",
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_3,(beat),
116、INT. SUSPECT'S HOUSE - CALUMET CITY - DAY,doc_115_chunk_0,"Crawford is standing, with his gun held down by his side, surrounded by several other cops.","Living room, Burroughs enters and finds nothing."
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_3,"Crawford doesn't respond, except to study her face.",After Clarice says 'the cannibal'
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_0,Crawford is watching a group of trainees on the firing range,"Firing range, Clarice joins Crawford"
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_0,"He looks tired, haunted","Firing range, Clarice joins Crawford"
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_3,(beat),
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_2,"He studies her a few moments, measuring her anger.",
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_4,"He walks on again, at a faster clip.",
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_4,(hands her the manila envelope),
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_5,Crawford hanging up,Phone call
112、EXT. FRONT DOOR OF SUSPECT'S HOUSE - CALUMET CITY,doc_111_chunk_0,"Crawford and Burroughs race towards the door, guns up...",Door break-in attempt
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_6,"But Crawford pulls her aside, a hand on her shoulder.","At Crawford's car, after Burroughs opens the back door."
"139、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_138_chunk_6,His intensity is scary.,"At Crawford's car, after Burroughs opens the back door."
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_7,"Crawford nods to him, then turns back to Clarice","Crawford's office, trooper peers in through window"
