doc_title,chunk_id,text,scene_context
133、INT. ENTERPRISE BRIDGE,doc_132_chunk_0,At what.,
121、INT. ENTERPRISE BRIDGE,doc_120_chunk_0,That was close --,
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_2,In the neutral zone.,
175、INT. ENTERPRISE BRIDGE,doc_174_chunk_1,That is a little joke.,
160、INT. ENTERPRISE BRIDGE,doc_159_chunk_0,"Two minutes, ten seconds.",
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_4,Fire all phasers...!,
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_3,Engage auxiliary power. Prepare to return fire!,
153、INT. ENTERPRISE BRIDGE,doc_152_chunk_1,"Aye, sir.","Bridge of the ship, responding to Kirk's order to get underway at best speed."
163、INT. ENTERPRISE BRIDGE,doc_162_chunk_0,"Three minutes, thirty seconds.",Scene involving the Reliant; Saavik reports time to Kirk and others.
103、INT. GENESIS CAVE - WIDER ANGLE,doc_102_chunk_2,Then -- you never faced that situation -- faced death...,"Scene in which Saavik speaks to Kirk and others, discussing facing death."
143、INT. ENTERPRISE BRIDGE,doc_142_chunk_1,"All stop, sir.","Scene: On a starship bridge, Saavik responds to Captain Kirk's order during a tactical maneuver."
150、INT. ENTERPRISE BRIDGE,doc_149_chunk_0,"Power levels quite low, sir.","Scene: On the bridge of a starship, Saavik reports to Captain Kirk about power levels."
105、INT. TRANSPORTER ROOM - ENTERPRISE,doc_104_chunk_1,... no uncoded messages on an open channel...,
105、INT. TRANSPORTER ROOM - ENTERPRISE,doc_104_chunk_1,You lied.,
108、INT. ENTERPRISE BRIDGE,doc_107_chunk_1,"Trouble with the nebula, sir, is all that static discharge and gas clouds our tactical display. Visuals won't function and shields will be useless.",
177、INT. ENTERPRISE BRIDGE,doc_176_chunk_2,In the neutral zone.,Scene involving a distress call from a ship; Saavik comments on the ship's position in response to a voice reporting coordinates.
111、INT. ENTERPRISE BRIDGE,doc_110_chunk_0,Admiral... what happens if Reliant fails to follow us into the nebula?,"Scene: Saavik speaks with Admiral Kirk and Spock, discussing the possibility of Reliant not entering the nebula."
170、EXT. SPACE,doc_169_chunk_2,We commend the soul of our brother departed. We love we commit his body to the depths of space.,"Scene: Saavik speaks during a funeral ceremony, addressing the group as she commits a body to space."
103、INT. GENESIS CAVE - WIDER ANGLE,doc_102_chunk_0,"The Kobayashi Maru, sir.","Scene: During a meal, Saavik speaks with Kirk, Bones, and Carol; she brings up the Kobayashi Maru scenario in response to Kirk's question."
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_1,Project parabolic course to avoid entering Neutral Zone.,
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_1,Can you amplify?,
1、INT. ENTERPRISE BRIDGE,doc_0_chunk_1,On speakers!,
