doc_title,chunk_id,description,scene_context
四十一、胡梅梅住处，中午,doc_42_chunk_0,胡梅梅趴在床上，听水开的声音。,
四十一、胡梅梅住处，中午,doc_42_chunk_0,电炉将胡梅梅的脸映得火红，胡梅梅的眼里闪动着泪花。,
四十七、胡梅梅往处，下午,doc_48_chunk_0,屋里的光线开始变的柔和起来，胡梅梅双手把热水袋搂在怀里，坐在床上。,
五十三、梦巴黎歌厅,doc_54_chunk_0,胡梅梅靠近他坐下。,
五十三、梦巴黎歌厅,doc_54_chunk_0,胡梅梅顺势一靠，倚在了小武身上。,
二十五、小酒馆，夜,doc_26_chunk_1,轮到男声的时候，胡梅梅把话筒送到小武面前。,
二十五、小酒馆，夜,doc_26_chunk_1,胡梅梅去拉小武。,
二十八、梦巴黎歌厅外，下午（原剧本，因与二十九场情节相同，实拍时删去此场）,doc_29_chunk_0,胡梅梅从歌厅里走了出来。,歌厅：从歌厅走出来
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,胡梅梅也从包间里走了出来。,梦巴黎包间内，小武抱怨服务不满，李艳丽询问胡梅梅。
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,胡梅梅不说话。,李艳丽指示小武是兄弟后，胡梅梅保持沉默。
四十、院子里，中午,doc_41_chunk_0,胡梅梅拧开水龙头接水,院子
四十、院子里，中午,doc_41_chunk_0,阳光下她的脸色更显苍白,院子
四十、院子里，中午,doc_41_chunk_0,可是水龙头没有水流出，她弯下腰，用嘴对着水龙头吸了两下，水流了出来,院子
四十、院子里，中午,doc_41_chunk_0,胡梅梅拎着壶走回了自己房里,院子
五十三、梦巴黎歌厅,doc_54_chunk_1,胡梅梅瞪眼看着小武。,歌厅内
五十三、梦巴黎歌厅,doc_54_chunk_1,胡梅梅又唱了起来。,歌厅内
五十三、梦巴黎歌厅,doc_54_chunk_1,胡梅梅停止唱歌。,歌厅内
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,像电视里做洗发水广告的女郎一样甩着头发,街道上，暖暖的午后
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,放大了嗓子,街道上，暖暖的午后
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,笑了起来,街道上，暖暖的午后
三十九、胡梅梅住处。,doc_40_chunk_0,翻身趴在床上,屋里
三十九、胡梅梅住处。,doc_40_chunk_0,看同房的女伴收抬打扮,屋里
三十九、胡梅梅住处。,doc_40_chunk_0,翻来覆去无法入睡,屋里
三十九、胡梅梅住处。,doc_40_chunk_0,爬起来，拎着茶壶走到了院子里,院子里
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,胡梅梅像发现了什么,二十九A、西门外汾州市场马路
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,胡梅梅笑笑,二十九A、西门外汾州市场马路
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,胡梅梅等在路边,二十九B、西门外汾州市场楼梯出口
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,胡梅梅向远处走去,二十九B、西门外汾州市场楼梯出口
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,胡梅梅走回来,二十九B、西门外汾州市场楼梯出口
五十三、梦巴黎歌厅,doc_54_chunk_2,胡梅梅靠在小武身上,
五十三、梦巴黎歌厅,doc_54_chunk_2,胡梅梅在狭小的空间里尽情舞蹈,
四十七、胡梅梅往处，下午,doc_48_chunk_1,胡梅梅唱了起来,
四十七、胡梅梅往处，下午,doc_48_chunk_1,胡梅梅唱得很投入，慢慢掉下了眼泪，把脸埋入被子里。,
四十七、胡梅梅往处，下午,doc_48_chunk_1,胡梅梅擦去眼泪，看着小武。,
四十七、胡梅梅往处，下午,doc_48_chunk_1,胡梅梅闭上了眼睛,
四十七、胡梅梅往处，下午,doc_48_chunk_1,胡梅梅抱住了小武。,
二十五、小酒馆，夜,doc_26_chunk_0,怪笑了起来,酒馆内
二十五、小酒馆，夜,doc_26_chunk_0,停止了唱歌，用手推了一下小武,酒馆内
二十五、小酒馆，夜,doc_26_chunk_0,佯装生气的样子,酒馆内
二十五、小酒馆，夜,doc_26_chunk_0,站起来，打开门一角,酒馆内
