doc_title,chunk_id,text,scene_context
124、INT. RESTROOM -- DAY,doc_123_chunk_2,Thanks for the support back there.,"Garage, Day: Kate thanks John for support."
107、INT. LIVING ROOM - DAY -,doc_106_chunk_0,What about the orphanage in Russia where she was raised? Wouldn't they have been able to tell?,"With Sister Abigail and John, discussing the orphanage in Russia."
133、EXT. ME TARY SCHOOL r MORNING,doc_132_chunk_0,"Daniel, wait a minute.",School drop-off: Kate asks Daniel to wait.
144、INT. LIQUOR STORE - NIGHT,doc_143_chunk_0,We're having guests over for dinner.,"Store counter, Kate tells cashier about having guests for dinner"
12、INT. MAX'S BEDROOM -- NIGHT,doc_11_chunk_0,Ore story. Then bedtime. Okay?,Bedtime scene: Kate responds to Max's request for a story.
12、INT. MAX'S BEDROOM -- NIGHT,doc_11_chunk_0,You want to hear about the baby again?,Bedtime scene: Kate asks Max about hearing the baby story again after he picks up the book.
1、INT. DELIVERY ROOM - NIGHT,doc_0_chunk_1,"Wait, I've changed my mind. I don't want to do this anymore.","Medical room, Kate changes her mind about a procedure while speaking to Doctor and Nurse."
11、INT. MUSIC ROOM - DAY,doc_10_chunk_2,"-No, I'm sorry.. But just... take a break for a little while, okay?","Outside, speaking with Max about taking a break."
129、INT. ESTHER'S BEDROOM - NIGHT,doc_128_chunk_0,That's not what I'm trying to dal I want this to work just as much as you,"Through heating vent, discussing medical visits with John"
107、INT. LIVING ROOM - DAY -,doc_106_chunk_2,Do you think she had something to do with'what happened to Yolanda?,In a conversation with Sister Abigail about Yolanda's case.
128、INT. JOHN'S DEN - NIGHT,doc_127_chunk_0,"This is what Sister Abigail was telling us about. Character-disturbed children, 'Look at the, symptoms. (READING) ""Superficially charming. Difficulty making and keeping frinnds. Cruelty to pets. Bossy and controlling. Overly affectionate with strangers.""","Kate shows John printed pages from the Internet about character-disturbed children, reading symptoms."
141、INT. EMERGENCY ROOM - CURTAIN AREA -- NIGHT,doc_140_chunk_1,"I swear, I barely touched her.",Emergency room: Kate speaks to ER doctor and John about an accident.
136、INT. KITCHEN - NIGHT,doc_135_chunk_0,You do?,"After dinner, kitchen: speaking with Esther about a flower surprise."
1、INT. DELIVERY ROOM - NIGHT,doc_0_chunk_4,"This isn't happening. Wake up, wake up, wake up...","Medical room, Kate speaks to herself"
