doc_title,chunk_id,text,scene_context
101、EXT. JUNGLE - HALF HOUR LATER,doc_100_chunk_0,Bad idea. Should have saved some.,"Jungle, alone, discussing the drink"
111、EXT. BEACH - MORNING,doc_110_chunk_0,Got to have shade. Got to have a hat.,"On a beach, Chuck is making a hat from a palm frond to get shade."
130、EXT. BEACH - DAY,doc_129_chunk_0,"Don't have a choice, do I?","Ocean edge, HELP boxes, expressing no choice"
106、EXT. CLIFF - MOMENTS LATER,doc_105_chunk_0,Come on. Crawl if you have to.,"Dusk at the ledge, Chuck urges someone to crawl across the rock bridge."
103、EXT. ISLAND - CLIFF - MOMENTS LATER,doc_102_chunk_0,"Other than that, Mrs. Lincoln, how did you enjoy the play?","On a narrow bridge over the ocean, Chuck speaks to Mrs. Lincoln about a play."
117、EXT. BEACH - DAY,doc_116_chunk_0,You deserve a break today...,"Beach, Chuck alone, expressing he deserves a break"
145、EXT. BEACH - DAY,doc_144_chunk_0,Dammit!,"Alone, attempting to start a fire with bamboo sticks."
128、EXT. BEACH - DAY,doc_127_chunk_1,I did it. I did it!,"On the beach, Chuck catches a crab and celebrates."
124、EXT. JUNGLE - DAY - LATER,doc_123_chunk_0,"Oh yeah, oh yeah, oh yeah.","In a muddy area, Chuck attacks clay with a stone"
133、EXT. PALM GROVE,doc_132_chunk_0,Okay. Okay now.,Chuck discovers a doctor's bag and reacts.
125、EXT. BEACH - SUNSET,doc_124_chunk_0,"Let's see, I waited two days. (makes marks) Then I buried Al. (slowly makes another mark) Al. You never made it home, buddy. Then American Express got me those clam things... (makes another mark) I dug all those damn holes, the clouds over the moon... (makes more marks) And today, the historic discovery of H, Two, Oh. (makes a tenth mark and underlines it) Ten days. Shit.","Alone at a palm tree, counting days and reflecting on isolation."
119、EXT. BEACH - DAY,doc_118_chunk_0,Wait a minute. Wait just a minute.,"Beach, alone, after finding soaked photograph of Kelly"
118、EXT. BEACH - DAY - LATER,doc_117_chunk_1,Damn fish!,"In the shallows, after failing to catch a school of fish."
145、EXT. BEACH - DAY,doc_144_chunk_1,"Careful now, careful...",Chuck carefully igniting a fire with kindling
110、EXT. BEACH - NIGHT - LATER,doc_109_chunk_0,Got to drink. Got to drink something.,Beach: Chuck is exhausted and needs to drink.
110、EXT. BEACH - NIGHT - LATER,doc_109_chunk_0,They don't belong to you.,FedEx boxes: Chuck realizes the boxes don't belong to him.
128、EXT. BEACH - DAY,doc_127_chunk_0,"A crab, it's a crab.","Fishing spot, Chuck identifies a crab."
128、EXT. BEACH - DAY,doc_127_chunk_0,Dammit!,"Fishing spot, Chuck misses the crab and is frustrated."
128、EXT. BEACH - DAY,doc_127_chunk_2,"Jesus. This is too much. He needs the next step, from the raw tothe cooked. The crucial next step from primitive man to the beginnings of civilization.",
151、EXT. BEACH - HALF HOUR LATER,doc_150_chunk_0,Damn tooth!,"By the fire, eating crab, Chuck flinches and complains about a tooth."
114、EXT. LAVA SLOPE - DAY,doc_113_chunk_0,"Oh, God. Thank you.","A flat rock, later. Chuck drinks water and thanks God."
143、EXT. BEACH - LATER,doc_142_chunk_0,Sonofabitch!,Frustrated after failed bamboo sawing attempt
143、EXT. BEACH - LATER,doc_142_chunk_0,Come on.,Urging bamboo to produce smoke
143、EXT. BEACH - LATER,doc_142_chunk_0,No. No. No.,Disappointed as smoke dies
157、EXT. SUMMIT - AFTERNOON,doc_156_chunk_0,Beautiful. So beautiful.,"On the shore at dusk, Chuck comments on the beauty of whales."
120、EXT. BEACH - MINUTES LATER,doc_119_chunk_0,Don't leave home without it.,"At the rock, Chuck scrapes limpets with a credit card"
120、EXT. BEACH - MINUTES LATER,doc_119_chunk_0,Yuck.,"At the rock, Chuck tastes limpet meat"
120、EXT. BEACH - MINUTES LATER,doc_119_chunk_0,Yumm.,"At the rock, Chuck swallows limpet meat"
158、EXT. WOODS - TREE - NEXT DAY,doc_157_chunk_0,Timberrr!,Tree shaking and about to fall
158、EXT. WOODS - TREE - NEXT DAY,doc_157_chunk_0,I heard that...,After tree falls with crash
164、EXT. LAGOON - DAY,doc_163_chunk_4,Shit!,Monsoon storm at shore; fire threatened by rain
176、INT. CAVE - LATER,doc_175_chunk_0,Shit. Shit. Shit.,Chuck is about to chisel his tooth but is frightened.
105、EXT. ISLAND SUMMIT - SUNSET - MOMENTS LATER,doc_104_chunk_0,No way on. No way off.,"On a small, inhospitable island, Chuck alone assesses the lack of escape."
105、EXT. ISLAND SUMMIT - SUNSET - MOMENTS LATER,doc_104_chunk_0,"This is bad. Really, really bad.","On the same island, Chuck alone expresses the severity of the situation."
129、EXT. PALM GROVE SERIES OF SHOTS - TRYING TO MAKE FIRE,doc_128_chunk_0,Stupid fucking thing!,"Chuck fails to make fire with a drill, frustrated."
129、EXT. PALM GROVE SERIES OF SHOTS - TRYING TO MAKE FIRE,doc_128_chunk_0,"I don't know what I did, God, but
whatever is was, I am really, really
sorry. You hear me? Really sorry.","Chuck, exhausted and with blistered hands, prays to God."
122、EXT. JUNGLE - LATER,doc_121_chunk_0,"Water, water, everywhere, water, water everywhere...",Chanting delusionally while digging a hole
122、EXT. JUNGLE - LATER,doc_121_chunk_0,Where's the water on this fucking island?,"Exhausted after throwing down spade, asking about water on island"
122、EXT. JUNGLE - LATER,doc_121_chunk_0,Just rest a minute.,"Lying on back with hat over eyes, saying to rest"
145、EXT. BEACH - DAY,doc_144_chunk_3,Yes! Yes! Yes!,"Starting a fire, Chuck sees the flame catch."
145、EXT. BEACH - DAY,doc_144_chunk_3,"If I ever forgot to thank you God, and I am sure I did, thank you now.","After the fire grows, Chuck thanks God."
157、EXT. SUMMIT - AFTERNOON,doc_156_chunk_1,A star. It's a star.,"On the horizon below the evening star, Chuck observes a light and initially mistakes it for a star."
157、EXT. SUMMIT - AFTERNOON,doc_156_chunk_1,It's a ship.,"On the horizon below the evening star, Chuck observes a light and realizes it is a ship."
