doc_title,chunk_id,description,scene_context
120、INT. CAVERN,doc_119_chunk_15,Abe follows HB,
113、EXT. GREEN FIELD - DAY,doc_112_chunk_1,Abe inserts and twists the cylinder.,
120、INT. CAVERN,doc_119_chunk_8,"Abe is now aghast, seeing the Prince drag his sister back.",
120、INT. CAVERN,doc_119_chunk_7,"Keeping his eyes on the Princess, Abe gives the gold piece to the Prince.",
120、INT. CAVERN,doc_119_chunk_20,"Abe hurries to the Princess. Takes her into his arms, blinking in despair.",
115、EXT. INLET - DAY,doc_114_chunk_0,Abe ... arrives and help Hellboy up.,"Near a cove, after docking from the inlet."
20、INT. SALES ROOM - SAME,doc_19_chunk_0,"ABE (backing away) Oh, my-",
120、INT. CAVERN,doc_119_chunk_17,"Abe looks at him, pleading",Scene involving a fight in the arena under the gaze of the golden army.
124、EXT. COASTLINE - DAY,doc_123_chunk_0,"Abe stands on a promontory, staring off at the ocean, which blazes with golden reflections.",
22、INT. SALES ROOM - CONTINUOUS,doc_21_chunk_2,He takes refuge as-,
105、INT. HB'S ROOM - LATER,doc_104_chunk_0,"Abe stands nearby, in silence.","Inside Hellboy's room, as Hellboy leans against the doorway and Liz enters."
120、INT. CAVERN,doc_119_chunk_6,"Abe, dripping wet, stands there, the last gold segment in the palm of his hand.","Tunnel entrance, after retrieving the gold segment."
109、INT. HANGAR - MOMENTS LATER,doc_108_chunk_0,"Abe's there, too. He raises a webbed hand to wave goodbye.",Inside the BPRD airplane cockpit as it taxis outside onto the runway.
107、INT. COCKPIT - SAME,doc_106_chunk_1,Abe is very quiet.,
107、INT. COCKPIT - SAME,doc_106_chunk_1,Abe smiles at the sound of the engines starting up.,
"112、EXT.OPEN FIELD,IRELAND - DAY",doc_111_chunk_0,Abe and JOHANN come out of the back doors of the cargo plane.,"Scene: At a location marked Reynville, Ireland, as the cargo plane opens its back doors."
24、INT. SALES ROOM - SAME,doc_23_chunk_0,Abe goes to the window and look down.,
103、INT. LIBRARY - NIGHT,doc_102_chunk_2,Abe looks supremely troubled.,
103、INT. LIBRARY - NIGHT,doc_102_chunk_2,"Abe nods, unable to find a good answer. He manages to tuck the gold piece into his belt.",
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_3,Abe says: Touche.,
122、EXT. TREE -- DAY,doc_121_chunk_0,"ABE speaks very quietly, saying 'Do it, please. I - I'm ready for the real world now.'","Scene at the strange, twisted tree where the BPRD team is preparing to pass through an arch formed by the tree roots."
114、EXT. INLET - DAY,doc_113_chunk_0,Abe brings out the map.,The team reaches the stony shore of a mile-wide inlet.
114、EXT. INLET - DAY,doc_113_chunk_0,Abe points to the opposite shore.,The team reaches the stony shore of a mile-wide inlet.
107、INT. COCKPIT - SAME,doc_106_chunk_0,"Abe's sitting in the pilot's seat, leafing through the massive airplane manual.",
107、INT. COCKPIT - SAME,doc_106_chunk_0,"Just a few more minutes. Here's an easy way to remember that ""port"" means ""left."" They each have four-",
123、EXT. RENVYLE - DAY,doc_122_chunk_1,Abe steps past Hellboy and removes his gunbelt and equipment pack.,
123、EXT. RENVYLE - DAY,doc_122_chunk_1,He gives his stuff to the astonished agent.,
123、EXT. RENVYLE - DAY,doc_122_chunk_1,Abe (walking away) I quit.,
116、EXT.. HILLTOP - DAY,doc_115_chunk_0,Abe surveys the coastline.,"On a hilltop, Abe is observing the coastline through binoculars."
116、EXT.. HILLTOP - DAY,doc_115_chunk_0,"Abe discerns a SECOND CAVE half-hidden behind wild, breaking waves.","On a hilltop, Abe is using binoculars to observe the coastline."
104、INT. CONFERENCE ROOM - LATER,doc_103_chunk_0,Abe stands at a lectern.,
104、INT. CONFERENCE ROOM - LATER,doc_103_chunk_0,"His finger traces the strange, elvish text.",
104、INT. CONFERENCE ROOM - LATER,doc_103_chunk_0,He moistens the holding cylinder case on a rubber stamp mat and imprints the surface pattern on the paper map.,
38、INT. HELLBOY'S ROOM - DAY,doc_37_chunk_1,"Abe stands behind them, juggling a dozen remote controls.",
38、INT. HELLBOY'S ROOM - DAY,doc_37_chunk_1,"He raises the volume as Manning is shown, surrounded by microphones.",
47、EXT. ROOFTOP - NIGHT,doc_46_chunk_0,Abe peers over the cornice of a bowling alley rooftop.,"Scene: On the rooftop of a bowling alley, overlooking distant crowds."
46、EXT. BROOKLYN BRIDGE,doc_45_chunk_1,Abe applauds.,
46、EXT. BROOKLYN BRIDGE,doc_45_chunk_1,Abe is dazzled.,
41、INT. GARAGE AREA / DRESSING LOCKER ROOMS,doc_40_chunk_1,"ABE Yes, very commanding, very soothing.",
41、INT. GARAGE AREA / DRESSING LOCKER ROOMS,doc_40_chunk_1,ABE I like him.,
45、EXT. BROOKLYN BRIDGE - DOCKS - NIGHT,doc_44_chunk_1,"ABE Very well, if you insist. (webbed hand on reporter's chest) You... keep... a large, battery-operated vibrating egg by your bedside...",
50、INT. BOWLING ALLEY,doc_49_chunk_0,Abe spays his webbed fingers,"Inside the basement of a bowling alley, shortly after the bag lady enters through a basement door."
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,doc_16_chunk_1,Abe Sapien says: Precisely...,
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,doc_16_chunk_1,"Abe Sapien explains that these things have a very active metabolism. They, um- excrete as soon as they eat and then need to eat some more. There are no corpses 'cause there are no LEFTOVERS-",
13、INT. SALES ROOM - SAME,doc_12_chunk_0,"Abe discovers an empty cage... and on the iron door, the embossed ROYAL SEAL.",
13、INT. SALES ROOM - SAME,doc_12_chunk_0,Abe hears a high-pitched chitter-chatter and looks around: Nothing.,
13、INT. SALES ROOM - SAME,doc_12_chunk_0,he extends his webbed fingers.,
51、INT. BOWLING ALLEY BASEMENT,doc_50_chunk_0,Abe moves his glasses,"Basement scene: Hellboy and Abe enter the basement and use prisms to alter their vision, revealing a transformed environment."
41、INT. GARAGE AREA / DRESSING LOCKER ROOMS,doc_40_chunk_0,"Abe pulls out TWO headsets of COMPOSITE GOGGLES, made of copper and glass, full of buzzing and whirring pieces.",
41、INT. GARAGE AREA / DRESSING LOCKER ROOMS,doc_40_chunk_0,He tries it on.,
57、INT. MAP SHOP - LATER,doc_56_chunk_4,she helps Abe up,
52、INT. TROLL MARKET - NIGHT,doc_51_chunk_3,Abe is thunderstruck.,
52、INT. TROLL MARKET - NIGHT,doc_51_chunk_3,Abe hurries after her.,As the Princess disappears into the mob.
113、EXT. GREEN FIELD - DAY,doc_112_chunk_0,"Abe unfurls the map and points at a drawing of a similar, weird tree.","Near a gnarled tree twisted by neons of wind, during a group effort to locate the portal."
113、EXT. GREEN FIELD - DAY,doc_112_chunk_0,Abe slips the map back into its crystal cylinder and holds it alongside: it looks to be a perfect fit.,"Near a gnarled tree twisted by neons of wind, after Johann discovers a slot in the tree."
57、INT. MAP SHOP - LATER,doc_56_chunk_5,ABE (bows his head),
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_1,"Abe and Liz move into the big, dark sales room, past a jumble of overturned chairs.","TNT. SALES ROOM - NIGHT: A BPRD agent (AGENT MUDD), Abe and Liz enter the sales room."
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_1,They use plasma-screen night-vision scanners to survey the devastation.,"TNT. SALES ROOM - NIGHT: A BPRD agent (AGENT MUDD), Abe and Liz are surveying the scene."
55、EXT. SHOP - SAME,doc_54_chunk_4,A red locator light flashes on Abe's utility belt.,
55、EXT. SHOP - SAME,doc_54_chunk_4,"I'm following a lead, Red. Keep your locator -.",
118、EXT. HILLS - DAY,doc_117_chunk_0,"Abe is standing there, WAVING","Along a rugged trail on a bluff high over the sea, near a cave opening."
118、EXT. HILLS - DAY,doc_117_chunk_0,Abe points at the violent sea below,"Along a rugged trail on a bluff high over the sea, near a cave opening."
118、EXT. HILLS - DAY,doc_117_chunk_0,Abe looks at Hellboy,"Along a rugged trail on a bluff high over the sea, near a cave opening."
