doc_title,chunk_id,description,scene_context
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_17,HELENA gets into a jacket.,
167 INT.  LIVING ROOM.  THE ROSS RESIDENCE.  DAY.,doc_164_chunk_4,HELENA looks in utmost despair.,
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_0,HELENA sits nervously opposite.,
121 EXT/INT.  THE ROSS RESIDENCE.  LIVING ROOM.  DAY.,doc_119_chunk_3,A suggestion that surprises HELENA. And clearly doesn't appeal.,
167 INT.  LIVING ROOM.  THE ROSS RESIDENCE.  DAY.,doc_164_chunk_0,HELENA looks at the floor and listens.,
132 INT.  KITCHEN.  THE ROSS RESIDENCE.  DAY.,doc_130_chunk_0,"HELENA whispers ""I need the number for a cab, please.""",
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_8,I'm making tea. Would you like some?,
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_18,HELENA opens the door and ROSS is barely through before it slams.,
178 INT.  APARTMENT.  SHASTA-TRINITY INSTITUTE.  NIGHT.,doc_175_chunk_0,HELENA heads towards it. Reaches out and is maybe a second away before it rings off.,
139 INT.  KITCHEN/LIVING ROOM/BEDROOM.  HOUSE.  DAY.,doc_137_chunk_5,HELENA stares unseeing at her own face.,"Inside a bedroom, after being sat on the bed by the intruder."
188 INT.  GYMNASIUM.  INSTITUTE.  NIGHT.,doc_185_chunk_4,HELENA in his arms,"The scene is illuminated by flashing lights and headlights flooding into the darkness, during a moment of embrace."
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_15,HELENA immediately looks uncomfortable,
33 INT.  APARTMENT.  INSTITUTE.  DAY.,doc_32_chunk_15,she stares at him with her useless eyes,
143 INT.  LIVING ROOM.  HOUSE.  NIGHT.,doc_141_chunk_0,A close-up Of HELENA on the sofa. Hears a sound of booze getting poured.,Inside a dimly lit house with a dismal lamp; Berlin is speaking off-screen.
143 INT.  LIVING ROOM.  HOUSE.  NIGHT.,doc_141_chunk_4,Takes HELENA in his arms with a lot of sorrys.,
