doc_title,chunk_id,fact,scene_context
131、EXT. RAFT - MIDDLE OF THE OCEAN - DAY,doc_130_chunk_3,Vanessa embraces and kisses Austin.,
157、INT. EXAMINATION AREA,doc_156_chunk_6,Vanessa is one of the top agents.,
113、EXT. DESERT,doc_112_chunk_0,Vanessa is in a leadership position over fifteen commandos.,
119、INT. CONTROL ROOM,doc_118_chunk_0,Vanessa decides to secure the perimeter despite being told to stay behind.,
161、INT. PRIVATE PSYCHEDELIC JET,doc_160_chunk_1,"Vanessa is assigned to handle a case that, if completed successfully, will result in her promotion to field operative.",
131、EXT. RAFT - MIDDLE OF THE OCEAN - DAY,doc_130_chunk_1,Vanessa is officially appointed as an active Field Agent with all associated privileges and responsibilities.,"Scene involving a helicopter overhead, where Basil Exposition confers credentials to Vanessa."
114、INT. FEMBOT LAIR,doc_113_chunk_3,Vanessa explicitly states that she believes Austin's explanation about the Fembots attacking him.,"Scene: After the Fembots are defeated, Vanessa enters and hears Austin's account."
202、INT. BRITISH MAKESHIFT HQ,doc_201_chunk_2,Vanessa suggests posing as a tourist to infiltrate Virtucon during a facility tour.,
215、INT. PROJECT VULCAN RESEARCH ROOM,doc_214_chunk_0,Vanessa successfully knocks out two scientists using roundhouse kicks.,
171、INT. CASINO,doc_170_chunk_1,Vanessa owns prescription X-ray glasses.,
171、INT. CASINO,doc_170_chunk_1,Vanessa has very bad astigmatism.,
187、INT. HOTEL SUITE,doc_186_chunk_0,Vanessa made Austin sleep on the couch.,
187、INT. HOTEL SUITE,doc_186_chunk_0,Vanessa resisted Austin Powers's charms.,
161、INT. PRIVATE PSYCHEDELIC JET,doc_160_chunk_5,The target character explicitly refuses to have sex with Austin under any circumstances.,"Scene: During a conversation with Austin, Vanessa states she will never have sex with him, even if the survival of the human race depended on it."
195、EXT. LAS VEGAS STREET - NIGHT,doc_194_chunk_0,Vanessa accepts a pet rock from Austin.,Scene: Walking along brightly-lit streets; the gift is given during a moment of shared enjoyment.
207、INT. HOTEL ROOM - DAY,doc_206_chunk_0,The target character decides to keep the relationship with Austin strictly professional.,"Scene: Austin's living room, during a conversation about his whereabouts the previous night."
245、EXT. DESERT,doc_244_chunk_0,Vanessa is in a leadership position over fifteen commandos.,
216、INT. STEAMROLLER TESTING FACILITY,doc_215_chunk_1,Vanessa successfully wrestles the machine gun away from a security guard.,Scene involving the steamroller confrontation with security guards.
228、INT. DR. EVIL'S MAIN CHAMBER,doc_227_chunk_0,Vanessa is identified as Mrs. Kensington's daughter.,"Scene: Underground lair, upon arrival of the electric minivan."
250、INT. CATWALK,doc_249_chunk_2,Vanessa successfully knocks out multiple private army soldiers using a series of kicks.,
251、INT. CONTROL ROOM,doc_250_chunk_0,Vanessa decides to secure the perimeter despite being told to stay behind.,
25、INT. EXAMINATION AREA,doc_24_chunk_5,Vanessa is one of the top agents according to Basil Exposition.,
246、INT. FEMBOT LAIR,doc_245_chunk_2,Vanessa explicitly states that she believes Austin's explanation.,Scene where Vanessa enters with commandos and finds Austin in his briefs.
