doc_title,chunk_id,description,scene_context
44、INT. TREE HOUSE - NIGHT,doc_43_chunk_2,Squints turns the lantern down low...,
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_2,Squints jots the stats in his pee-chee folder.,Benny joins the gang
104、EXT. THE SANDLOT - MR. MERTLE'S FENCE - NIGHT,doc_103_chunk_0,"Squints directs the operation, looking THROUGH THE CARDBOARD PERISCOPE",Directing operation using cardboard periscope
114、INT./EXT. TREE HOUSE - NIGHT,doc_113_chunk_0,lingers in the trap doorway a second too long,"Tree house, gang leaps away, Squints lingers in trap doorway"
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_0,SQUINTS come unglued and crowd the basepath,"Behind the chain-link backstop, during a baseball game where Benny is caught in a pickle"
133、EXT. TREE HOUSE - TIMMON'S BACKYARD - THE SANDLOT - THE,doc_132_chunk_0,Squints on periscope,BADLANDS - DAY: Catapult launch setup
115、EXT. TREEHOUSE - NIGHT,doc_114_chunk_0,Squints appears.,"Treehouse area, gang face down in dirt, dust explosion"
115、EXT. TREEHOUSE - NIGHT,doc_114_chunk_0,Takes his glasses off.,"Treehouse area, gang face down in dirt, dust explosion"
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_8,Squints peeks at them through a secretly opened eye.,
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_8,"Squints can no longer restrain himself, he grabs her - gives her a sloppy SMOOCH!",
121、EXT. TIMMONS' BACKYARD - DAY,doc_120_chunk_0,Squints administers.,"On the grass, during Yeah-Yeah's panic."
39、EXT. SANDLOT - DAY - LATER,doc_38_chunk_0,Squints arrives with a box of baseball cards.,Daily routine at 'The Dugout'
39、EXT. SANDLOT - DAY - LATER,doc_38_chunk_0,Squints shakes it up.,Daily routine at 'The Dugout'
2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,doc_1_chunk_1,pulls his transistor radio ear plug out,"Baseball field, Benny scores a run"
96、EXT. THE SANDLOT - MR. MERTLE'S FENCE - DAY,doc_95_chunk_0,Squints peers through the peep hole motioning directions to Ham.,"Timmons' yard, gang attempting to get broom stick under fence"
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_5,LOSING IT,
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_5,TEETH CLENCHED,
161、EXT. THE SANDLOT - DAY,doc_160_chunk_1,Squints grew up and married Wendy Peffercorn; they bought the Five & Dime and they still own it to this day.,
57、EXT. THE SANDLOT - MORNING,doc_56_chunk_1,Squints goes for Yeah-Yeah.,"Squints attempts to go for Yeah-Yeah, Ham holds him back."
52、INT. TREE HOUSE - NIGHT,doc_51_chunk_0,is proud of his story prowess.,
100、EXT. THE SANDLOT - MR. MERTLE'S FENCE - DAY,doc_99_chunk_0,Squints indicates 'go.',
87、EXT. THE SANDLOT - DAY,doc_86_chunk_1,takes them cautiously,
87、EXT. THE SANDLOT - DAY,doc_86_chunk_1,shuffles them forwards and backwards,
87、EXT. THE SANDLOT - DAY,doc_86_chunk_1,passes the eight cards amongst them all,
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_7,SQUINTS holds his nose.,"Pool, deep section: Squints prepares to dive."
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_7,Takes the deep leap.,"Pool, deep section: Squints prepares to dive."
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_7,Hits the water and... UNDERWATER...sinks like a stone.,"Pool, deep section: Squints dives and sinks."
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_7,Squints grins as he founders.,"Pool, deep section: Squints dives and sinks."
89、EXT. THE SANDLOT - DAY,doc_88_chunk_1,Squints sprints - Willy Mays basket catch.,"Baseball game, center field"
89、EXT. THE SANDLOT - DAY,doc_88_chunk_1,He throws to DeNunez.,"Baseball game, center field"
34、EXT. SANDLOT - DAY,doc_33_chunk_3,(DEFENSIVE),Conversation with Benny about the game
87、EXT. THE SANDLOT - DAY,doc_86_chunk_2,"Squints hands the cards back to the Benny, who takes home plate alone.","Card game scene, after the revelation of eight identical Maury Wills cards"
87、EXT. THE SANDLOT - DAY,doc_86_chunk_2,"Suddenly, Squints clutches his ear","Card game scene, after the gang stares at him"
92、INT. TREE HOUSE - DAY,doc_91_chunk_3,(COPPING),
3、EXT. ELEMENTARY SCHOOL - DRINKING FOUNTAIN - DAY,doc_2_chunk_0,Squints go for the 3 spigots,Group going for the 3 spigots
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_6,"SQUINTS pushes through the water, pulls himself out, and walks really fast to the diving board (taking off his glasses to impress her as he passes.)","Pool area, near diving board"
59、EXT. PUBLIC POOL - DAY,doc_58_chunk_6,SQUINTS walks the plank to the end. Looks wantingly toward THE LIFEGUARD who smiles back at him.,"Pool area, near diving board"
56、EXT. FIVE & DIME - MORNING,doc_55_chunk_0,spits into his palm and rubs the ball to get the shine off,"Outside the store, after coming out and opening the baseball box"
56、EXT. FIVE & DIME - MORNING,doc_55_chunk_0,"eyes go suddenly wide and he stares, and oggles, and gawks","Outside the store, as a blonde girl walks by"
56、EXT. FIVE & DIME - MORNING,doc_55_chunk_0,can only manage a totally embarrassing goofy grin,"Outside the store, after the blonde girl smiles at him"
57、EXT. THE SANDLOT - MORNING,doc_56_chunk_0,Squints run over,"Guys waiting anxiously, Yeah-Yeah and Squints run over"
