doc_title,chunk_id,description,scene_context
六十一、段宅春夜,doc_58_chunk_0,晓楼坐到梳妆镜前,
六十五、科班院内,doc_62_chunk_1,晓楼抓起铜烟袋，递给蝶衣,
六十五、科班院内,doc_62_chunk_2,晓楼站起来走到正屋阶下，提着刀胚子和一条板凳，放在院中，褪下裤子，趴了上去。,
四十四、后台春黄昏,doc_41_chunk_2,晓楼放下手绢。,
四十四、后台春黄昏,doc_41_chunk_0,晓楼站起来走到椅子旁。,
五十四、戏园 春夜,doc_51_chunk_0,室内，菊仙细细地给晓楼勾脸。,室内
六十四、段家,doc_61_chunk_0,晓楼正在捽蛐蛐罐。,春日阴，屋内
六十四、段家,doc_61_chunk_0,晓楼从墙上摘下剑。看那剑……,春日阴，屋内
四十七、戏园,doc_44_chunk_0,甩须长唱,舞台
四十五、花满楼春夜,doc_42_chunk_3,晓楼将碗转向菊仙。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼俏皮地一笑。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼看着菊仙。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼一笑。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼看着。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼拿茶壶，走到镜前。,
四十五、花满楼春夜,doc_42_chunk_3,晓楼猛转身，举起茶壶，迎头碰碎。,
五十、戏园后台,doc_47_chunk_3,晓楼上前一步,戏园内，证婚人相关对话
五十、戏园后台,doc_47_chunk_0,段晓楼转过头看。,屋内，蝶衣关上门后
六十九、段家夏夜,doc_66_chunk_0,坐在梳妆镜前赏看着一件件婴儿衣裤。,
五十、戏园后台,doc_47_chunk_4,菊仙挽着晓楼走去。,室内
四十六、后台春 黄昏,doc_43_chunk_0,高兴地说着,室内，补妆
四十五、花满楼春夜,doc_42_chunk_0,晓楼一把将彩凤拉到自己膝上。,二楼
四十五、花满楼春夜,doc_42_chunk_0,晓楼抱着彩凤。,二楼
四十二、戏园台上 春 黄昏 内,doc_39_chunk_0,晓楼和蝶衣走出化妆间，准备上场。,化妆间，准备上场
七十二、袁宅夏日阴,doc_69_chunk_0,晓楼看着四爷。,
七十二、袁宅夏日阴,doc_69_chunk_0,晓楼听着。,
七十五、法庭外春黄昏,doc_72_chunk_0,晓楼扒住门不肯撒手。,
四十一、照相馆门外春日晴,doc_38_chunk_0,蝶衣和晓楼走下楼梯,楼梯处，学生们冲过来
四十一、照相馆门外春日晴,doc_38_chunk_0,晓楼保护着蝶衣,楼梯处，学生们冲过来
四十五、花满楼春夜,doc_42_chunk_2,晓楼走到桌旁坐下。,
四十五、花满楼春夜,doc_42_chunk_2,晓楼打一喷嚏。,
四十五、花满楼春夜,doc_42_chunk_2,晓楼看菊仙。,
四十五、花满楼春夜,doc_42_chunk_2,晓楼将桔子倒在桌上，抄起一坛酒倒满一碗。,
四十五、花满楼春夜,doc_42_chunk_2,晓楼端着碗看着菊仙。,
四十五、花满楼春夜,doc_42_chunk_2,晓楼把酒喝了一半。,
五十四、戏园 春夜,doc_51_chunk_1,晓楼背身伸出胳膊，等着穿蟒袍，被一伪军夺走。,后台：日本兵盘查
五十四、戏园 春夜,doc_51_chunk_1,晓楼慢慢抬起头。,后台：日本兵盘查
五十四、戏园 春夜,doc_51_chunk_1,晓楼将茶壶击在伪军头上。,后台：日本兵盘查
六十五、科班院内,doc_62_chunk_0,晓楼、蝶衣不安地走来。,初夏日晴，院内，挂满戏衣
六十五、科班院内,doc_62_chunk_0,晓楼走上来。,初夏日晴，院内，挂满戏衣
六十五、科班院内,doc_62_chunk_0,程、段二人跪下。,初夏日晴，院内，挂满戏衣
五十七、日军部外春夜,doc_54_chunk_0,晓楼一口唾沫吐在蝶衣脸上。,马道
五十七、日军部外春夜,doc_54_chunk_0,晓楼出画。,马道
五十七、日军部外春夜,doc_54_chunk_0,晓楼上车。,马道
七十四、法庭,doc_71_chunk_1,有些紧张地盯着蝶衣。,
七十、戏园冬日阴,doc_67_chunk_2,晓楼抱着菊仙闯进后台。,后台，菊仙倒下后
