scene,question,answer,evidence,qa_type
八十、派出所，夜,三兔对抓梁小武的看法是什么？,我觉得是一件大快人心的事，像梁小武这样的害群之马，就应该抓起来。,三兔：我觉得是一件大快人心的事，像梁小武这样的害群之马，就应该抓起来。,dialogue/beliefs
二十二、厢房里，夜,"在[二十二、厢房里，夜]中, 小武在对话中的情绪状态如何？",愤怒且感到被轻视,你他妈看不起我...你他妈变了,character states
六十二、小武家，黄昏,"在[六十二、小武家，黄昏]中, 母亲收到戒指时的情绪如何？",怀疑和不信任,你又来哄我了,character states
二十三、小酒馆，夜,"在[二十三、小酒馆，夜]中, 小武在小酒馆的情绪状态如何？",愤怒，威胁要砸电视,小武：关了，关了！再不关我可砸了！,character states
二十三、小酒馆，夜,"在[二十三、小酒馆，夜]中, 老板关电视时的情绪状态如何？",无奈，扫兴地关电视,老板扫兴地关上了电视,character states
三十三、回春药店傍院（原剧本，实拍时删去）,小武拧电启火后发生了什么？,灯管还没全亮，蓝光使小武的脸变得苍白。,灯管还没全亮，蓝光使小武的脸变得苍白。,causal/relational queries
五十三、梦巴黎歌厅,小武如何对胡梅梅的头发吐烟？,将她的头按在自己的膝盖上并吐烟,小武把胡梅梅的头按在自己的膝盖上，对她的头发里吐了一口烟，烟慢慢从胡梅梅头发里冒出来，好像着火了一样。,detailed description
十八、邮局，天刚黑,"在[十八、邮局，天刚黑]中, 郝有亮的情绪状态如何？",陷入沉思,郝有亮陷入沉思中,character states
二十、药店里，夜,"在[二十、药店里，夜]中, 小武为什么急着要钱？",小武急着要钱因为要给小勇结婚送礼。,小武：我急着要钱。...小武：小勇明天结婚，我得给他上点儿礼。,character states
五十七、梦巴黎歌厅，夜,中年男人如何表达不耐烦？,甩着钥匙圈,中年男人在一边不耐烦地甩着钥匙圈。,detailed description
三十二、发廊外，傍晚,胡梅梅为什么在小武脸上亲了一口？,为了结束对话并离开,胡梅梅走过来，看看四下没人便在小武脸上亲了一口。我得回歌厅去了，有空来找我。,causal/relational queries
十七、街口的信箱旁，夜晚(实拍时删去),"在[十七、街口的信箱旁，夜晚(实拍时删去)]中, 小武在塞身份证时的状态如何？",迅速且谨慎,看看四下没有人注意，从兜里掏出五六个身份证，迅速塞进了邮筒,character states
二十、药店里，夜,"在[二十、药店里，夜]中, 更胜对小武的要求有何反应？",更胜情绪激动，担心小武的安全。,更胜情绪激动：不知道这两天紧吗？你怎么又去弄了？,character states
十六、僻静的小巷，傍晚,"在[十六、僻静的小巷，傍晚]中, 小武从公共厕所出来后的行为状态如何？",吹着口哨沿着胡同向大街走去,小武吹着口哨从公共厕所(实拍时改为将身份证投入街边信箱)里出来了，沿着胡同向大街走去。,character states
六十二、小武家，黄昏,"在[六十二、小武家，黄昏]中, 梁长有的身份是什么？",三代贫农,咱们家三代贫农,character states
八十二、街道上，上午（实拍时删去）,郝有亮对小武说了什么？,我进去有点事，你等我一下。,郝有亮带着小武去看守所，走到一家电器店门前，郝有亮：我进去有点事，你等我一下。,dialogue/beliefs
五十九、胡梅梅家院子里，中午,小武在院子里做什么动作？,烦躁地玩着口袋里的硬币,小武烦躁地玩着口袋里的硬币，站在院子里喊道：胡梅梅、胡梅梅！,detailed description
五十四、饭店里，白天（实拍时增加的场次）,小武在饭店里如何与他人互动？,在酒桌间穿行，与每个人碰杯并饮尽每杯酒,小武在饭店里的酒桌里穿行而过，他和每一个人都碰杯，每一杯都～饮而尽,detailed description
靳小勇家院门外，下午,三只手在文中指什么？,小偷或过去的职业,靳小勇：...当过三只手。,terminology/abbreviation/concept
七十七、街头闹市，黄昏,买东西的男人说了什么？,抓小偷，抓小偷！,买东西的男人：抓小偷，抓小偷！,dialogue/beliefs
