doc_title,chunk_id,text,scene_context
140、日.外.黄家楼顶,doc_139_chunk_0,出车,确楼项上，黄四郎手持望远镜，看着没有了银子的大街。
173、日.外.黄家楼顶,doc_172_chunk_0,糟了糟了! 我成蔡身了。,场景162：在镜子前，黄四郎自言自语，意识到自己成了蔡身。
134、日.外.商家楼顶,doc_133_chunk_0,这个张及子到底要干什么呢?,
134、日.外.商家楼顶,doc_133_chunk_0,可他说过，三天之后斩我人头?,场景144
168、夜.内.黄家二厅,doc_167_chunk_0,这他妈是四个人”?,枪声大作，黄四郎与胡千在查看情况。
168、夜.内.黄家二厅,doc_167_chunk_0,去看看!,枪声大作，黄四郎与胡千在查看情况。
132、日.外.商家楼项连主街,doc_131_chunk_0,白人花花的银子都散给穷人，作苍|明 于 老分，散不了吧! 你瞧，除了忽，没有活物敢过去!,银街：黄四郎评论白人散银子给穷人。
167、晨.外.黄家大道铁门外竹林里,doc_166_chunk_0,这他妈是四个人”?,场景168：夜，黄家二厅，黄四郎与胡千讨论枪声。
167、晨.外.黄家大道铁门外竹林里,doc_166_chunk_0,去看看!,场景168：夜，黄家二厅，黄四郎与胡千讨论枪声。
146、日.外.黄家楼项,doc_145_chunk_0,果然回来了! 一，二，三，四……: 他们一共发了几车银子?,与胡干对话，询问银子发放数量。
146、日.外.黄家楼项,doc_145_chunk_0,那怎么收回来六车?,与胡干对话，质疑银子回收数量。
146、日.外.黄家楼项,doc_145_chunk_0,哦? 那九成呢?,与胡于对话，询问九成银子去向。
159、日.外.黄家楼顶,doc_158_chunk_0,他妈的刁民! 敢杀我的马?,场景154：烈马倒地后，黄四郎因马被杀而愤怒指责刁民。
159、日.外.黄家楼顶,doc_158_chunk_0,哦……,场景154：胡千安抚黄四郎，黄四郎表示感动。
159、日.外.黄家楼顶,doc_158_chunk_0,十命抵一条马命!,场景154：胡千承诺给马报仇，黄四郎回应。
30、日.外.黄家楼顶,doc_29_chunk_0,谁啊?,望远镜处，黄四郎与胡千对话，询问来人身份。
30、日.外.黄家楼顶,doc_29_chunk_0,硅品是个好东西!,替身行礼后，黄四郎回应。
52、夜.内.黄家克楼楼榜,doc_51_chunk_0,县长英雄气概，师和区文采斐然，珠联鉴合啊|,黄家确楼楼梯上，黄四郎与老汤对话
34、日.外.商家楼顶,doc_33_chunk_0,这个张及子到底要干什么呢?,场景144
41、夜.内.黄家二厅,doc_40_chunk_0,是老爷叫你去的吗?,在黄四郎的面前，孙守义跪着，黄四郎询问孙守义是否被老爷指使。
41、夜.内.黄家二厅,doc_40_chunk_0,听不见。,在黄四郎的面前，孙守义回答后，黄四郎说听不见。
50、日.内.县衙里屋,doc_49_chunk_1,县长，师爷! 大驾光临! 有失远迎,场景51：黄昏，外，竹林/黄家再楼群，黄四郎迎接县长和师爷。
53、夜.内.黄家大党,doc_52_chunk_6,那就不能怪我! 只能怪你们没出县。就赚那点小Dollar吧。不过，我还可以帮你们一个忙，我出钱，当诱饵，我出多少，两大家族必须出多人少,
53、夜.内.黄家大党,doc_52_chunk_8,师爷，你定。,分账讨论，对话对象：师爷
53、夜.内.黄家大党,doc_52_chunk_8,师爷。,分账讨论，对话对象：师爷
179、日.外.黄家克楼外,doc_178_chunk_1,我不是他。,
179、日.外.黄家克楼外,doc_178_chunk_1,我真的不是他!,场景中下1：与武举人对话，否认身份。
142、日.外.黄家楼项,doc_141_chunk_0,我要你看一看，什么叫做草船借箭。,在太师椅旁，与胡千对话，主题为草船借箭的比喻。
142、日.外.黄家楼项,doc_141_chunk_0,你个傻瓜，,在太师椅旁，与胡千对话，主题为草船借箭的比喻。
142、日.外.黄家楼项,doc_141_chunk_0,这叫比喻! 比喻! 比险! 比喻!,在太师椅旁，与胡千对话，主题为草船借箭的比喻。
154、日.外.黄家楼顶,doc_153_chunk_0,情况如何?,场景1-3：在楼梯上，黄四郎向胡于询问情况。
154、日.外.黄家楼顶,doc_153_chunk_0,情况如何?,场景1-3：在楼梯上，黄四郎向胡于询问情况。
70、日.外.忽城城墙,doc_69_chunk_7,蔡身就是为我干这个的! 这个钱，我一分都不出| 不过两大家族的钱，一定会过你们的手啊| 弟弟，不要为我担心啊! 弟弟，千万不要为我担心| 哈哈哈哈|,黄四郎手一挥，家丁收枪列队离开，主题：钱和弟弟的担心
70、日.外.忽城城墙,doc_69_chunk_7,放你妈的屁! 一定要找到明万! 活要见人，死要见尸。,明干报告明万投靠，黄四郎回应
82、日.内.艳阳楼,doc_81_chunk_1,接客。,帘后
90、夜.外.故城街道,doc_89_chunk_1,唉!,
90、夜.外.故城街道,doc_89_chunk_1,怎么会是胡万?,
90、夜.外.故城街道,doc_89_chunk_1,全是黄家的人,场景103
90、夜.外.故城街道,doc_89_chunk_1,碎匪呢? 厅匪呢? 厅匪呢?,
90、夜.外.故城街道,doc_89_chunk_2,你们看到了没有! 这就是当麻菲的下场|就算是我亲参也得死! 死有余境! 早晚|,户外场景，黄四郎击打胡万后对众人狂吼。
90、夜.外.故城街道,doc_89_chunk_5,好。,张牧之提出等三天，黄四郎同意。
90、夜.外.故城街道,doc_89_chunk_0,师爷，来来，请。,雨中，尸体前，黄四郎与老汤对话
90、夜.外.故城街道,doc_89_chunk_0,或许是你的恩人哪。,雨中，尸体前，黄四郎与老汤对话
90、夜.外.故城街道,doc_89_chunk_0,既然我是你的恩人，那就听轧人的语，揭开看看。去吧，看看! 来，照上，照上,雨中，尸体前，黄四郎与老汤对话
96、日.内.县衙大党,doc_95_chunk_0,这照片是你吗?,照片展示场景，与张牧之讨论照片身份
