doc_title,chunk_id,text,scene_context
11、INT THE WHITE WALL,doc_10_chunk_15,"Oh, please.",
1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,doc_0_chunk_5,Don't say that.,
11、INT THE WHITE WALL,doc_10_chunk_28,I haven't read it in years.,
11、INT THE WHITE WALL,doc_10_chunk_22,The more for us!,
11、INT THE WHITE WALL,doc_10_chunk_22,Hello?,
1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,doc_0_chunk_2,There it is!,"Living room, Flan speaks to Ouisa and possibly others after discovering a missing Kandinsky painting leaning against a chair."
11、INT THE WHITE WALL,doc_10_chunk_48,Then we'll say our good nights now.,"Scene: In the master bedroom, Flan speaks with Paul and Ouisa at the end of an evening."
11、INT THE WHITE WALL,doc_10_chunk_37,I hope your muggers read every word.,
11、INT THE WHITE WALL,doc_10_chunk_37,Where will you stay?,
14、EXT PINK SKY DAWN,doc_13_chunk_0,,
11、INT THE WHITE WALL,doc_10_chunk_51,You see how easy it is.,"Scene with Flan, Ouisa, and Paul; Flan speaks during a conversation about Paul bringing his father for dinner."
11、INT THE WHITE WALL,doc_10_chunk_21,Isn't he from Jamaica? There's a taste of--,
11、INT THE WHITE WALL,doc_10_chunk_21,I am astonished!,
11、INT THE WHITE WALL,doc_10_chunk_24,Blunt question. What's he like?,
11、INT THE WHITE WALL,doc_10_chunk_24,I'm not a star fucker.,
11、INT THE WHITE WALL,doc_10_chunk_38,There's an alarm by the bed,"Scene: In their daughter's bedroom, Flan speaks to Paul about staying the night, mentioning the alarm by the bed."
11、INT THE WHITE WALL,doc_10_chunk_39,It's only a problem if you leave.,
11、INT THE WHITE WALL,doc_10_chunk_39,And we want to be in Cats.,
11、INT THE WHITE WALL,doc_10_chunk_20,Mmrmmm .. yes.,"Scene: At a dinner table, Flan is eating with Paul, Ouisa, and Geoffrey; the conversation is about the quality of the food."
11、INT THE WHITE WALL,doc_10_chunk_23,"Geoffrey, Harvard has all those great titles the
students give courses.",
11、INT THE WHITE WALL,doc_10_chunk_23,Krauts and Doubts.,
11、INT THE WHITE WALL,doc_10_chunk_10,What should we do?,"Scene involving Ouisa, Geoffrey, and Paul; Flan is speaking to Ouisa about what they should do, during a gathering where Paul suggests going into the kitchen."
11、INT THE WHITE WALL,doc_10_chunk_52,I want to get on my knees and thank god -money-,"The master bedroom/bathroom: Flan is getting ready for bed with Ouisa, discussing money."
11、INT THE WHITE WALL,doc_10_chunk_45,"People want to sell privately.
Not go through a gallery.",
11、INT THE WHITE WALL,doc_10_chunk_45,"People come to me looking for a
certain school of painting.",
11、INT THE WHITE WALL,doc_10_chunk_40,That's very important. It has to be in our contracts. We are humans.,
11、INT THE WHITE WALL,doc_10_chunk_40,Forget it. It was only an evening at home.,
11、INT THE WHITE WALL,doc_10_chunk_44,Figure it out. He doesn't have the price of -a dinner but he can cough up two million dollars and the Japs will go ten!,"Living room, Flan speaks to Paul and Ouiza about Geoffrey's ability to raise money."
14、EXT PINK SKY DAWN,doc_13_chunk_6,Oh my God!,
14、EXT PINK SKY DAWN,doc_13_chunk_10,Make sure they leave. By the back door.,"Elevator scene: Flan speaks to an unspecified person, instructing them to ensure others leave through the back door."
11、INT THE WHITE WALL,doc_10_chunk_6,A frozen steak from the Ice Age.,
11、INT THE WHITE WALL,doc_10_chunk_6,Two. Two at Harvard. A daughter at Groton.,"MILLBROOK CLUB BAR: FLAN speaks to a NEWCOMER, mentioning his children's schools."
12、EXT THE APARTMENT BUILDING/CENTRAL PARK NIGHT,doc_11_chunk_5,"This is what I dreamt. I didn't dream so much
as realize this. I felt so close to the
paintings. I wasn't just selling like piecesof meat. I remembered why I loved paintings in
the first place - what had got me into this -
and I thought - dreamed - remembered-",
14、EXT PINK SKY DAWN,doc_13_chunk_13,we're alive.,
14、EXT PINK SKY DAWN,doc_13_chunk_13,Hello?,
11、INT THE WHITE WALL,doc_10_chunk_7,"What are they supposed to say? We've become friends with the son of Sidney Poitier, barrier breaker of the fifties and sixties?","BACK IN THE KITTREDGE'S LIVING ROOM, Flan speaks with Paul, Ouisa, and Geoffrey about their acquaintance with a man claiming to be Sidney Poitier's son."
25、INT PRECINCT,doc_24_chunk_0,You got it.,
11、INT THE WHITE WALL,doc_10_chunk_50,And you saved us a fortune. Do you know what our bill would've been at that little Eye-tie store front?,Scene or location not specified; Flan speaks to Paul about money saved and a bill at a store.
11、INT THE WHITE WALL,doc_10_chunk_50,Fifty dollars.,Scene or location not specified; Flan speaks to Paul about the commission amount.
11、INT THE WHITE WALL,doc_10_chunk_49,Take fifty dollars.,"In the hall, Flan speaks to Paul and Ouise after entering from another room; the conversation involves giving money, possibly to a child or someone in need."
11、INT THE WHITE WALL,doc_10_chunk_49,A strike. Air controllers.,"In the hall, Flan explains why a plane might be late, responding to Ouise's concern about travel delays."
17、INT JFK THE TERMINAL,doc_16_chunk_0,No! We'll call!,"Kittredge's living room, Flan speaks to Geoffrey about making a call."
1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,doc_0_chunk_6,I want to know if anything's gone?,"Scene: In a home, Flan is checking for missing items after a possible break-in, speaking to Ouisa."
1、INT KITTREDGE'S APARTMENT LIVING ROOM DAWN,doc_0_chunk_6,There's the inkwell. Silver beaver. Why?,"Scene: In a home, Flan is examining a Victorian inkwell after a possible break-in, speaking to Ouisa."
14、EXT PINK SKY DAWN,doc_13_chunk_9,Make sure they go out!,
14、EXT PINK SKY DAWN,doc_13_chunk_9,Give me my fifty dollars.,
14、EXT PINK SKY DAWN,doc_13_chunk_4,What is it?!,"The master bedroom, Flan is shaken awake by Ouisa; they hear a disturbance and their dog barking in the living room."
15、INT A LIMOUSINE MORNING,doc_14_chunk_0,Two hundred and fifty thousand?,"THE KITTREDGE'S LIVING ROOM MORNING: FLAN is reacting to Geoffrey's statement about an overcall, appearing shocked or confused."
16、EXT CURBSIDE KENNEDY AIRPORT,doc_15_chunk_0,Yes. It sounds a wonderful idea.,"Kittredge's living room, Flan responds to Geoffrey's idea during a phone call that Ouisa is trying to hear."
13、INT AIRPLANE HANGAR,doc_12_chunk_0,How easy it is for a painter to lose a painting. He can paint and paint - work on a canvas for months and one day he loses it - just loses the structure - loses the sense of it - you lose the painting.,"Scene: In a bright vast empty space at a slide carousel, Flan projects slides of paintings and speaks in voiceover about the fragility of artistic creation."
18、INT AIRPORT IMMIGRATION,doc_17_chunk_0,No need to thank. See you shortly.,"KITTREDGE'S LIVING ROOM: Flan speaks, though the recipient of the dialogue is not explicitly identified."
29、INT THE MORGAN LIBRARY NIGHT,doc_28_chunk_3,And jam .,
29、INT THE MORGAN LIBRARY NIGHT,doc_28_chunk_2,Although I think it's a very fine Kandinsky.,
30、EXT CENTRAL PARK DAWN,doc_29_chunk_2,,
25、INT PRECINCT,doc_24_chunk_3,We told them our story.,
25、INT PRECINCT,doc_24_chunk_3,Let's go back to our place.,
28、INT THE PRECINCT,doc_27_chunk_1,He left.,
28、INT THE PRECINCT,doc_27_chunk_1,You can't chuck us out.,
26、INT KITTREDGE'S APARTMENT NIGHT,doc_25_chunk_2,"""To thank you for a wonderful time.
Paul Poitier.'""",
26、INT KITTREDGE'S APARTMENT NIGHT,doc_25_chunk_2,A pot of jam?,
19、INT KENNEDY AIRPORT THE GATE,doc_18_chunk_0,My lawyer.,"Kittredge's living room, Flan speaks, likely in response to Geoffrey's mention of banks."
19、INT KENNEDY AIRPORT THE GATE,doc_18_chunk_0,Safe trip.,"Kittredge's living room, Flan speaks as Geoffrey prepares to leave or departs."
