doc_title,chunk_id,text,scene_context
11、INT THE WHITE WALL,doc_10_chunk_16,That's not me. I've never felt people liked me for my connections. Movie star kid problems. None of those.,
11、INT THE WHITE WALL,doc_10_chunk_18,Here's dinner. All ready.,"Scene in a kitchen; Paul is serving dinner to Ouisa, Flan, and Geoffrey."
11、INT THE WHITE WALL,doc_10_chunk_45,Your kids said you were an art dealer. But you don't have a gallery. I don't understand -,
11、INT THE WHITE WALL,doc_10_chunk_23,You're like all parents. What's your major?,Scene context not specified: Paul responds to Ouisa during a dinner conversation about college majors.
11、INT THE WHITE WALL,doc_10_chunk_12,YOU'RE FROM GEOFFREY Johannesburg.,"Scene: In a kitchen, Paul speaks to Geoffrey while preparing food; the topic appears to be Geoffrey's origin."
11、INT THE WHITE WALL,doc_10_chunk_5,Out to dinner?,
11、INT THE WHITE WALL,doc_10_chunk_5,But why go out to dinner?,
11、INT THE WHITE WALL,doc_10_chunk_21,"Yes. Before he made it, he ran four restaurants in Harlem. You have good buds!",Scene context not specified: Paul speaks with Flan and Geoffrey about someone's background and compliments Geoffrey's connections.
11、INT THE WHITE WALL,doc_10_chunk_41,Let me clean up -,BACK IN THE KITTREDGE'S HALL: Paul is alone with Ouisa after Flan walks Geoffrey to the elevator. Paul speaks as he moves to the dining room.
11、INT THE WHITE WALL,doc_10_chunk_51,But I'll get it back to you tomorrow. I want my father to meet you.,
11、INT THE WHITE WALL,doc_10_chunk_51,Could I?,
11、INT THE WHITE WALL,doc_10_chunk_28,"I borrowed a copy from a young friend of mine because I wanted to see what she had underlined and I read this book to find out why this touching, beautiful, sensitive story published in July 1951 had turned into this manifesto of hate.",
11、INT THE WHITE WALL,doc_10_chunk_7,who've been wonderful to me.,"Scene: Kittredge's living room, Paul is speaking to Ouisa and others about people who have helped him."
11、INT THE WHITE WALL,doc_10_chunk_10,No! We're all good friends now. . His kids from that marriage. Us - the old kids. I'd love to get in that kitchen.,"Scene involving Ouisa, Flan, and Geoffrey; Paul speaks about family dynamics and expresses interest in joining the kitchen activities."
11、INT THE WHITE WALL,doc_10_chunk_22,The cook never eats.,"Scene: In a dining area, Paul responds to Ouisa's question about his food."
11、INT THE WHITE WALL,doc_10_chunk_22,Seconds?,Scene: Paul returns with more food in bowls and offers seconds to the group.
11、INT THE WHITE WALL,doc_10_chunk_49,Oh Christ. Regretfully. I4l1 tip toe.,
11、INT THE WHITE WALL,doc_10_chunk_49,Don't need it.,"Scene in a hall; Paul speaks to Flan and Ouisea, who offer him money."
11、INT THE WHITE WALL,doc_10_chunk_3,"He won the Oscar for Lilies of the Field and was twice named top male box-office star in the country. My father made no films from to 1987 but worked as director and author. Dad said to me once ""I still don't fully understand how all that came about in the sequence it came about"".",
11、INT THE WHITE WALL,doc_10_chunk_20,Is everything okay?,"Scene in a dining room, Paul is speaking with Flan, Ouisa, and Geoffrey during a meal."
11、INT THE WHITE WALL,doc_10_chunk_20,My father insisted we learn to cook.,"Scene in a dining room, Paul is speaking with Flan, Ouisa, and Geoffrey during a meal."
11、INT THE WHITE WALL,doc_10_chunk_6,You must have something in the fridge.,
11、INT THE WHITE WALL,doc_10_chunk_6,"Why spend a hundred dollars on a bowl of rice? Let me into the kitchen. Cooking calms me. What I'd like to do is calm down, pay back your kids-",
11、INT THE WHITE WALL,doc_10_chunk_17,"But I never knew I was black in that racist way till I was sixteen and came back here. Very protected. White servants. After the divorce we moved to Switzerland. My mother, brother and Z.I don't feel American. I don't even feel black. I suppose that's very lucky for me even though Freud says there's no such thing as luck. Just what you make.",
11、INT THE WHITE WALL,doc_10_chunk_15,"it makes you realize that the 'crummy childhood' theory, that everything can be blamed in a Freudian fashion on the fact that you've had a bad upbringing, just doesn't hold water.",
11、INT THE WHITE WALL,doc_10_chunk_15,My problem is I've never felt American. I grew up in Switzerland. Boarding school. Villa Rosey.,
