doc_title,chunk_id,fact,scene_context
154、EXT. BANK - CERRITO,doc_153_chunk_1,Chris is being supported by Neil.,
135、INT. HANNA'S OFFICE - HANNA - NIGHT,doc_134_chunk_0,Chris does not talk about jobs with Charlene.,
165、INT. DR. BOB'S DOG AND CAT HOSPITAL SURGERY - CHRIS - DAY,doc_164_chunk_0,Chris is unconscious.,"Veterinary clinic, Bob working on Chris."
153、EXT. BANK AND STATION WAGON - CERRITO - DAY,doc_152_chunk_3,Chris has a bleeding neck injury.,PARKING LOT
119、INT. ROBERT'S COFFEE SHOP - NEIL + CHRIS - DAY,doc_118_chunk_2,"Chris is informed of the cook's background: D Block, San Q., and a nickel on armed robbery.","Kitchen, Neil informs Chris about the cook's background."
142、EXT. FIRST COMMERCIAL BANK OF WILMINGTON - TRAVELING PAST,doc_141_chunk_0,Chris is seated in the rear of the Mercury station wagon.,Entrance - Day
207、EXT. MARINA - WIDE ON ALLEY FROM ROOF - TWILIGHT,doc_206_chunk_1,Chris is the target of COP #5's rifle.,"Roof of apartment building, COP #5 aiming rifle at Chris"
"197、EXT. DR. BOB'S DOG AND CAT HOSPITAL, KENNELS - WIDE - DAY",doc_196_chunk_1,Chris is told the address Charlene said she was at.,Scene 130
34、INT. EARLY 60'S COFFEE SHOP - WIDE - NIGHT,doc_33_chunk_0,Chris is in a booth with Cerrito.,Booth by a window in a futuristic 1963 setting
"35、EXT. COFFEE SHOP, REAR PARKING LOT - WIDE - NIGHT",doc_34_chunk_1,Chris knows Neil is going to kill Waingro.,CLOSER
24、EXT. STREET - ARMORED CAR,doc_23_chunk_3,Chris has a manila envelope.,van exit
"60、INT. NEIL'S APARTMENT, KITCHEN - CHRIS - DAY",doc_59_chunk_3,Chris is committed to making it work.,Plan discussion between Neil and Chris
24、EXT. STREET - ARMORED CAR,doc_23_chunk_1,Chris is inside the Armored Truck.,"Armored Truck interior, during a search operation"
36、INT. SHIHERLIS APARTMENT - ON CHARLENE - NIGHT,doc_35_chunk_3,"Chris requires Dominick, the bank book, and the car keys to be left on the kitchen table for Charlene to leave.",Domestic argument in the house
116、EXT. ROOFTOP POV: ON ALLEY BELOW,doc_115_chunk_0,Chris is in the Pontiac.,"Pontiac, Jackson's men poised"
92、EXT. CHINESE RESTAURANT - NEIL - NIGHT,doc_91_chunk_0,Chris owns a Seville.,Exiting the restaurant
160、EXT. SAFEWAY PARKING LOT - NEIL + CHRIS,doc_159_chunk_0,Chris is placed in the back seat of the car.,Neil dumps Chris into the back seat of the Olds Cutlass as Hanna closes in.
89、INT. CHINESE RESTAURANT - NEIL,doc_88_chunk_1,Chris is present at the round table during the anniversary celebration.,Round table anniversary celebration
144、INT. MERCURY WAGON - CERRITO - DAY,doc_143_chunk_0,Chris wears a stubby weapon concealed under a nylon shell jacket on a shoulder strap.,"Residential street off Hawthorne, in view of the bank, during weapon preparation."
