scene,question,answer,evidence,qa_type
3、INT. FISHING BOAT BUNK ROOM -- NIGHT,What does 'THE MAN' refer to in the passage?,The injured person being treated by the sailors.,SAILORS sweeping off the table -- rough hands laying THE MAN down --,terminology/abbreviation/concept
6、INT. FISHING BOAT BUNK ROOM -- DAY,"In [6、INT. FISHING BOAT BUNK ROOM -- DAY], What is The Man's physical condition?",Bandaged and in pain,"THE MAN is bandaged. He's sitting up, and it must hurt like hell",character states
25、EXT. ZURICH -- DAY,"In [25、EXT. ZURICH -- DAY], What is the man's current action?",Checking for cops and trouble,Checking for cops and trouble.,character states
22、EXT. ZURICH PARK -- NIGHT,"In [22、EXT. ZURICH PARK -- NIGHT], What is THE MAN's emotional state when confronted by the Zurich cops?",Uncertain and anxious.,THE MAN not sure what to do. Eyes moving. Mouth shut.,character states
56、EXT. U.S. CONSULATE BUILDING WALL -- DAY,What does Bourne say after the red bag falls?,Forget the open window. Now he's got to go all the way.,THE RED BAG falls. Thump. Into the courtyard. Forget the open window. Now he's got to go all the way.,dialogue/beliefs
49、INT. U.S. CONSULATE MAIN CONFERENCE ROOM -- DAY,What action does Bourne take immediately after closing the door?,Jamming a chair to wedge it tight,he's CLOSING A DOOR behind him -- he's jamming A CHAIR -- wedging it in tight so the door won't open,temporal references
59、INT. TREADSTONE COMMUNICATIONS DESK -- NIGHT,What belief does Zorn express about Bourne's actions?,Maybe it's a game. Maybe he's trying to send us a message.,ZORN Maybe it's a game. Maybe he's trying to send us a message.,dialogue/beliefs
59、INT. TREADSTONE COMMUNICATIONS DESK -- NIGHT,What does Conklin say upon confirming Bourne's identity?,"It's him. My God, it's really him...","CONKLIN (staring at the monitor) It's him. My God, it's really him...",dialogue/beliefs
69、INT. THE RED CAR -- DUSK,"In [69、INT. THE RED CAR -- DUSK], What does Bourne claim about his memory?",He claims he can't remember anything before two weeks ago.,BOURNE: I can't remember anything earlier than two weeks ago.,dialogue/beliefs
69、INT. THE RED CAR -- DUSK,What does Marie say about Bourne's behavior?,She says he's freaking her out.,MARIE: Can I tell you how much you're freaking me out?,dialogue/beliefs
22、EXT. ZURICH PARK -- NIGHT,"In [22、EXT. ZURICH PARK -- NIGHT], What is THE MAN's behavioral state when the cops demand identification?",Uncertain and compliant.,THE MAN not sure what to do. Eyes moving. Mouth shut. I've lost them.,character states
11、INT. FISHING BOAT HEAD -- NIGHT,"In [11、INT. FISHING BOAT HEAD -- NIGHT], Where is THE MAN standing when he speaks to his reflection?","In a bathroom with a pitted, tarnished mirror","One of the ugliest bathrooms on the planet. THE MAN standing before a pitted, tarnished, cataract of a mirror.",scene localization
9、EXT. FISHING BOAT DECK -- DAY,How is the man handling his injuries while doing chin-ups?,He is pushing himself despite the pain from bandaged wounds,"He's still bandaged and the wounds must hurt like hell, but he's pushing himself.",detailed description
26、INT. BANK RECEPTION AREA -- DAY,"In [26、INT. BANK RECEPTION AREA -- DAY], What is the man's behavioral state when he arrives?",Looking very out of place,THE MAN standing before her. Looking very out of place.,character states
23、INT. TREADSTONE -- DAY,"In [23、INT. TREADSTONE -- DAY], What is Zorn's position in the hierarchy?",He is the number two here.,ZORN is the number two here.,character states
57、EXT. U.S. CONSULATE FIFTH FLOOR GRAND HALLWAY -- DAY,What plan do the Marines mention?,Go room by room until they find him,we're gonna go room by room until we find him,dialogue/beliefs
2、EXT. FISHING BOAT DECK -- NIGHT,What does the body do after the sailors' initial reactions?,convulsing and coughing up sea water,THE BODY MOVES! -- convulsing -- coughing up sea water --,detailed description
24、INT. CIA COMMISSARY -- NIGHT,"In [24、INT. CIA COMMISSARY -- NIGHT], What emotional state does Abbott display during the conversation about Treadstone?",Concerned about budget oversight,They're putting together an agency oversight committee... Treadstone is a rather sizable line item in my ledger,character states
19、INT. CIA HEADQUARTERS CONFERENCE ROOM -- DAY,"In [19、INT. CIA HEADQUARTERS CONFERENCE ROOM -- DAY], What is Marshall's affiliation?",CIA bigwig,"MARSHALL, a CIA bigwig has the remote control.",character states
12、EXT. FISHING BOAT -- DAY,Why is The Man working alongside the sailors?,To earn his keep.,Earning his keep.,causal/relational queries
52、INT. U.S. CONSULATE FIFTH FLOOR GRAND HALLWAY -- DAY,What does the Security Chief order the Marines to do?,Blow it and shoot it open,SECURITY CHIEF -- blow it -- shoot it open! --,dialogue/beliefs
8、INT. FISHING BOAT GALLEY -- NIGHT,What occurs to the espresso machine after the man's actions?,It explodes,The whole thing explodes,detailed description
