doc_title,chunk_id,text,scene_context
三十六、汾杏商场二楼，下午,doc_37_chunk_0,我操！,汾杏商场二层露天走道，小武看到三兔和小姑娘拐入巷子
二十八、梦巴黎歌厅外，下午（原剧本，因与二十九场情节相同，实拍时删去此场）,doc_29_chunk_0,去哪儿？,歌厅外，与胡梅梅讨论去向
二十八、梦巴黎歌厅外，下午（原剧本，因与二十九场情节相同，实拍时删去此场）,doc_29_chunk_0,你说吧！,歌厅外，与胡梅梅讨论去向
洪南村外公路边，上午,doc_1_chunk_0,进城,公路边等车，与司机助手对话，主题为进城。
三十四、木材厂门房，夜（本来想交代小武夜晚在县城的栖身之所，但为了突出小武精神上无处栖身的状态，实拍时删去）,doc_35_chunk_0,去吧。,保安要求小武看电视，自己去查夜。
十、回春药店，下午,doc_10_chunk_2,我没他那脑子。,药店内，小武与更胜对话，涉及生意胆量。
二十三、小酒馆，夜,doc_24_chunk_0,关了，关了！,小酒馆：小武与老板对话，主题为关电视
二十三、小酒馆，夜,doc_24_chunk_0,再不关我可砸了！,小酒馆：小武与老板对话，主题为关电视
三十五、电影院前，下午,doc_36_chunk_0,你有病啊！,电影院前小广场，与吴胖子对话，拒绝搓麻邀请。
三十五、电影院前，下午,doc_36_chunk_0,不行。,电影院前小广场，与吴胖子对话，拒绝搓麻邀请。
十、回春药店，下午,doc_10_chunk_0,来，给叔叔笑一个。,药店：小武哄小莉莉笑。
十、回春药店，下午,doc_10_chunk_0,来，来，小宝贝，叔叔抱一抱。,药店：小武请求抱小莉莉。
三十一、发廊，黄昏,doc_32_chunk_0,你们南蛮子就是花样多。,发廊：小武对理发师的发型命名发表评论
三十一、发廊，黄昏,doc_32_chunk_0,不用，不用。,发廊：小武拒绝理发师的洗头邀请
三十一、发廊，黄昏,doc_32_chunk_0,还没到时间呢！,发廊：小武回应胡梅梅关于陪弄头发的询问
二十七、,doc_28_chunk_0,不了，不了。,李艳丽邀请小武进去玩，小武拒绝。
二十七、,doc_28_chunk_0,没有。,李艳丽询问小武是否有零钱，小武回答没有。
十一、南熏搂下面，下午,doc_11_chunk_0,靳小勇结婚你怎么不告诉我？,台球桌旁，与吴胖子讨论靳小勇结婚
十一、南熏搂下面，下午,doc_11_chunk_0,没有，你怎么不告我一声？,台球桌旁，与吴胖子讨论靳小勇结婚
十一、南熏搂下面，下午,doc_11_chunk_0,少废话，他有没有告你？,台球桌旁，与吴胖子讨论靳小勇结婚
十一、南熏搂下面，下午,doc_11_chunk_0,你别多说了。,台球桌旁，与吴胖子讨论靳小勇结婚
二、客车上，上午,doc_2_chunk_0,我是警察。,在公交车上，对助手表明身份
二、客车上，上午,doc_2_chunk_0,几点了？,在公交车上，向干部乘客询问时间
三十二、发廊外，傍晚,doc_33_chunk_0,还行。,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,一般嘛。,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,这就完啦？,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,我操，我花五十元钱，就是陪你打电话，来烫这颗脑袋啊？说好是你陪我散步。,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,我问你，别人把你包出来，都和你干些什么？,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,你，你。,傍晚的街道上，与胡梅梅对话
三十二、发廊外，傍晚,doc_33_chunk_0,你怎么不早说啊？！,傍晚的街道上，与胡梅梅对话
二十、药店里，夜,doc_21_chunk_0,给我换成整的，一百一张的。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,我急着要钱。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,跟别人借就没意思了。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,不是，不是。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,小勇明天结婚，我得给他上点儿礼。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,上礼！,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,给我张红纸，包一下。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,那年我俩身上带着四毛一分钱，从汾阳一直挑到北京。我俩晚上瞎聊，我说等他结婚，我要送给他两斤十块一张的钱。那时候没有一百的大票，大团结就是最大的了。,中药店，与更胜对话
二十、药店里，夜,doc_21_chunk_0,不是钱不钱的问题，我俩不一样。,中药店，与更胜对话
二十一、靳小勇家，夜,doc_22_chunk_0,嗯。 靳小勇。你看我忙的。,院子里，靳小勇询问小武是否刚到，小武回应。
二十一、靳小勇家，夜,doc_22_chunk_0,你先忙吧！,院子里，靳小勇邀请小武进屋，小武推辞。
四十二、文化馆二楼的室内台球厅，下午,doc_43_chunk_0,怎么样？,古旧院子，小武与志刚对话，主题为找到某物。
四十二、文化馆二楼的室内台球厅，下午,doc_43_chunk_0,好！,古旧院子，小武与志刚对话，主题为找到某物。
四十九、浴室下午,doc_50_chunk_0,我的思念，是不可触摸的网我的思念，不再是决堤的海……,浴室：小武在浴池中唱《心雨》
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,你看呢？,二十九A、西门外汾州市场马路，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,你不怕我？,二十九A、西门外汾州市场马路，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,你看，刚才唱歌的时候这么痛快就好了。,二十九A、西门外汾州市场马路，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,妈的，去哪儿呢？,二十九A、西门外汾州市场马路，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,没有。,二十九A、西门外汾州市场马路，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,回去吧。,二十九B、西门外汾州市场楼梯出口，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,我那五十块钱就这么挣了？,二十九B、西门外汾州市场楼梯出口，与胡梅梅对话
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,你他妈才没劲呢。,二十九B、西门外汾州市场楼梯出口，与胡梅梅对话
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,老板，你们的人可不行哪。,梦巴黎酒吧，小武与李艳丽对话，主题：服务问题
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,我花五十块钱，就让我干坐着？,梦巴黎酒吧，小武与李艳丽对话，主题：服务问题
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,我让她唱歌她不唱，让她跳舞她不跳。,梦巴黎酒吧，小武与李艳丽对话，主题：服务问题
二十六、歌厅包间外的小厅，下午,doc_27_chunk_0,算了，算了，结账。,梦巴黎酒吧，小武与李艳丽对话，主题：服务问题
二十五、小酒馆，夜,doc_26_chunk_0,没事，没事，唱吧，唱吧！,酒馆：小武与胡梅梅在卡拉OK中，小武要求胡梅梅唱歌
二十五、小酒馆，夜,doc_26_chunk_0,你不唱怎么能行呢？我花钱就是来听你唱歌。,酒馆：小武与胡梅梅在卡拉OK中，小武要求胡梅梅唱歌
二十五、小酒馆，夜,doc_26_chunk_0,唱吧，唱吧。,酒馆：小武与胡梅梅在卡拉OK中，小武要求胡梅梅唱歌
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,你才知道啊？,街道歌厅前，小武与胡梅梅对话，主题为逛歌厅
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,你于哈呀？耍呢？耍大刀呢？,街道歌厅前，小武与胡梅梅对话，主题为逛歌厅
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,你他妈的笑我？,街道歌厅前，小武与胡梅梅对话，主题为逛歌厅
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_0,妈的，满大街是人，我没事儿。人一少，就心慌。,街道歌厅前，小武与胡梅梅对话，主题为逛歌厅
四十六、回春药店，下午,doc_47_chunk_0,这就搬啊？,药店门口，小武与更胜对话
四十六、回春药店，下午,doc_47_chunk_0,我是要买一个热水袋。,药店门口，小武与更胜对话
四十六、回春药店，下午,doc_47_chunk_0,喂，给村里捎的。,药店门口，小武与更胜对话
四十六、回春药店，下午,doc_47_chunk_0,那过几天我来帮你。,药店门口，小武与更胜对话
四十三、志新街，下午,doc_44_chunk_0,三兔！,马路上，小武叫住三兔，三兔正和姑娘听随身听。
四十三、志新街，下午,doc_44_chunk_0,小伙子很厉害，很油嘛！知道钓姑娘了？,马路上，小武调侃三兔的约会行为。
四十三、志新街，下午,doc_44_chunk_0,你行不行啊？连毛儿都没有。,马路上，小武摸三兔下巴，调侃他没长胡子。
四十三、志新街，下午,doc_44_chunk_0,快滚吧！,马路上，小武让三兔离开。
六十、胡梅梅住处，中午,doc_61_chunk_0,她去哪儿了？,屋里：小武询问胡梅梅去向，川妹回应。
六十五、乡间小路，夜（因素材有技术问题，剪接时删去）,doc_66_chunk_0,嗯,在行走中，妹妹劝说小武找正经事。
四、县城中央街道，上午,doc_4_chunk_0,怎么了？,街道上，自行车上，与更胜讨论丢失身份证。
四、县城中央街道，上午,doc_4_chunk_0,昨天什么时候丢的？,街道上，自行车上，与更胜讨论丢失身份证。
四、县城中央街道，上午,doc_4_chunk_0,在哪儿丢的？,街道上，自行车上，与更胜讨论丢失身份证。
四、县城中央街道，上午,doc_4_chunk_0,我给你问问吧！,街道上，自行车上，与更胜讨论丢失身份证。
四、县城中央街道，上午,doc_4_chunk_0,嗯！,街道上，自行车上，与更胜讨论小勇的新闻。
四、县城中央街道，上午,doc_4_chunk_0,啥韩国，北朝鲜。,街道上，自行车上，与更胜讨论小勇的新闻。
六十七、小武家，上午,doc_68_chunk_3,我没有钱，我瞧老大的。,屋里，母亲要求表态
六十三、厨房，傍晚,doc_64_chunk_0,刚回来。,在厨房，小武刚进门，与妹妹对话。
六十三、厨房，傍晚,doc_64_chunk_0,这是要干什么呀？不过年不过节的，弄个猪头干什么呀？,在厨房，妹妹烫猪头，小武询问原因。
六十三、厨房，傍晚,doc_64_chunk_0,看见了。,在厨房，妹妹问妈在剁馅，小武确认。
六十三、厨房，傍晚,doc_64_chunk_0,还没娶进门，就二嫂、二嫂的，瞧你那没出息样。,在厨房，妹妹说二哥带二嫂回来，小武评论。
六十三、厨房，傍晚,doc_64_chunk_0,我是没有出息。,小武带起西装出门时。
