doc_title,chunk_id,description,scene_context
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_10,"Marylin looks on, surprised and bemused.",
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_13,Marilyn holds a plate of food for him,
21、INT. CHAPEL,doc_20_chunk_1,Marylin enters. She looks outstanding.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_2,Marylin looks at a photograph Miles has on a side table.,
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_8,Marylin beams up at him.,"Scene: Wedding reception, during Howard D.'s toast."
21、INT. CHAPEL,doc_20_chunk_2,Marylin introduces Sarah Sorkin and Ramona Barcelona to Miles Massey.,
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_12,Marylin stands at the punch bowl accepting congratulations.,"Later, at a gathering or event with a punch bowl."
21、INT. CHAPEL,doc_20_chunk_7,Marylin says (sadly) 'Oh Miles!',
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_5,Marylin Rexroth takes Chaim to be the roux in your bechamel? The stock in your sauce?,
21、INT. CHAPEL,doc_20_chunk_5,"MARYLIN
Wasn't she the Judge at my divorce
hearing?",
12、EXT. A WEDDING BOWER - AKA CHUPPA,doc_11_chunk_0,"She is dressed in a simple, Kennedy-type gown.","Scene at the altar with Howard D. Doyle, during a wedding ceremony."
19、INT. DEN - MASSEY MANSION,doc_18_chunk_1,She takes the coffee cup and has a sip.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_1,She looks like a lost waif.,
16、INT. FANCY RESTAURANT,doc_15_chunk_2,"Marilyn hesitates, starting to speak but not finishing her thought.",
16、INT. FANCY RESTAURANT,doc_15_chunk_2,She lets Miles take her hand.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_0,"Marilyn sits in the den. She's had some coffee and, although teary and disheveled, is no longer psychotic.","Scene: Inside the den, after returning home."
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_2,She stops him with a kiss.,
21、INT. CHAPEL,doc_20_chunk_6,Marylin looks at the pre-nup. Then pulls Miles aside.,
21、INT. CHAPEL,doc_20_chunk_6,She isn't having the expected reaction,
26、INT. QUATRAIN ANTIQUES - DAY,doc_25_chunk_0,She picks up an antique Chinese bowl.,A pricey antique store near Melrose.
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_1,"MARYLIN Are you forgetting about the Atcheson, Topeka and the Santa Fe?",
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_1,MARYLIN Rex. Go away. I don't want to have to sic the dogs on you.,
21、INT. CHAPEL,doc_20_chunk_9,Marylin wants to be exposed.,
21、INT. CHAPEL,doc_20_chunk_9,Marylin says it's about time.,
21、INT. CHAPEL,doc_20_chunk_9,"Marylin speaks to Miles with great affection, saying 'Quack.'",
19、INT. DEN - MASSEY MANSION,doc_18_chunk_6,She stands.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_6,Picks up her purse.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_6,Walks over to him with an outstretched hand.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_6,She kisses him.,
29、INT. MASSEY HOUSE - NIGHT,doc_28_chunk_0,Marilyn greets him at the door.,
29、INT. MASSEY HOUSE - NIGHT,doc_28_chunk_0,She brings him inside.,
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_0,Marilyn watching a cable movie crowded together on the small sofa.,
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_0,"Marilyn pauses and says she's sorry, then offers to move.",
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_0,Marilyn offers to sit somewhere else.,
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_0,"Marylin speaks through the intercom, telling Rex to get away from the door.","Outside Rex's house, as he tries to enter and calls out to her."
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_0,"Marylin responds through the intercom, stating that they are having a discussion and that it's winding down.","Outside Rex's house, during Rex's attempt to talk to her."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_21,"Marylin following, glances back -- bemused, but with a trace of a smile.",
17、INT. CAR,doc_16_chunk_0,Marylin sits silently looking out the window.,Inside the car as Miles drives.
17、INT. CAR,doc_16_chunk_0,She puts a finger to his lips.,"Inside the car, after Miles takes her hand."
17、INT. CAR,doc_16_chunk_0,She exits the car and walks up to the front door.,"Outside the Doyle Mansion, after saying good-night."
36、INT. HOLDING TANK - DAY,doc_35_chunk_0,Marylin exits.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_10,MARYLIN And you must be Mr. Massey.,"CONFERENCE ROOM: Marilyn is at a conference table with a fruit and pastry plate; the door opens, and introductions begin."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_0,Marilyn power walks along the San Vicente Bike Path with her friends SARAH SORKIN and RAMONA BARCELONA.,"San Vicente Bike Path, early morning, with friends."
37、INT. RUTH'S CAR,doc_36_chunk_0,Marilyn sits next to Ruth.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_13,"MARYLIN
Positano is beautiful. Remember when
we were there, Rex? We stayed in the
Santo Pietro? That hotel on the cliff?",
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_1,Marylin accepts a credit card from Miles.,"A room in a house, Miles offers Marilyn a credit card for shopping."
25、INT. DEN - MASSEY HOUSE,doc_24_chunk_1,Marylin responds by suggesting she could 'girly' it up with Fortuny and passementerie.,"A room in a house, discussing how to personalize the house."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_17,Marilyn leans forward and whispers to him.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_17,"She removes a pack of the tablets from her purse, along with",
19、INT. DEN - MASSEY MANSION,doc_18_chunk_4,Marylin looks at the picture again.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_4,Marylin is moved.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_4,A flash of something genuine crosses her face.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_4,She takes a sip of coffee.,
19、INT. DEN - MASSEY MANSION,doc_18_chunk_4,Regards Miles.,
20、INT. BEDROOM - NIGHT,doc_19_chunk_0,Marylin is in post coital wrap.,"Scene: Inside a bedroom, after making love with Miles."
