doc_title,chunk_id,text,scene_context
109、INT. THE LOCKER ROOM -- NIGHT,doc_108_chunk_3,"Yeah, Skip, you wanted to see me?","Inside Skip's office, Crash Davis speaks to Skip."
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_2,But when she does get weary -- Try a little tenderness...,Singing and playing an instrument.
113、EXT. ANNIE'S HOUSE -- NIGHT,doc_112_chunk_0,I got released.,"Annie's porch, after midnight; Crash speaks to Annie about his release."
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_5,"No, no, Sandy, put it down.",Sandy rushes in with a gun; Crash tells Sandy to put it down.
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_6,"He hit .371 -- C'mon, Nuke -- you and me, let's step outside and settle this.",Crash Davis speaking to Nuke about Sandy Grimes' batting average
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_3,"You know she's waiting, just anticipating, the things that she'll never possess... (beat) While she's there waiting -- Try a little tenderness...",Crash singing in a room while Nuke enters
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_3,Shut up. I'm playing.,Crash tells Nuke to shut up after Nuke interrupts about the club expanding
127、EXT. ANNIE'S HOUSE -- DAY,doc_126_chunk_0,I quit. Hit my dinger and hung 'em up.,"Porch, Crash Davis tells Annie he quit."
127、EXT. ANNIE'S HOUSE -- DAY,doc_126_chunk_1,There might be an opening for a manager at Salem next spring.,Conversation with Annie about a job opening at Salem
127、EXT. ANNIE'S HOUSE -- DAY,doc_126_chunk_1,Yeah... you a witch?,Conversation with Annie about witches
114、INT. ANNIE'S HOUSE -- NIGHT,doc_113_chunk_5,"How come in former lifetimes, everybody was someone famous? (beat) How come nobody ever says they were Joe Schmo?",Annie and Crash; Crash questions why past lives are always famous.
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_4,Then go.,"Nuke announces he's going to the Show, Crash tells him to go."
101、INT. SANDY'S WHOREHOUSE -- NIGHT,doc_100_chunk_4,Let go of me!,"Nuke grabs Crash and says he's trying to thank him, Crash tells him to let go."
127、EXT. ANNIE'S HOUSE -- DAY,doc_126_chunk_2,You think I could make it to the Show as a manager?,In conversation with Annie about becoming a manager in the Show
105、INT. THE LOCKER ROOM -- CONTINUOUS -- DAY,doc_104_chunk_0,Sorry about last night.,"Locker room, Crash and Nuke packing; Crash apologizes and gives baseball advice."
105、INT. THE LOCKER ROOM -- CONTINUOUS -- DAY,doc_104_chunk_0,"I have been known, on occasion, to howl at the moon. D'you understand that?","Locker room, Crash and Nuke packing; Crash apologizes and gives baseball advice."
