doc_title,chunk_id,description,scene_context
110、INT. EVE'S CAR - DAY,doc_109_chunk_7,EVE is overwhelmed.,
"112、INT HARDWARE STORE, SECONDS LATER",doc_111_chunk_1,EVE is speechless.,
110、INT. EVE'S CAR - DAY,doc_109_chunk_3,EVE'S head quickly pops back up.,
110、INT. EVE'S CAR - DAY,doc_109_chunk_3,She PUSHES AWAY.,
"116、INT. BEDROOM, CHOCOLATE'S APARTMENT - DAY",doc_115_chunk_0,"EVE and CHOCOLATE are sitting cross-legged on the mattress, staring blankly at the TV.",CHOCOLATE'S APARTMENT - DAY
"65、INT EVE'S APARTMENT, SAME TIME",doc_64_chunk_0,yawn-stretches with the phone cradled between ear and bare shoulder,"Room with amber filtered sunlight, Eve on phone"
"74、INT. HALLWAY, EVE'S BUILDING - DAY",doc_73_chunk_0,EVE pops out.,
"74、INT. HALLWAY, EVE'S BUILDING - DAY",doc_73_chunk_0,"She gives him a look, then turns and heads down the hall.",
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_10,"She turns, grabs her purse and walks out the front door in a huff.","Inside a house, after Eve says 'Fine'"
"108、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_107_chunk_1,completely FLIPS OUT,"Continued scene: Room, Supervisor screaming at Chev and Eve"
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_2,"She accepts the kiss gratefully enough with her mouth, but holds both hands out to her sides as if touching the JOGGING SUIT would kill her.",
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_9,EVE holds his ass,"Open elevator shaft, CHEV looking down"
"66、EXT RESTAURANT, SAME TIME",doc_65_chunk_0,(oblivious),
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_7,"EVE WALKS IN... looks around, and FREEZES.",Elevator
"72、INT. EVE'S APARTMENT, CONTINUOUS",doc_71_chunk_0,"Flustered, EVE picks up the phone.",
110、INT. EVE'S CAR - DAY,doc_109_chunk_1,A LOOK OF DETERMINATION comes over her.,During the conversation about adrenaline
110、INT. EVE'S CAR - DAY,doc_109_chunk_1,She reaches for his crotch.,During the conversation about adrenaline
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_1,"She gives up on the microwave, goes to answer the door.","Eve's apartment, after the microwave"
"69、INT. HALLWAY, EVE'S BUILDING - DAY",doc_68_chunk_1,unlocking the door,Front door
111、EXT. SIDEWALK - DAY,doc_110_chunk_2,"EVE stays in the car for a few seconds, looking lost, then pulls herself together and gets out.",In a car
111、EXT. SIDEWALK - DAY,doc_110_chunk_2,"She follows CHEV'S path, crossing the street through traffic.",Crossing the street
111、EXT. SIDEWALK - DAY,doc_110_chunk_2,She walks through them and INSIDE.,Entering the store
120、EXT. CHOCOLATE'S APARTMENT - EARLIER,doc_119_chunk_0,"looks up into CHEV'S eyes, absolutely vulnerable, absolutely STUNNING.","Interior, pale sunlight through half rolled blinds"
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_0,"VE, in a cotton nightgown, is in the kitchen, attempting some bit of microwave programming, punching random buttons and getting herself worked up.","Eve's kitchen, attempting microwave programming"
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_0,Five BANGS on the door barely distract her.,"Eve's kitchen, door banging"
"108、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_107_chunk_0,CHEV and EVE hit the floor of the moving elevator with a CRASH and roll out onto the 4th floor,"4th floor, after elevator crash"
"75、EXT. REAR EXIT, EVE'S BUILDING - DAY",doc_74_chunk_1,She drops down to gather up her things,"Corner, Hood approaching and meeting Chev's eyes"
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_9,"She comes up to him, tries to pry his hand out from under his arm.",Eve tries to see Chev's hand after he says he burned it.
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_1,She freezes,"Street, after a dead hood lands in the spot Eve would have been"
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_1,EVE is pale as a sheet.,"Street, after a dead hood lands in the spot Eve would have been"
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_1,She steps over the body like she was avoiding a particularly large pile of cow shit...,"Street, after a dead hood lands in the spot Eve would have been"
110、INT. EVE'S CAR - DAY,doc_109_chunk_2,EVE'S head STAYS DOWN.,"Car chase, bullets flying"
110、INT. EVE'S CAR - DAY,doc_109_chunk_2,she GOES DOWN on him,"Car chase, bullets flying"
110、INT. EVE'S CAR - DAY,doc_109_chunk_2,EVE'S head pops up.,"Car chase, bullets flying"
110、INT. EVE'S CAR - DAY,doc_109_chunk_6,"e walks back to EVE'S CAR, cool as a cucumber, gets in and pulls away.",NT. EVE'S CAR - DAY
110、INT. EVE'S CAR - DAY,doc_109_chunk_6,EVE'S face has turned a distinct shade of PALE GREEN.,NT. EVE'S CAR - DAY
"69、INT. HALLWAY, EVE'S BUILDING - DAY",doc_68_chunk_0,stops suddenly in front of her door,In front of Eve's door
"69、INT. HALLWAY, EVE'S BUILDING - DAY",doc_68_chunk_0,She starts to dig through her purse for her keys.,In front of Eve's door
"75、EXT. REAR EXIT, EVE'S BUILDING - DAY",doc_74_chunk_0,"She spins around, just missing C sight of the HOOD.","Parking area outside the building, Chev sees a Hood approaching"
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_8,EVE walks in wearing a sun dress and a ribbon in her hair,"Kitchen, waffle iron sparking"
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_3,EVE shrieks like a banshee as he enters her.,"Street scene: Bus of Japanese tourists stopped, crowd cheering."
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_1,EVE's eyes pop open.,
"80、INT NOODLE HOUSE, MOMENTS LATER",doc_79_chunk_1,"EVE flinches at the sight of his burned, waffle patterned palm.",Chev shows his burned palm
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_5,"EVE starts to flipout, SCREAMING AND POUNDING on him with her fists like a crazy woman.",A crowd gathers around a fight on the ground
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_4,She SLUGS HIM IN THE MOUTH. His head snaps back; he comes up holding his lip.,
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_4,"She reaches instinctively to comfort him and he lunges forward, tearing at her dress.",
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_0,"breathless, still pounding with her fists.",Public place with onlookers
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_0,She reaches down and starts fumbling with his pants.,Public place with onlookers
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_0,"EVE is completely out of her head, eyes closed, legs up in the air like a porn star.",Public place with onlookers
"83、INT NOODLE HOUSE, MOMENTS LATER",doc_82_chunk_0,EVE flinches.,Chev slams a chair leg onto his foot.
"91、EXT STREET, CHINATOWN, SAME TIME",doc_90_chunk_0,"she tries to get at him, flipping out",Split screen scene
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_2,She pushes his hands away.,Chev grabs at Eve
"93、EXT STREET, CHINATOWN, SAME TIME",doc_92_chunk_0,"stranded half naked in the street, holding her torn dress up amidst a sea of gaping Chinese","Street, Chev runs away leaving Eve stranded"
"108、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_107_chunk_2,CHEV and EVE duck low and start hoofing it down the rows of machines toward the windows.,Maze of sewing machines
"112、INT HARDWARE STORE, SECONDS LATER",doc_111_chunk_0,"EVE dream-walks through the store, past the registers, following CHEV'S trail of BLOOD-SMEARED FOOTPRINTS.","Inside a store, following Chev's blood-smeared footprints"
"112、INT HARDWARE STORE, SECONDS LATER",doc_111_chunk_0,She turns the corner,"Inside a store, turning a corner to find Chev"
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_2,EVE is rifling through her purse as they run.,During a car chase
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_2,"E VE holds out her hand, where she's had them all along.","In the car, after Chev shakes the purse contents"
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_2,"She looks like she's about to wander around, gathering up her things","In the car, after Eve says 'My stuff...'"
110、INT. EVE'S CAR - DAY,doc_109_chunk_0,"gets herself turned upright and stares at CHEV, hair full of windshield glass",
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_2,She responds with a moan.,
"ext thing you know she's kissing and biting his mouth,",doc_84_chunk_2,EVE begins making primal cries.,
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_0,"EVE storms out of the restaurant, letting the door slam behind her.",Restaurant exit
"84、EXT CHINATOWN, OUTDOOR PLAZA, MOMENTS LATER",doc_83_chunk_0,She spins on him.,Outside restaurant
"77、EXT. REAR EXIT, EVE'S BUILDING - CONTINUOUS",doc_76_chunk_0,turns,Chev shoving a body into a dumpster
"77、EXT. REAR EXIT, EVE'S BUILDING - CONTINUOUS",doc_76_chunk_0,"rolls her eyes, looks around",Chev holding up a shower cap
