doc_title,chunk_id,fact,scene_context
129.监狱日外,doc_128_chunk_0,程勇已从监狱中释放。,
126.车日内,doc_125_chunk_0,程勇被判处有期徒刑五年。,
20.王子神油店夜外,doc_19_chunk_0,程勇的店铺被封。,神油店，程勇赶回店铺发现店铺被封
128.车日内,doc_127_chunk_0,时间已过去三年。,
109.车间办公室日内,doc_108_chunk_0,程勇与刘牧师分离,办公室，刘牧师离开后程勇与曹斌单独在场
28.港口日外,doc_27_chunk_0,程勇将钱支付给船员。,海边，垃圾堆成山
108.办公室夜内,doc_107_chunk_0,程勇的案件记录被曹斌在案底中发现。,
26.车日内,doc_25_chunk_0,程勇被詹姆斯带到了目的地。,穿越热闹街市后，詹姆斯将程勇带至目的地
123.街道夜外,doc_122_chunk_0,程勇被警察抓住,小巷，警察出现后
44.屠宰场日内,doc_43_chunk_0,程勇找到了彭浩,屠宰场内
34.居民楼日内,doc_33_chunk_0,药卖不出去,病人们的聚居区
33.医院日内,doc_32_chunk_0,程勇的推销被所有病人拒绝。,医院
30.海岸日外,doc_29_chunk_0,程勇收到卖药代理权的提议。,
27.药厂日内,doc_26_chunk_0,程勇得知该药在中国禁销。,药厂中
27.药厂日内,doc_26_chunk_0,程勇得知该药只对代理商发货。,药厂中
38.餐馆夜外,doc_37_chunk_0,程勇承诺给群主打八折。,餐馆内，群主们抱怨药价后。
68.车日内,doc_67_chunk_1,程勇进入了大厅并看到了刘牧师。,大厅
61.酒吧夜内,doc_60_chunk_0,思慧在程勇的干预下选择坐回原位。,
63.思慧家夜内,doc_62_chunk_0,程勇看到了思慧的女儿在门外,房间内，思慧女儿在门外出现时
63.思慧家夜内,doc_62_chunk_0,程勇在思慧返回时已经穿好了衣服,房间内，思慧返回时
63.思慧家夜内,doc_62_chunk_0,程勇离开了房间,房间内，程勇离开时
8.     餐馆日内,doc_7_chunk_0,程勇将260元交给程小澍。,饭店内，程勇与儿子吃饭
80.医院日内,doc_79_chunk_0,程勇是吕受益的家属,医院病房，护士要求家属离开时
10.律师事务所日内,doc_9_chunk_1,程勇被律师拦住,
73.神油店日内,doc_72_chunk_0,警察在程勇的店内搜查时，仅搜到锦旗。,店内，警察搜查期间
