doc_title,chunk_id,text,scene_context
113、EXT. OLD BARN - NIGHT,doc_112_chunk_3,What?,
126、INT. POLICE STATION - NIGHT,doc_125_chunk_5,What other stuff?,
126、INT. POLICE STATION - NIGHT,doc_125_chunk_6,Through a wound on his stomach?,
117、EXT. OLD BARN - NIGHT,doc_116_chunk_6,Don't come any closer. I'll... shoot.,
129、EXT. ROAD TOWARD WHEELSY - NIGHT,doc_128_chunk_12,Get in!,
142、EXT. FLOWER STORE - NIGHT,doc_141_chunk_3,Grant... Please...,
111、INT. OLD BARN - NIGHT,doc_110_chunk_4,"Be careful, Bill.","Scene in a barn; Starla speaks to Bill as he is about to leave into the forest, expressing concern for his safety."
127、EXT. ROAD TOWARD WHEELSY - MOMENTS LATER,doc_126_chunk_5,"After all this shit tonight, I know for sure now you regret not running off with me to Hollywood!",
13、INT. GRANT MASTER BATHROOM - LATER,doc_12_chunk_0,Just a second.,"Scene in the bathroom; Starla responds to Grant calling from off-screen, asking if she's coming to bed."
1、INT. HIGH SCHOOL CLASSROOM - DAY,doc_0_chunk_1,"When Darwin said 'fittest,' he didn't necessarily mean the strongest or the most intelligent, or any one trait -- he merely meant those organisms most well-suited to their environment.",
117、EXT. OLD BARN - NIGHT,doc_116_chunk_5,Why are you talking like Grant?!,"Scene where Starla is confronted by a posse led by Wally, who is imitating Grant; Starla is crying and reacting to the impersonation."
126、INT. POLICE STATION - NIGHT,doc_125_chunk_3,She's right. We saw one -- one came out of Wally's head.,
126、INT. POLICE STATION - NIGHT,doc_125_chunk_3,"Kylie, how do you --",
141、INT. FLOWER STORE STORAGE AREA - NIGHT,doc_140_chunk_1,"He wants me, Bill! I'm going to get him to take me to him! See if you can follow me, and kill him!",
14、INT. GRANT BEDROOM - MOMENTS LATER,doc_13_chunk_2,Where are you going?,
14、INT. GRANT BEDROOM - MOMENTS LATER,doc_13_chunk_2,That's not true -- Where are you-?,
158、INT. GRANT BEDROOM - NIGHT,doc_157_chunk_0,Sorry. I didn't -- I didn't know you wanted it dark.,
129、EXT. ROAD TOWARD WHEELSY - NIGHT,doc_128_chunk_0,What's that?,"Scene: On a dark road, Starla notices a Buick Century parked haphazardly with its headlights on and door open; she is with a group including Bill, who uses a flashlight to investigate the empty car."
14、INT. GRANT BEDROOM - MOMENTS LATER,doc_13_chunk_0,"Grant, no -- I'm sorry, I'm just -- I'm not in the mood.","Scene: In a bedroom, almost completely dark, Starla is speaking to Grant during an intimate moment."
126、INT. POLICE STATION - NIGHT,doc_125_chunk_7,"And you said the worms are part of him. They're all linked, like one creature?",
126、INT. POLICE STATION - NIGHT,doc_125_chunk_7,"An animal that doesn't procreate. It spreads, grows. A living disease.",
149、INT. GRANT FOYER - NIGHT,doc_148_chunk_0,Grant?,Scene: In a garage that has been converted into a feeding area with rotten meat and bodies; Starla is searching the area and calls out.
