doc_title,chunk_id,fact,scene_context
45、办公室，夜，内,doc_44_chunk_0,萧穗子出完板报,刘峰的屋子，半夜
28、训练场，日，外,doc_27_chunk_0,萧穗子正在被陈灿教打靶。,
18、野外，日，外,doc_17_chunk_0,萧穗子离开了林丁丁和刘峰的现场。,林丁丁脚受伤现场
88、书店，日，外,doc_86_chunk_0,萧穗子已经成年。,海口，1991年
44、排练场，日，内,doc_43_chunk_0,萧穗子听到了朱克嘲笑刘峰。,排练场门口
44、排练场，日，内,doc_43_chunk_0,萧穗子看到了刘峰和何小萍在排练舞蹈。,排练场门口
52、排练室，日，内,doc_51_chunk_0,萧穗子在排练室进行画外音叙述。,排练室，女兵练习舞蹈
16、宿舍，夜，内,doc_15_chunk_0,萧穗子明确知道部队首长下了命令，要求文工团去慰问拉练演习的部队。,宿舍，军装事件讨论
93、火车站，日，外,doc_91_chunk_2,萧穗子在2016年春天的婚礼上见到了失散多年的战友,2016年春天的婚礼
70、火车站，日，外,doc_69_chunk_0,萧穗子承诺会留意刘峰。,
37、排练场，日，内,doc_36_chunk_0,萧穗子收到了父亲带来的箱子。,排练休息期间
37、排练场，日，内,doc_36_chunk_0,箱子中装有食物。,排练休息期间
7、浴室，日，内,doc_6_chunk_0,萧穗子是集体成员。,浴室，萧穗子离开后
