doc_title,chunk_id,text,scene_context
12 小四家 内 夜,doc_11_chunk_0,眼睛会花诶，不知道怎么搞的？,在房间，小四测试眼睛，妈妈询问眼睛问题。
12 小四家 内 夜,doc_11_chunk_0,考完试，跟同学讨论一下。,在房间，小四吃饭，妈妈询问晚归原因。
117 217基地 内 夜,doc_116_chunk_0,哈尼是不是你杀的？,在室内，小四质问山东是否杀人。
175 片场 内 日,doc_174_chunk_0,自然？你连真的假的都分不清楚还拍什么电影啊？你知不知道你在拍什么玩意啊？,片场：导演叫住小四，讨论小女生搬家事宜。
147草坪上 外 日,doc_146_chunk_0,等我考完就来找你。,树下：与小明讨论见面时间。
147草坪上 外 日,doc_146_chunk_0,我下回进学校大门就是日间部开学的时候。,树下：与小明讨论学校开学。
147草坪上 外 日,doc_146_chunk_0,你不高兴了？这样我会担心的。,树下：与小明讨论情绪。
147草坪上 外 日,doc_146_chunk_0,人家都准备好了，而且小猫，飞机都被请。,树下：与小明讨论准备活动。
130教室 外 日,doc_129_chunk_0,算了算了，没事了上课吧。,教室外，9号男生与小虎冲突后，小四劝解上课。
159 家里 内 夜,doc_158_chunk_0,喂！,在柜子里，与小四二哥对话
159 家里 内 夜,doc_158_chunk_0,身上有没有钱？,在柜子里，与小四二哥对话
159 家里 内 夜,doc_158_chunk_0,有多少？,在柜子里，与小四二哥对话
176 小猫家 内 日,doc_175_chunk_0,没关系。我来跟他借本书。,与女人对话，讨论借书事宜。
176 小猫家 内 日,doc_175_chunk_0,没关系，我知道在哪里。,与女人对话，讨论书的位置。
18 教室 内 日,doc_17_chunk_0,再找一支还你啊。,教室：小四与飞机讨论球棒。
102水沟旁 外 夜,doc_101_chunk_0,赵班长，赵班长。,水沟旁，小四呼喊赵班长。
102水沟旁 外 夜,doc_101_chunk_0,快过来啊。,水沟旁，小四呼喊赵班长。
