doc_title,chunk_id,text,scene_context
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_13,What do you mean by that?,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_8,"We sat and talked, Addison. I want a run of the play contract.",
105、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,doc_104_chunk_10,"Thank you, Karen.","Scene: At a gathering or event, Eve responds to Karen's congratulations."
104、INT. BEDROOM - DAY,doc_103_chunk_3,Please... please...,"Scene: Eve is covering her face with her hands, and Addison is speaking to her from the bed."
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_5,"Addison, won't it be just perfect? Lloyd and I - there's no telling how far we can go... he'll write",
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_18,"She never proved anything, not a thing!","Scene in which Eve responds to Addison, defending herself against accusations related to her past in the brewery and the boss's wife hiring detectives."
104、INT. BEDROOM - DAY,doc_103_chunk_0,"She was a liar, she was a liar!","Scene: In a room where Eve is cornered; she is speaking during a confrontation with Addison, though not directly responding to him."
105、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,doc_104_chunk_13,I'm tired. I want to go home.,"Scene: After an event, in a nearly empty banquet room, Eve speaks to Addison about leaving."
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_3,Lloyd Richards. He's going to leave Karen. We're going to be married.,Scene: Eve is speaking to Addison while looking out over the Common; the conversation is about her relationship with Lloyd Richards and their future marriage.
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_0,Max is paying for it. He and Lloyd had a terrific row but Lloyd insisted... well. Can I fix you a drink?,"Scene in the living room, Eve speaks to Addison about the suite's cost and offers her a drink."
105、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,doc_104_chunk_4,And to my first friend in theTheater - whose kindness and graciousness I shall never forget... Karen - Mrs. Lloyd Richards...,
105、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,doc_104_chunk_4,,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_12,Champion to champion.,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_12,"Addison, will you please say what
you have to say plainly and
distinctly - and then get out so I
can take my nap!",
108、INT. EVE'S HOTEL APARTMENT - NIGHT,doc_107_chunk_3,You were just looking around...,
108、INT. EVE'S HOTEL APARTMENT - NIGHT,doc_107_chunk_3,What for?,
108、INT. EVE'S HOTEL APARTMENT - NIGHT,doc_107_chunk_3,Probably not.,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_16,Get out!,"Scene: In a room, Eve speaks to Addison, demanding he leave."
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_16,"Then if you won't get out, I'll have you thrown out.","Scene: In a room, Eve speaks to Addison, threatening to have him removed."
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_14,What have you got to do with it?,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_14,I can't believe my ears...,
103、INT. EVE'S SUITE - TAFT HOTEL - DAY,doc_102_chunk_14,Belong - to you? That sounds medieval - something out of an old melodrama...,
102、INT. CORRIDOR - TAFT HOTEL - DAY,doc_101_chunk_1,Why'd call me a killer?,
102、INT. CORRIDOR - TAFT HOTEL - DAY,doc_101_chunk_1,Addison-,
102、INT. CORRIDOR - TAFT HOTEL - DAY,doc_101_chunk_1,"- come on in for just a minute,
won't you? There's... I've got
something to tell you.",
