id,scene,question,answer,evidence,qa_type
1,20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS,"In [20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS], What is Jack's emotional state when he sees the Dreamsand?",Smiling with relief,"Jack turns and looks up, a smile now on his lips.",character states
2,31、EXT. SKY - NEAR TOOTH'S PALACE,What action does Jack take to rescue Baby Tooth?,Leaps into the air and rescues it before the Nightmare can snatch it away,Jack leaps into the air and rescues it before the Nightmare can snatch it away,detailed description
3,65、INT. NORTH POLE - GLOBE ROOM - DAY - MOMENTS LATER,What caused North to declare Jack a Guardian?,Jack stood up to Pitch and saved them.,North: 'You stood up to Pitch. You saved us.',causal/relational queries
4,20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS,"In [20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS], What is Jack's emotional state when he looks at the moon?",Pensive and frustrated,"Jack flips onto the roof, a little pensive. ... turns away in frustration.",character states
5,36、EXT. SHANGHAI ROOFTOPS - NIGHT,What happens to Tooth after she becomes overwhelmed?,Tooth smacks into a toothpaste billboard and then zooms in on a little girl's bedroom window.,"Tooth, overwhelmed, jets off without paying attention and SUDDENLY -- THOOMP -- she smacks into a TOOTHPASTE BILLBOARD. Tooth gasps and her eyes go wide -- she FLIES to the window, excited.",detailed description
6,18、EXT. SNOWY HILL,"In [18、EXT. SNOWY HILL], How does Pippa's facial expression change after she is hit by a snowball?",a mischievous sparkle,Pippa's face changes - a mischievous sparkle.,character states
7,56、INT. PITCH'S LAIR - NIGHT,"In [56、INT. PITCH'S LAIR - NIGHT], What does Pitch create from the nightmare sand?",A crude image of the SANDMAN,A strand of NIGHTMARE SAND...turning it into a crude image of the SANDMAN.,objects/props
8,19、INT. JAMIE'S BEDROOM - NIGHT,"In [19、INT. JAMIE'S BEDROOM - NIGHT], What is Sophie's emotional state when she urges Jamie to hide?",She is crazed.,"SOPHIE (CRAZED) and her repeated 'Hide, hide, hide, hide!'",character states
9,13、INT. GLOBE ROOM - NIGHT,What does North believe about the urgency of the situation?,He believes it was serious enough to call everyone.,"I know, I know, but I obviously wouldn't have called you all here unless it was serious.",dialogue/beliefs
10,29、EXT. SLEIGH - FLYING THROUGH THE SKY - CONTINUOUS,Why does Bunnymund express regret about the route?,Because North chose a shortcut instead of the tunnels.,Bunny says 'I knew we should have taken the tunnels' after North says he knows a shortcut.,causal/relational queries
