doc_title,chunk_id,description,scene_context
11、INT. PROWLER,doc_10_chunk_12,Jerry stares down at his lap.,
11、INT. PROWLER,doc_10_chunk_10,Jerry enters and perches uncomfortably on the edge of his bed.,Scotty's Bedroom
16、INT. CABIN,doc_15_chunk_52,Jerry is at the kitchen phone.,JERRY'S KITCHEN
20、INT. JERRY'S CAR,doc_19_chunk_0,Jerry recovers from the near miss and continues up.,
20、INT. JERRY'S CAR,doc_19_chunk_0,"Jerry pulls to a halt next to Wade's idling Cadillac. He gets out and walks slowly to Wade's body, prostrate in the swirling snow.",RAMP ROOF
11、INT. PROWLER,doc_10_chunk_8,Jerry pounds his mittened hands together against the cold.,"Cold weather, during conversation with Stan"
22、EXT. CAR,doc_21_chunk_14,Jerry makes a left turn into traffic.,
1、INT. CAR,doc_0_chunk_17,He is on the phone.,JERRY'S CUBICLE
1、INT. CAR,doc_0_chunk_2,Jerry is sitting in his glassed-in salesman's cubicle just off the showroom floor.,Gustafson Olds Garage: Jerry in cubicle with customer and wife
1、INT. CAR,doc_0_chunk_5,Jerry sits perched on the desk of another salesman who iseating lunch as he watches a hockey game on a small portableTV.,Nearby cubicle
1、INT. CAR,doc_0_chunk_15,Jerry slaps his fist into his open palm and snaps his fingers.,"Car driving through Twin Cities, viewing IDS Building."
1、INT. CAR,doc_0_chunk_6,Jerry re-enters.,Jerry's cubicle
1、INT. CAR,doc_0_chunk_6,Jerry sits staring at his lap.,Jerry's cubicle
1、INT. CAR,doc_0_chunk_6,Jerry mumbles into his lap.,Jerry's cubicle
16、INT. CABIN,doc_15_chunk_33,Jerry looks blankly down at the papers on the desk in front of him.,"Office, Marge is leaving after a conversation"
16、INT. CABIN,doc_15_chunk_33,He looks up at Marge's retreating back.,"Office, Marge is leaving after a conversation"
16、INT. CABIN,doc_15_chunk_33,He looks back down at the papers.,"Office, Marge is leaving after a conversation"
16、INT. CABIN,doc_15_chunk_33,He looks over at the phone.,"Office, Marge is leaving after a conversation"
