doc_title,chunk_id,fact,scene_context
11.南八号楼屋内,doc_10_chunk_3,玛多娜大为吃惊。,屋内，拉里命令剁松本手指后
18.客厅,doc_17_chunk_0,玛多娜与松本分离,
2.黄浦江码头,doc_1_chunk_0,玛多娜被闹猛的气氛所压倒。,码头靠岸场景
28.同上。屋内，走廊和后台，夜,doc_27_chunk_0,玛多娜在郭先生陈述家庭悲剧后保持沉默。,后台，郭先生家庭悲剧陈述后
16.同上，楼下客厅,doc_15_chunk_0,玛多娜承诺让丽丽歇会儿，自己来干其他工作。,婚礼准备现场，摆餐具时
2.黄浦江码头,doc_1_chunk_2,玛多娜看到了英文挂牌写着'狗与华人不得入内',码头，外白渡桥
36.南八号楼附近,doc_35_chunk_0,玛多娜显得非常寂寞,36A: 二楼玛多娜的房间
49.客厅,doc_48_chunk_4,玛多娜与白井两人单独在场,丽丽送松本出去后，玛多娜与白井单独在场
43.楼上，玛多娜和波多野的房间,doc_42_chunk_0,玛多娜听到了波多野的谈话。,楼梯口，波多野和松本在房内谈话
46.新公园,doc_45_chunk_1,两个印度巡警假装没看见玛多娜。,公园
5.同上，屋内,doc_4_chunk_3,玛多娜已成为波多野的妻子。,松本目送玛多娜上楼后
44.客厅,doc_43_chunk_0,玛多娜精神焕发,客厅，夕阳时分
62.南八号楼，夜,doc_61_chunk_3,玛多娜持有波多野的黑管。,
57.客厅,doc_56_chunk_1,玛多娜命令所有人上楼。,日军巡逻队敲门时
52.同上，客厅，夜,doc_51_chunk_2,玛多娜确认了弘田的身份为特务机关。,
52.同上，客厅，夜,doc_51_chunk_2,玛多娜明确拒绝了弘田的咖啡请求。,
9.南八号楼楼下,doc_8_chunk_0,玛多娜看见了波多野藏的黑管。,
57.客厅,doc_56_chunk_2,玛多娜处于呆若木鸡的状态。,
49.客厅,doc_48_chunk_8,玛多娜得知明信片是征兵通知。,凉台
60.南八号楼客厅，傍晚,doc_59_chunk_1,玛多娜被丽丽告知赌将的信已到。,室内，丽丽带来赌将的信。
13.夜总会包厢,doc_12_chunk_3,玛多娜获得了手枪。,舞厅内
13.夜总会包厢,doc_12_chunk_3,玛多娜看到了便衣警察在搜看日本顾客的面孔。,舞厅内
60.南八号楼客厅，傍晚,doc_59_chunk_3,玛多娜被波多野按倒在地上。,
60.南八号楼客厅，傍晚,doc_59_chunk_3,玛多娜挣脱了波多野的控制。,
43.楼上，玛多娜和波多野的房间,doc_42_chunk_1,玛多娜拒绝了松本的建议去追波多野。,门后，松本追波多野时发现玛多娜
