doc_title,chunk_id,fact,scene_context
15、INT. THE BACK PORCH - LATE AFTERNOON,doc_14_chunk_14,Ivy is Barbara's sister.,"Violet speaks to Barbara, and Barbara notices Ivy standing nearby."
54、INT. DINING ROOM - AFTERNOON,doc_53_chunk_24,Barbara is informed by Violet that Bev meant to leave the money to Violet.,
54、INT. DINING ROOM - AFTERNOON,doc_53_chunk_28,Barbara and Bill are separated.,"Violet questions Bill and Barbara about their marital status, Bill confirms separation."
61、INT. DOCTOR'S OFFICE/WAITING ROOM - DAY,doc_60_chunk_0,Barbara is informed by Dr. Burke about her mother's Mild Cognitive Impairment.,Medical office consultation
12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,doc_11_chunk_3,Barbara explicitly refuses to be ready for the current situation.,"Heading to the house with suitcases, Bill asks Barbara if she is ready."
62、INT/EXT. TALLGRASS PRAIRIE PRESERVE/BEV'S LINCOLN - DAY,doc_61_chunk_4,Barbara is lost in the prairie.,the prairie
13、INT. WESTON HOUSE - AFTERNOON,doc_12_chunk_6,Barbara agrees to help with Beverly's things and paperwork.,Violet requests Barbara to assist with Beverly's belongings and paperwork.
62、INT/EXT. TALLGRASS PRAIRIE PRESERVE/BEV'S LINCOLN - DAY,doc_61_chunk_2,Barbara begins chasing Violet.,"Prairie, Violet runs away and Barbara begins chasing her."
63、INT/EXT. LINCOLN/WESTON HOUSE DRIVEWAY - AFTERNOON,doc_62_chunk_2,Barbara refuses to search Violet.,
63、INT/EXT. LINCOLN/WESTON HOUSE DRIVEWAY - AFTERNOON,doc_62_chunk_0,Barbara proposes a truce.,"Outside the house, after Ivy and Karen leave for the house."
5、INT. BARBARA'S BEDROOM - DAY,doc_4_chunk_1,Barbara has decided to stop giving a damn.,"Suburban home, Barbara at window, Jean passes in hall"
68、INT. MAIN STAIRCASE/HALLWAY,doc_67_chunk_6,Barbara remains outside the house.,"Porch, after Karen gets Steve inside the house."
72、INT. THE WESTON HOUSE/KITCHEN - DAY,doc_71_chunk_12,Barbara pursues Ivy.,dining room
75、INT. WESTON HOUSE - CONTINUOUS,doc_74_chunk_11,Barbara drives off.,Driveway area
74、EXT. WESTON HOUSE - CONTINUOUS,doc_73_chunk_0,Barbara is left behind by Ivy after Ivy drives away.,"Driveway, after Ivy floors the car and roars out of the driveway."
54、INT. DINING ROOM - AFTERNOON,doc_53_chunk_3,Barbara places the photo on the sideboard.,Violet enters with a photo and asks Barbara to place it on the sideboard.
68、INT. MAIN STAIRCASE/HALLWAY,doc_67_chunk_5,Barbara attacks Steve.,After Johnna explains Steve's behavior toward Jean
75、INT. WESTON HOUSE - CONTINUOUS,doc_74_chunk_10,Barbara drives away in a truck.,
76、INT/EXT. BEVERLY'S PICK-UP (MOVING) - DAY,doc_75_chunk_0,Barbara is in a near-catatonic state.,Driving away from house in storm
