doc_title,chunk_id,text,scene_context
56、医院门口，日，外,doc_56_chunk_0,要不干脆你坐前面吧，这就没人能认出你了。,在门口，老三与静秋对话，主题：坐自行车前面避免被认出。
66、街道，日，外,doc_66_chunk_0,给你买牙膏牙刷脸盆肥皂啊！我跟高护士借了宿舍，今天晚上你必须得睡床上。,在街上，与静秋对话，讨论购买日用品和住宿安排
32、河边，日，外,doc_32_chunk_0,我看到你在学校里打排球了。（掏出钱给静秋）拿去买球衣吧，不要影响球队整体形象。,河边：老三与静秋对话，主题为打排球和球衣。
20、厨房，夜，内,doc_20_chunk_0,张嘴,饭桌：老三与静秋吃饭，老三让静秋张嘴。
55、街道，日，外,doc_55_chunk_0,好，虚心接受你的批评。,医院外，与静秋讨论伤势及行为批评。
55、街道，日，外,doc_55_chunk_0,没事了，就是血流得多了点儿，护士说我是凝血机制者。,医院外，与静秋讨论伤势恢复。
55、街道，日，外,doc_55_chunk_0,不用，血流的多说明身体好。,医院外，与静秋讨论是否需要再检查。
45、街道，日，外,doc_45_chunk_0,为什么要让你拉这么重的车？你干不了这个活儿。,在斜坡上，老三与静秋讨论静秋拉重车。
57、街道，日，外,doc_57_chunk_0,认识你一年多了，你还没叫过我呢。,自行车上，与静秋讨论称呼
57、街道，日，外,doc_57_chunk_0,叫我什么？,自行车上，与静秋讨论称呼
57、街道，日，外,doc_57_chunk_0,反正不能跟别人叫的一样。,自行车上，与静秋讨论称呼
10、田间小路，日，外,doc_10_chunk_0,这是苏联歌曲《山楂树》，五十年代在中国很流行，我爸爸和我妈妈都会唱。,在行走中，与静秋讨论英雄树的花的颜色
10、田间小路，日，外,doc_10_chunk_0,我是冬天才来的。,在行走中，与静秋讨论英雄树的花的颜色
10、田间小路，日，外,doc_10_chunk_0,你怎么听就怎么写，开什么颜色的花很重要吗？,在行走中，与静秋讨论英雄树的花的颜色
10、田间小路，日，外,doc_10_chunk_0,那还不简单，等它开花的时候你过来看一眼不就行了吗？,在行走中，与静秋讨论英雄树的花的颜色
10、田间小路，日，外,doc_10_chunk_0,五六月份吧！,在行走中，与静秋讨论英雄树的花的颜色
10、田间小路，日，外,doc_10_chunk_0,那到时候你再来一趟，我到时候跟你一块儿去。,在行走中，与静秋讨论英雄树的花的颜色
71、水房，夜，内,doc_71_chunk_0,哥们儿，你这脸盆哪儿买的？,水房：老三与病人讨论脸盆购买地点。
71、水房，夜，内,doc_71_chunk_0,小卖部在哪儿？,水房：老三与病人询问小卖部位置。
19、村子，夜，外,doc_19_chunk_0,看样子这家有饭吃，说不定还有肉呢！,在亮着灯的人家门口，对静秋说，关于找饭吃
19、村子，夜，外,doc_19_chunk_0,老乡，我是地质勘探队的，有工作证，粮票和钱。,在亮着灯的人家门口敲门时，对老乡说，介绍身份
19、村子，夜，外,doc_19_chunk_0,你是勘探队家属。,在亮着灯的人家门口，对静秋说，解释身份
22、张队长家，日，内,doc_22_chunk_0,怎么不高兴，听说你要走了，给你拿点儿冰糖。,屋内，与静秋对话
22、张队长家，日，内,doc_22_chunk_0,先给你妈妈治病吧，我在野外工作工资高，这点儿钱不算什么。,屋内，与静秋对话
22、张队长家，日，内,doc_22_chunk_0,这钱算我先借你的，等你有了工作再还我。,屋内，与静秋对话
62、住院处，日，内,doc_62_chunk_0,你怎么跑来了？,病房：老三询问静秋为何出现。
