doc_title,chunk_id,fact,scene_context
13、INT HOSPITAL BED - FLASHBACK,doc_12_chunk_0,Hazel Grace Lancaster is diagnosed with Stage IV thyroid cancer.,
14、INT OPERATING ROOM - FLASHBACK,doc_13_chunk_0,Hazel undergoes surgery.,"Scene: Operating room, as described in voiceover narration."
24、INT GUS'S BASEMENT - LATER,doc_23_chunk_2,Hazel recognizes a quote from her own book when Gus speaks it.,
27、INT GUS'S BASEMENT BEDROOM - SAME,doc_26_chunk_4,Hazel Grace Lancaster receives a letter from Peter Van Houten.,
12、INT GUS'S CAR - LATER,doc_11_chunk_1,Hazel Grace Lancaster was diagnosed with cancer at the age of 13.,Scene where Hazel recounts her diagnosis during a conversation with Gus.
107、EXT HAZEL'S HOUSE - BACKYARD - LATER,doc_106_chunk_2,Hazel explicitly responds to the universe with 'Ok.',"Final scene: Hazel is in the grass, holding a letter, and speaks to the universe after a moment of silence."
101、EXT CEMETARY - DAY,doc_100_chunk_0,Hazel Grace Lancaster chooses to leave the burial ceremony alone instead of accepting a ride from her parents.,"After Gus's burial, Hazel declines her parents' offer to drive her and walks to the parking lot by herself."
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_0,Hazel Grace Lancaster receives an email response from the author she contacted.,
16、INT ICU - THE NEXT MORNING,doc_15_chunk_0,Hazel Grace Lancaster's health improved after the antibiotics took effect.,
16、INT ICU - THE NEXT MORNING,doc_15_chunk_0,Fluid was drained from Hazel Grace Lancaster's lungs as part of her medical treatment.,
18、INT GUS'S CAR - SAME,doc_17_chunk_0,Hazel Grace Lancaster's tumors have shrunk and her metastases have hardly grown since a prior point in time.,
18、INT GUS'S CAR - SAME,doc_17_chunk_0,Hazel Grace Lancaster has obtained her GED.,
21、INT HAZEL'S DINING ROOM - NIGHT,doc_20_chunk_0,Hazel receives a text message from Gus during dinner.,Scene: Dinner table with her parents.
21、INT HAZEL'S DINING ROOM - NIGHT,doc_20_chunk_0,Hazel smiles after reading the text message from Gus.,Scene: Dinner table with her parents.
32、INT PET SCAN ROOM - DAY,doc_31_chunk_0,Hazel Grace Lancaster has undergone the medical procedure multiple times before.,"Scene: Hazel is being fed into a medical machine, and the narrative describes her as experienced with the procedure."
106、INT ICU - FLASHBACK,doc_105_chunk_0,Hazel Grace Lancaster is hospitalized in the ICU.,Scene where Gus sneaks into Hazel's room; she is asleep and intubated.
106、INT ICU - FLASHBACK,doc_105_chunk_0,Hazel Grace Lancaster is unaware that Gus visited her in the ICU.,Scene where Hazel reads the letter and learns for the first time about Gus's visit.
28、INT HAZEL'S BEDROOM - LATER THAT NIGHT,doc_27_chunk_3,"Hazel Grace Lancaster writes a letter expressing admiration for an author and a desire to read any future writings, including unpublished works.",
28、INT HAZEL'S BEDROOM - LATER THAT NIGHT,doc_27_chunk_3,Hazel Grace Lancaster explicitly identifies herself by name and age in a letter.,
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_2,Hazel receives information from Isaac that Gus wrote something and sent it to Van Houten.,"Scene: Conversation with Isaac, location unspecified; nighttime setting."
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_2,Hazel decides to leave the conversation abruptly after learning that Gus wrote something and sent it to Van Houten.,"Scene: Conversation with Isaac, location unspecified; nighttime setting."
41、INT HOSPITAL ROOM - ICU - MORNING,doc_40_chunk_0,Hazel Grace Lancaster survives a medical event and regains consciousness.,Scene following a medical emergency: Hazel's eyes open and a heart monitor confirms her survival.
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,Hazel explicitly makes plans with Augustus Waters.,Scene where Frannie arrives to pick up Hazel; Hazel informs her mother she has made plans with Augustus Waters.
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,Hazel refuses her mother's request to attend 'Model'.,Scene where Frannie arrives to pick up Hazel; Hazel declines attending 'Model' by saying 'Can't tonight.'
45、INT HOSPITAL - CONFERENCE ROOM,doc_44_chunk_2,Hazel is denied an opportunity due to her medical condition.,"Scene where Dr. Simmons informs Hazel she is too sick, despite her belief that the medicine is working."
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,Hazel Grace Lancaster is enrolled in an experimental trial called Phalanxifor.,
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,The Phalanxifor treatment results in a positive outcome for Hazel Grace Lancaster.,
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,Medical professionals refer to Hazel Grace Lancaster's response to Phalanxifor as 'The Miracle'.,
56、INT HAZEL'S BEDROOM - DAY,doc_55_chunk_0,Hazel receives an email from Lidewij Vliegenthart informing her about an upcoming visit to Peter van Houten.,
24、INT GUS'S BASEMENT - LATER,doc_23_chunk_6,Hazel Grace Lancaster expresses appreciation for the way death is portrayed in a book.,
24、INT GUS'S BASEMENT - LATER,doc_23_chunk_6,Hazel Grace Lancaster reveals a desire to know what happens to the characters in the book after the story ends.,
24、INT GUS'S BASEMENT - LATER,doc_23_chunk_6,Hazel Grace Lancaster has written letters to Peter Van Houten.,
52、EXT HAZEL'S HOUSE - BACKYARD,doc_51_chunk_0,The target character makes a decision after a moment of emotional distress.,"Backyard scene: Hazel sits in the grass, looks at a rusty swing set, cries briefly, then wipes her tears and becomes composed."
31、EXT SUBURBAN STREET - LATER,doc_30_chunk_0,Hazel Grace Lancaster has already used her wish prior to the conversation with Gus.,"Scene: Walking on the sidewalk, conversation about the wish."
31、EXT SUBURBAN STREET - LATER,doc_30_chunk_0,Hazel Grace Lancaster went to Disney World and Epcot Center as part of her wish fulfillment.,"Scene: Walking on the sidewalk, conversation about the wish."
57、INT KITCHEN - ONE WEEK LATER,doc_56_chunk_0,Hazel Grace Lancaster is preparing to travel to Amsterdam.,"Scene: At home, luggage with oxygen tanks and medical equipment is by the door, and Hazel is dressed and excited for the trip."
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_1,Hazel Grace Lancaster receives a letter from Peter Van Houten inviting her to visit him in Amsterdam.,Scene: Hazel reads aloud a letter from Peter Van Houten while at home.
30、INT HAZEL'S BEDROOM - MORNING,doc_29_chunk_1,Hazel Grace Lancaster requests permission from Frannie to travel to Amsterdam.,"Scene: After showing Frannie the letter, Hazel asks, 'Can we go to Amsterdam? Please?'"
63、INT AIRPLANE - MOMENTS LATER,doc_62_chunk_2,Hazel Grace Lancaster kisses Gus on the cheek during the flight.,"Scene: On the airplane as it lifts off, in response to Gus's excitement."
105、INT/ EXT HAZEL'S CAR - DAY,doc_104_chunk_0,Hazel finds a crumpled paper given to her by Van Houten beneath the passenger's seat of the car.,"Inside a car, after searching through trash."
105、INT/ EXT HAZEL'S CAR - DAY,doc_104_chunk_0,Hazel reads a written message that contains a eulogy for her composed by Gus.,"Inside a car, after retrieving and unfolding the crumpled paper."
105、INT/ EXT HAZEL'S CAR - DAY,doc_104_chunk_0,Hazel is emotionally overwhelmed upon reading Gus's written words about her.,"Inside a car, immediately after reading the message."
