doc_title,chunk_id,description,scene_context
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_2,CHEV points the gun at HOOD #1's head,
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_3,(stunned),
110、INT. EVE'S CAR - DAY,doc_109_chunk_6,"e walks back to EVE'S CAR, cool as a cucumber, gets in and pulls away.",EVE'S CAR - DAY
110、INT. EVE'S CAR - DAY,doc_109_chunk_6,CHEV looks at her like she's nuts.,EVE'S CAR - DAY
"11、EXT CHEV'S AUDI, SAME TIME",doc_10_chunk_0,CHEV begins to POUND HIS HEAD against the steering wheel.,
110、INT. EVE'S CAR - DAY,doc_109_chunk_0,e SLAMS his fist against the wheel.,
"108、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_107_chunk_0,CHEV and EVE hit the floor of the moving elevator with a CRASH and roll out onto the 4th floor.,"Moving elevator, crashing and rolling out onto 4th floor"
"106、EXT ROOF, SECONDS LATER",doc_105_chunk_1,CHEV sneaks up.,in the box loading area
"106、EXT ROOF, SECONDS LATER",doc_105_chunk_1,"CHEV is on him, snatching up the HOOD'S gun, spinning him around and poking it into the soft flesh under his chin.",in the box loading area
111、EXT. SIDEWALK - DAY,doc_110_chunk_0,CHEV almost COLLAPSES when his feet hit the ground.,
111、EXT. SIDEWALK - DAY,doc_110_chunk_0,He unsnaps the buttons of the warm-up pants to reveal that his left leg has TURNED GREY.,
"104、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_103_chunk_0,He crosses from one side of the room to another,Room with sewing machines
"104、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_103_chunk_0,"CHEV walks right by, out the window and onto the fire escape",Window leading to fire escape
111、EXT. SIDEWALK - DAY,doc_110_chunk_1,"CHEV drags his carcass across the street, oblivious to the traffic swerving and braking to avoid him, and stumbles in.",Outside a hardware store
110、INT. EVE'S CAR - DAY,doc_109_chunk_4,CHEV loses his mind.,Car chase scene
110、INT. EVE'S CAR - DAY,doc_109_chunk_4,"He SLAMS THE BRAKES to put the car into a SLIDE, exposing his driver side to the pursuing sedan - punches his gun hand out the window and BLASTS AWAY.",Car chase scene
"106、EXT ROOF, SECONDS LATER",doc_105_chunk_0,CHEV ducks behind a big ventilation duct.,"Building, HOOD #2 searching for Chev"
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_8,CHEV takes out another HOOD on,
