id,scene,question,answer,evidence,qa_type
1,90、法院门口，日，内,姜仁浩在混乱中重复了什么信息？,民秀是听不到声音也说不了话的孩子,姜仁浩哭喊着：这个孩子，既听不到声音，也说不了话，这个孩子的名字，叫民秀,dialogue/beliefs
2,7、火车隧道，夜，外,"在[7、火车隧道，夜，外]中, 小男孩的行动状态如何？",脚步沉重，突然停下并转身,他穿着一双黑白相间的拖鞋，脚步沉重，走着走着，他突然停下来，然后转过了身。,character states
3,63、雾津人权维护中心，夜，外,徐友真在阳台上对私下协商有何反应？,徐友真吃惊并质问协商的意义,徐友真有些吃惊：私下协商？孩子们都被性侵犯了，协商什么啊协商！,detailed description
4,11、铁轨，夜，外,"在[11、铁轨，夜，外]中, 小男孩的状态如何？",已经死亡,铁轨另一侧，是已经死去的小男孩的身体,character states
5,56、公路上，日，外,徐友真为何认为姜仁浩性格不一般？,因他被吐痰后仅淡淡询问在干什么,都往你脸上吐痰了你竟然还只是淡淡的说了一句你在干什么,causal/relational queries
6,79、街道，夜，外,徐友真表达了什么请求？,见孩子们一面再走吧！,徐友真：见孩子们一面再走吧！,dialogue/beliefs
7,45、姜仁浩家，夜，内,姜仁浩为什么无地自容？,母亲提到他过去不顾家庭，只顾画画。,母亲：你为了画画，四处晃荡的时候，你难道忘了我和松儿她妈是怎么把松儿养大还供着你的吗？,causal/relational queries
8,37、饭店，夜，内,姜仁浩为什么突然起身离开？,意识到润慈爱和校长的情人关系,姜仁浩突然意识到什么，赶紧起身离开了。,causal/relational queries
9,72、教学楼走廊，夜，内,姜仁浩认为谁可能销毁校长的东西？,他老婆或情人润慈爱,姜仁浩：他老婆吗？他老婆那么信任他，他能让她知道自己是个变态吗？难道还能找他的情人润慈爱吗？,dialogue/beliefs
10,23、办公室，日，内,"在[23、办公室，日，内]中, 民秀当前的情绪状态如何？",魂不守舍,你说民秀啊！那小子的弟弟前几天因火车意外丧生了，孩子现在肯定是魂不舍设的,character states
11,74、律师事务所，日，内,姜仁浩提到录像带日期如何？,与妍斗证词上的日期一致。,录像带上的日期和妍斗证词上说的目击到的那天一致。,dialogue/beliefs
12,83、街道，夜，外,徐友真对姜仁浩说了什么？,民秀去找朴宝贤了，说是要去报仇。,徐友真冲进大雨对电话那头的姜仁浩：民秀去找朴宝贤了，说是要去报仇。,dialogue/beliefs
13,79、街道，夜，外,姜仁浩说了什么？,对不起，没能帮到底。,姜仁浩：对不起，没能帮到底。,dialogue/beliefs
14,64、宾馆，夜，内,黄律师提醒姜仁浩时提到女儿的什么情况？,女儿病得不轻,黄律师：姜老师，你还得为你那年幼的女儿着想啊！听说女儿病得不轻啊。,detailed description
15,76、法庭，日，内,法官对被告人的犯罪行为有何评价？,犯罪性质非常恶劣，并且不顾保护残疾人儿童的社会性责任,法官：三个被告人身为聋哑人学校教师却对年幼的学生进行性侵犯，犯罪性质非常恶劣，并且，不顾保护残疾人儿童的社会性责任，把被害者沦为满足性欲的对象，对其进行强制性骚扰或者性侵犯，应当给予严重惩罚。,dialogue/beliefs
16,17、校长室，日，内,"在[17、校长室，日，内]中, 李江锡和李江福的关系是什么？",孪生兄弟,姜仁浩看了看表情严肃的李江福，又看了看满脸笑容的李江锡，两人长得一模一样，他面露惊讶的表情。,character states
17,19、仓库，夜，外,"在[19、仓库，夜，外]中, 姜仁浩母亲对金额的反应如何？",表现出强烈惊讶,母亲画外音：我的天啊，让我突然上哪弄这么多钱啊！,character states
18,67、法院大厅，日，内,姜仁浩如何回应母亲的质问？,抓住金妍斗往法庭走,姜仁浩说完抓住金妍斗往法庭走。,detailed description
19,14、乡间小路，日，外,徐友真提到他们的工作是什么？,专门针对酗酒闹事，对老婆和孩子施以暴力的人渣。,干我们这一行的，也会结下不少仇家，跟刑警的工作有点像哦，专门针对酗酒闹事，对老婆和孩子施以暴力的人渣。,dialogue/beliefs
20,78、KTV，夜，内,「事必归正」指什么？,正义必定胜利,行政室长：事必归正，正义必定胜利，这句话说得好啊！,terminology/abbreviation/concept
21,25、走廊，夜，内 | 39、雾津人权维护中心，日，内 | 43、走廊，夜，外,为什么姜仁浩在听到女厕所传出惨叫后未能及时阻止校长的性侵行为？,因为保安以那是学生恶作剧为由阻止他进入女厕所，并催促他离开，导致他未能及时发现和干预校长的施暴行为。,保安拦住姜仁浩，称惨叫是孩子故意发出的，并强调不能随意进入女厕所，随后催促他离开。,causal/relational queries
22,4、汽车内，夜，外 | 12、山路，夜，外 | 14、乡间小路，日，外 | 15、慈爱学堂门口，日，外,姜仁浩在抵达慈爱学堂门口时，看到学校悬挂的条幅上写着什么内容，这一内容与学校的官方评价有何关系？,姜仁浩看到慈爱学堂门口悬挂的条幅上写着‘庆祝被雾津教育厅指定为最优秀学校’，这表明学校获得了来自雾津教育厅的官方最高评价。,条幅内容明确指出学校被雾津教育厅评为最优秀学校，代表其获得官方认可。,detailed description
23,2、山脚下，夜，外 | 4、汽车内，夜，外 | 12、山路，夜，外,姜仁浩在接到母亲电话时，为什么对所处位置感到不确定？,因为当时大雾弥漫，导致他无法辨认周围的环境和具体位置。,姜仁浩望着外面的大雾，表示自己都不知道现在在哪儿。,character states
24,6、汽车内，夜，外 | 13、汽车修理厂，日，外 | 14、乡间小路，日，外,为什么徐友真最终向姜仁浩道歉并提出协助处理保险赔偿？,因为社长暗示她自己可能因昨晚喝酒而判断失误，导致她意识到责任在己方。,社长低声问徐友真是否昨晚独自喝多了酒，她随后神情尴尬并主动道歉。,causal/relational queries
25,14、乡间小路，日，外 | 15、慈爱学堂门口，日，外 | 29、洗衣房，日，内,姜仁浩在看到金妍斗被按进洗衣机后，表现出怎样的心理状态？,姜仁浩感到极度愤怒和激动，同时充满保护欲，他不仅当场质问施暴者，还通过强调自己的社会关系来威胁对方停止暴力行为。,姜仁浩冲过去将金妍斗抱进怀里并质问润慈爱，情绪激动地表明自己来自首尔并有检察官和律师的朋友，警告对方若再施暴就会让她坐牢。,character states
26,19、仓库，夜，外 | 45、姜仁浩家，夜，内,姜仁浩在得知母亲退掉房子为他筹钱后，表现出怎样的情绪状态？,姜仁浩感到震惊并表现出责备的情绪，声音提高，对母亲退房的行为表示难以接受。,姜仁浩意识到母亲已经退掉了房子，声音提高，责问她怎么能这么做。,character states
27,17、校长室，日，内 | 18、走廊，日，外,为什么行政室长对姜仁浩表现出不满并索要钱财？,因为行政室长认为姜仁浩的职位是通过金教授的推荐获得的，破坏了原本的利益分配规则，导致他只能拿到较少的贿赂金额。,行政室长提到姜仁浩是金教授推荐的人，因此无法给予原本计划的大额贿赂，只能给五张小额的，这让他感到不满。,causal/relational queries
28,12、山路，夜，外 | 15、慈爱学堂门口，日，外 | 29、洗衣房，日，内,姜仁浩在发现金妍斗被按进洗衣机后，出于什么心理状态对润慈爱发出法律威胁？,姜仁浩在看到金妍斗满脸伤痕并被从洗衣机中拎出后感到极度愤怒和激动，出于保护孩子的强烈情绪和对施暴者的谴责，他以自己来自首尔并有法律界人脉为底气，警告润慈爱若继续施暴将面临牢狱之灾。,姜仁浩看到金妍斗受伤后将她抱入怀中，质问润慈爱为何将其按进洗衣机，并在情绪激动下表明自己有检察官和律师的朋友，警告对方会因施暴入狱。,character states
29,49、校长室，日，内 | 27、办公室，日，内,朴宝贤在被校长评价为‘老了，孩子们都不怕他了’之后表现出怎样的心理状态？,朴宝贤表现出被激怒和急于证明自己的心理状态。,校长说朴老师老了，孩子们都不怕他了，这句话让朴宝贤突然掏出高尔夫球杆挥向全名秀，显示出他因权威受挑战而暴怒。,character states
30,2、山脚下，夜，外 | 4、汽车内，夜，外 | 12、山路，夜，外 | 14、乡间小路，日，外 | 15、慈爱学堂门口，日，外,姜仁浩在前往慈爱学堂的途中，因车窗破碎而感到寒冷，他当时表现出怎样的心理状态？,姜仁浩感到不适和焦虑，急于知道到达目的地的时间。,姜仁浩在车里冻得难受，双手搓着取暖，并多次催问还要多久才到。,character states
31,4、汽车内，夜，外 | 12、山路，夜，外 | 23、办公室，日，内,姜仁浩在前往学校的途中，因大雾产生了怎样的心理状态？,姜仁浩感到迷茫和不确定，因为他被大雾笼罩，无法辨认自己所在的位置。,姜仁浩望着外面的大雾，表示雾太大了，自己都不知道现在在哪儿。,character states
32,14、乡间小路，日，外 | 15、慈爱学堂门口，日，外 | 26、校长室，日，内,姜仁浩在与徐友真交流手语时表现出怎样的态度？,姜仁浩表现出一种无奈且略带讽刺的态度，他用手语回应却未解释其含义，反而指出对方因不理解手语而得罪人。,姜仁浩用手语回应徐友真但未被理解，当被问及手语意思时没有解释，反而说对方因此得罪人。,character states
