doc_title,chunk_id,text,scene_context
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_0,,
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_2,I'm not beaut --,
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_3,Which is what was happening to me.,
13、INT HOSPITAL BED - FLASHBACK,doc_12_chunk_0,Stage IV thyroid cancer.,
14、INT OPERATING ROOM - FLASHBACK,doc_13_chunk_0,I had surgery first.,
103、INT BATHROOM - CONTINUOUS,doc_102_chunk_0,Occupada.,"Scene in a bathroom; Hazel speaks through the door to Michael, who is outside asking to come in."
16、INT ICU - THE NEXT MORNING,doc_15_chunk_0,The antibiotics kicked in. They drained the fluid from my lungs. And in time I got better. Stronger.,
101、EXT CEMETARY - DAY,doc_100_chunk_4,"You didn't ruin our trip, you asshole. We had an awesome trip.",Scene with Van Houten; Hazel responds to his apology during a conversation about their trip.
107、EXT HAZEL'S HOUSE - BACKYARD - LATER,doc_106_chunk_2,Ok.,"Hazel is lying in the grass, holding a letter; she responds to Gus's voice speaking to her, seemingly in a moment of reflection or internal decision."
15、INT SEVERAL MORE HOSPITAL ROOMS - FLASHBACK,doc_14_chunk_0,Then Radiation...,
15、INT SEVERAL MORE HOSPITAL ROOMS - FLASHBACK,doc_14_chunk_0,Then Chemo...,
15、INT SEVERAL MORE HOSPITAL ROOMS - FLASHBACK,doc_14_chunk_0,All of which worked for a while.,
12、INT GUS'S CAR - LATER,doc_11_chunk_0,You don't say.,"Scene: In a car, Hazel reacts to Gus admitting he failed his driving test multiple times."
12、INT GUS'S CAR - LATER,doc_11_chunk_0,I'm surprised you have a license.,"Scene: In a car, Hazel comments on Gus's poor driving skills."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_1,I'm not depressed!,"Scene in a medical setting, Hazel responds to the doctor's statement about her mental state."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_1,The booklets and web sites always list depression as a side effect of cancer...,"Voice-over during a quick sequence, Hazel reflects on cancer-related depression."
101、EXT CEMETARY - DAY,doc_100_chunk_1,How did you even --,"In a car, Hazel is speaking with Van Houten after agreeing to give him a ride."
101、EXT CEMETARY - DAY,doc_100_chunk_1,And you just... bought a ticket?,"In a car, Hazel is speaking with Van Houten after agreeing to give him a ride."
12、INT GUS'S CAR - LATER,doc_11_chunk_1,Aha. Cancer perk.,"Scene with Gus in a car, discussing driving test experiences and cancer-related advantages."
12、INT GUS'S CAR - LATER,doc_11_chunk_1,I was 13 when they found it.,"Scene with Gus in a car, where Hazel shares her cancer diagnosis story."
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_2,What?,"Scene: Conversation with Isaac, after learning that Gus had written something and sent it to Van Houten."
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_2,I... I have to go. I... Are you...?,"Scene: Conversation with Isaac, immediately after learning that Gus had written something and sent it to Van Houten."
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_1,I didn't find it that annoying.,
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_1,He is not my friend and -- how do you know about that?,
104、EXT ISAAC'S HOUSE - NIGHT,doc_103_chunk_1,Yeah well I'm over it. I never want to read another word of that asshole's again.,
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_2,Depression's not a side effect of cancer...,"Scene: Hazel's living room. Hazel is speaking in voice-over while watching game shows, with her mom present."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_2,... it's a side effect of dying.,Scene: Hazel's living room. Hazel continues her voice-over narration while her mom brings her medication.
19、EXT/INT GUS'S HOUSE - SAME,doc_18_chunk_6,Not so much cold as under-oxygenated.,"Scene: In Gus's room, Hazel responds to Gus commenting on her cold hands after they touch while exchanging a book."
19、EXT/INT GUS'S HOUSE - SAME,doc_18_chunk_2,Nice to meet you!,
19、EXT/INT GUS'S HOUSE - SAME,doc_18_chunk_2,Must have been pretty good.,Gus's basement bedroom; Hazel speaks to Gus about his basketball memorabilia.
101、EXT CEMETARY - DAY,doc_100_chunk_0,I'll be fine.,"After Gus's burial ceremony, Hazel speaks with her parents, Frannie and her dad, indicating she wants to be alone."
101、EXT CEMETARY - DAY,doc_100_chunk_0,"No, I'd... I'd like to be alone for a while.","After Gus's burial ceremony, Hazel speaks with her parents, declining a ride and expressing her need for solitude."
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_0,Late in the Winter of my 17th year...,
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_0,I'm not depressed.,Scene in a doctor's office; Hazel is speaking to her mother and a doctor who are discussing her mental health.
1、INT DOCTOR'S OFFICE - DAY,doc_0_chunk_0,I'm not depressed.,Scene in a doctor's office; Hazel repeats her statement to her mother and doctor.
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,Metaphor.,
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,Can't tonight.,Scene with her mom Frannie and Augustus Waters present; Hazel declines her mom's suggestion to participate in 'Model' due to prior plans.
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_7,I've made plans with Augustus Waters.,Scene with her mom Frannie and Augustus Waters present; Hazel explains why she can't go with her mom.
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_5,"What, you think that's cool? Oh you idiot! There's always a hamartia, nisn't there? And yours is - even though you had FREAKING CANCER you give money to a corporation for the chance to acquire EVEN MORE CANCER!? Ugh. And you were doing so well.","Scene: Hazel confronts Gus about his actions, criticizing his decision to support a corporation that promotes smoking despite his history with cancer. She is frustrated and emotional during the exchange."
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_6,Let me tell you... not being able to breathe? Sucks. Totally sucks.,"Scene: Unknown location, Hazel speaks to Gus about her condition."
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_6,A fatal flaw.,"Scene: Unknown location, Hazel responds to Gus's mention of 'Hamartia'."
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_6,Sorry?,"Scene: Unknown location, Hazel reacts to Gus's statement about things not hurting unless lit."
21、INT HAZEL'S DINING ROOM - NIGHT,doc_20_chunk_0,Tell me my copy is missing the last ten pages or something.,"At the dinner table with her parents; Hazel responds to a text from Gus, commenting on a book."
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,I even found myself in an experimental trial. You know the ones that are famous in the Republic of Cancervania for not working.,
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,"It's called Phalanxifor. Didn't work in over 70 percent of patients but, for some reason...",
17、INT YET ANOTHER HOSPITAL ROOM - DAY,doc_16_chunk_0,"...it worked in me. They called it ""The Miracle.""",
101、EXT CEMETARY - DAY,doc_100_chunk_5,"You think I care about that? I don't give a shit, Van Houten.","Scene: In a car, Hazel confronts Van Houten after he hands her a typed paper."
101、EXT CEMETARY - DAY,doc_100_chunk_5,You're a drunk and a jerk and a failure. And I'd like you to get out of my car right now so I can go home and grieve.,"Scene: In a car, Hazel confronts Van Houten, demanding he leave her car so she can go home."
27、INT GUS'S BASEMENT BEDROOM - SAME,doc_26_chunk_2,Augustus!?,
27、INT GUS'S BASEMENT BEDROOM - SAME,doc_26_chunk_3,"Keep reading, keep reading!",
11、EXT OUTSIDE THE CHURCH - LATER,doc_10_chunk_4,You could be an axe murderer.,"Scene: Hazel and Gus are talking; Gus suggests something, and Hazel responds with skepticism about his trustworthiness."
