doc_title,chunk_id,description,scene_context
16、INT. NORLAND PARK - DINING ROOM - EARLY EVE,doc_15_chunk_1,MRS DASHWOOD looks at ELINOR pointedly.,
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_0,MRS DASHWOOD is snoozing.,
166、INT. CLEVELAND - STAIRCASE - MORNING,doc_165_chunk_0,MRS DASHWOOD enters and practically receives Elinor into her arms.,
174、EXT. BARTON COTTAGE - GARDEN - EVE,doc_173_chunk_1,MRS DASHWOOD squeezes ELINOR's arm tightly.,
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_0,Mrs Dashwood (rising) Edward! What a pleasure to see you.,
165、EXT. CLEVELAND - FRONT STEPS - MORNING,doc_164_chunk_0,"MRS DASHWOOD, who is weak with exhaustion and distress, out of the carriage.",
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_6,MRS DASHWOOD is led out of the room by MARIANNE.,
28、INT. NORLAND PARK - VELVET ROOM - ANOTHER DAY,doc_27_chunk_3,"MRS DASHWOOD on the middle landing of the staircase, smiling down at them.",
169、INT. BARTON COTTAGE - PARLOUR - DAY,doc_168_chunk_0,"MRS DASHWOOD and ELINOR at the other end of the room, sewing peacefully.",
27、INT. NORLAND PARK - DRAWING ROOM - ANOTHER DAY,doc_26_chunk_0,"MRS DASHWOOD sits across from FANNY, who thumbs through a fashion-plate magazine.",
16、INT. NORLAND PARK - DINING ROOM - EARLY EVE,doc_15_chunk_0,"MRS DASHWOOD maintains a cool, removed dignity.","Scene: Dining room, during a family meal with stiff silence and tension."
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_2,MRS DASHWOOD tries to laugh but it emerges as a sob.,
18、INT. NORLAND PARK - BREAKFAST ROOM - DAY,doc_17_chunk_0,MRS DASHWOOD is at breakfast.,"Breakfast scene with Fanny, Elinor, John, and Marianne."
189、EXT. BARTON VILLAGE CHURCH - DAY,doc_188_chunk_0,MRS DASHWOOD is present at the wedding party outside the church.,"Outside the church, during a large wedding celebration."
21、INT. NORLAND PARK - DRAWING ROOM - DAY,doc_20_chunk_1,MRS DASHWOOD smiles warmly at EDWARD.,"Scene: Inside the house, during Edward's arrival and comment about the stables."
176、INT. BARTON COTTAGE - KITCHEN - DAY,doc_175_chunk_0,MRS DASHWOOD (V.O.) Marianne! Marianne! Come and see what is coming!,"Kitchen, during a commotion upstairs."
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_4,Was Mr Ferrars in the carriage with her?,
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_4,"Thank you, Thomas.",
31、INT. NORLAND PARK - DRAWING ROOM - EVE,doc_30_chunk_0,MRS DASHWOOD makes up the rest of the audience,"After dinner, in the drawing room at Norland estate."
167、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_166_chunk_0,MRS DASHWOOD kisses her.,
167、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_166_chunk_0,MRS DASHWOOD takes her gently into her arms.,
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_4,MRS DASHWOOD I meant to enquire after Mrs EdwardFerrars.,
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_4,MRS DASHWOOD Mrs Robert Ferrars?,
181、EXT. BARTON COTTAGE - GARDEN GATE - DAY,doc_180_chunk_0,"It must be. He said he would arrive today. You must play him the new song, Marianne.",
181、EXT. BARTON COTTAGE - GARDEN GATE - DAY,doc_180_chunk_0,Calm. We must be calm.,
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_2,MRS DASHWOOD decides to bite the bullet.,
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_2,"MRS DASHWOOD (giving him her hand) May I wish you great joy, Edward.",
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_1,"MRS DASHWOOD Shh, hush, Henry.",
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_1,MRS DASHWOOD is just managing to conceal her fear and grief,
36、INT. NORLAND PARK - DINING ROOM - EVE,doc_35_chunk_1,MRS DASHWOOD ignores FANNY.,
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_1,Mrs. Dashwood makes her decision. She takes the letter and hides it in the pocket of her gown.,
21、INT. NORLAND PARK - DRAWING ROOM - DAY,doc_20_chunk_0,Mrs Dashwood forgives Mr Ferrars for the absence of her youngest child.,
21、INT. NORLAND PARK - DRAWING ROOM - DAY,doc_20_chunk_0,Mrs Dashwood explains that her youngest is not to be found this morning and that she is a little shy of strangers at present.,
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_0,"A WOMAN (MRS DASHWOOD, 50) sits by his side, holding his hand, her eyes never leaving his face.","Scene: Inside a dimly lit room with candles, where MR DASHWOOD is lying on a bed, near death."
38、INT. THE LADIES' CARRIAGE - OPEN ROAD - RAIN - EVE,doc_37_chunk_0,MRS DASHWOOD looks at ELINOR with satisfaction.,
41、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_40_chunk_1,Mrs Dashwood begins to express gratitude for Sir John's kindness.,
41、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_40_chunk_8,MRS DASHWOOD (weakly) What generosity.,
178、INT. BARTON COTTAGE - PARLOUR - DAY,doc_177_chunk_0,MRS DASHWOOD reads out the letter that has accompanied it.,The piano is carried into the parlour and fits perfectly.
178、INT. BARTON COTTAGE - PARLOUR - DAY,doc_177_chunk_0,MRS DASHWOOD hands MARIANNE the letter and a broadsheet song.,After reading the letter aloud.
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_10,MRS DASHWOOD is silenced.,
174、EXT. BARTON COTTAGE - GARDEN - EVE,doc_173_chunk_0,MRS DASHWOOD comes down the path to join her.,"Outside the house, near the gate, as Elinor is standing by."
174、EXT. BARTON COTTAGE - GARDEN - EVE,doc_173_chunk_0,She links arms with ELINOR and they stand in silence for a beat.,"Outside the house, near the gate, as Elinor is standing by."
41、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_40_chunk_6,The strain of exhibiting joy and gratitude is beginning to tell on MRS DASHWOOD who is sagging visibly.,
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_4,I think that may be taking your romantic sensibilities a little far.,
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_4,You require so much!,
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_0,"Despite themselves, ELINOR and MRS DASHWOOD are amused.",
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_5,"Mrs Dashwood says he is busy, dear.",
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_4,MRS DASHWOOD makes a superhuman effort and smiles back.,
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_4,She allows THOMAS to help her out.,
3、INT. NORLAND PARK - MR DASHWOOD'S BEDROOM - NIGHT,doc_2_chunk_4,"She passes JOHN DASHWOOD as he enters, presses his hand, but cannot speak.",
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,doc_33_chunk_4,It is impossible for MRS DASHWOOD not to get the point. She is appalled and furious.,
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,doc_33_chunk_4,She sweeps off.,
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_2,"Mrs Dashwood fetch Thomas to us, Betsy.","Scene: Inside the Dashwood home, following a moment of stunned silence."
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_2,"Mrs Dashwood says it was a very good price, Thomas, well done. Would you be so kind as to build up the fire a little?","Scene: Inside the Dashwood home, after Thomas enters with an apology about the price."
41、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_40_chunk_3,"MRS DASHWOOD (V.O.) Oh, but dear Sir John, we cannot--","Scene: Parlour at Barton Cottage, as Marianne enters and hears conversation in voiceover."
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_4,"MRS DASHWOOD picks it up, looks at ELINOR, and opens",
52、INT. SIR JOHN'S CARRIAGE - NIGHT,doc_51_chunk_1,"Hush, please, now that is enough, Margaret. If you cannot think of anything appropriate to say, you will please restrict your remarks to the weather.",
53、EXT. POND NEAR BARTON PARK - DAY,doc_52_chunk_0,MRS DASHWOOD examines a foxhole.,"Picnic scene: In the background, Sir John, Elinor, and Mrs Jennings are packing up the remains of a picnic."
179、EXT. BARTON COTTAGE - GARDEN - DAY,doc_178_chunk_0,MRS DASHWOOD is sitting on a stool working on MARGARET's dress and listening to the strains of the new song which MARIANNE is singing in the cottage.,
179、EXT. BARTON COTTAGE - GARDEN - DAY,doc_178_chunk_0,"MRS DASHWOOD rises, shielding her eyes with her hand.",
179、EXT. BARTON COTTAGE - GARDEN - DAY,doc_178_chunk_0,"She walks down to the gate, looking out.",
56、EXT. BARTON PARK - GARDENS - DAY,doc_55_chunk_0,MRS DASHWOOD is talking to COLONEL BRANDON.,"Outdoor luncheon, MRS DASHWOOD interacts with COLONEL BRANDON while Marianne plays bilboquet nearby."
49、INT. BARTON PARK - DINING ROOM - EVE,doc_48_chunk_3,Mrs. Dashwood looks at each other helplessly.,
49、INT. BARTON PARK - DINING ROOM - EVE,doc_48_chunk_3,Mrs. Dashwood is appalled at her youngest's relish for such a vulgar game.,
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_6,"MRS DASHWOOD looks beseechingly at MARIANNE, who nods and grasps MARGARET's hand.",
64、INT. BARTON COTTAGE - PARLOUR - DAY,doc_63_chunk_1,"MRS DASHWOOD
With great decorum and honour.",
68、INT. BARTON COTTAGE - PARLOUR - DAY,doc_67_chunk_3,Mrs Dashwood indicates a chair,
66、INT. BARTON COTTAGE - PARLOUR - MORNING,doc_65_chunk_1,MRS DASHWOOD takes over.,
64、INT. BARTON COTTAGE - PARLOUR - DAY,doc_63_chunk_2,"MRS DASHWOOD Margaret, you are worse than Mrs Jennings.",
62、INT. BARTON COTTAGE - PARLOUR - DAY,doc_61_chunk_2,MRS DASHWOOD silences her with a gesture and follows him out with all the solicitous charm she can command,
68、INT. BARTON COTTAGE - PARLOUR - DAY,doc_67_chunk_5,MRS DASHWOOD exchange glances.,
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_2,"MRS DASHWOOD If Colonel Brandon is infirm, then I am at death's door.",
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_2,MRS DASHWOOD and MARIANNE look at ELINOR in consternation.,
68、INT. BARTON COTTAGE - PARLOUR - DAY,doc_67_chunk_7,MRS DASHWOOD smiles at ELINOR with satisfaction.,
7、INT. NORLAND PARK - MRS DASHWOOD'S BEDROOM - DAY,doc_6_chunk_1,She suddenly collapses into a chair and bursts into tears.,
63、EXT. BARTON COTTAGE - FRONT DOOR - DAY,doc_62_chunk_0,MRS DASHWOOD calls out after him.,
63、EXT. BARTON COTTAGE - FRONT DOOR - DAY,doc_62_chunk_0,CLOSE on MRS DASHWOOD's excited expression.,
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,doc_33_chunk_0,"MRS DASHWOOD enters, pauses for a moment and then joins FANNY at the window.","Inside a room with a window, observing Elinor and Edward in the garden."
34、INT. NORLAND PARK - BREAKFAST ROOM - DAY,doc_33_chunk_0,MRS DASHWOOD looks down at the lovers and then smiles sweetly at her.,"Inside a room with a window, observing Elinor and Edward in the garden."
68、INT. BARTON COTTAGE - PARLOUR - DAY,doc_67_chunk_4,"Mrs. Dashwood says, 'Marianne has been reading them out to us.'",
62、INT. BARTON COTTAGE - PARLOUR - DAY,doc_61_chunk_1,"Mrs. Dashwood asks, Will you not be seated?",
62、INT. BARTON COTTAGE - PARLOUR - DAY,doc_61_chunk_1,"Mrs. Dashwood says, We shall look forward to it!",
69、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_68_chunk_3,Mrs. Dashwood does not like to be swayed by her emotions.,
68、INT. BARTON COTTAGE - PARLOUR - DAY,doc_67_chunk_0,MRS DASHWOOD greets him with outstretched arms.,Scene: ELINOR leads WILLOUGHBY in; MRS DASHWOOD greets him upon arrival.
76、EXT. MEADOW NEAR BARTON COTTAGE - DAY,doc_75_chunk_1,Mrs Dashwood says Colonel Brandon is very highly esteemed at the Park.,
76、EXT. MEADOW NEAR BARTON COTTAGE - DAY,doc_75_chunk_8,MRS DASHWOOD I do not have the heart.,
62、INT. BARTON COTTAGE - PARLOUR - DAY,doc_61_chunk_0,"MRS DASHWOOD is carried in, surrounded by ELINOR, MRS DASHWOOD and MARGARET.",
62、INT. BARTON COTTAGE - PARLOUR - DAY,doc_61_chunk_0,"MRS DASHWOOD Sir, I cannot even begin to thank you.",
60、INT. BARTON COTTAGE - DINING ROOM - DAY,doc_59_chunk_0,"MRS DASHWOOD turns, looking very worried.","Inside a room, rain is thudding against the window."
60、INT. BARTON COTTAGE - DINING ROOM - DAY,doc_59_chunk_0,MRS DASHWOOD exclaims 'At last!',"Inside a room, after hearing noises in the hall."
76、EXT. MEADOW NEAR BARTON COTTAGE - DAY,doc_75_chunk_0,"Mrs. Dashwood (indulgently) You are a very wicked pair, Colonel Brandon will be sadly missed.",
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_0,MRS DASHWOOD is ruminating sadly.,
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_0,"MRS DASHWOOD (reading from the letter) 'I should be pleased to offer you a home at Barton Cottage as soon as ever you have need of it' why, it is from my cousin, Sir John Middleton!",
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_0,MRS DASHWOOD looks at the letter again and thinks.,
32、INT. NORLAND PARK - MORNING ROOM - DAY,doc_31_chunk_0,MRS DASHWOOD Has Elinor not yet seen this?,
69、EXT. BARTON COTTAGE - GARDEN PATH - DAY,doc_68_chunk_0,"Mrs Dashwood is on her horse, looking about as virile as his horse. Everyone has come out to say goodbye, Marianne supported by Elinor and Mrs Dashwood.",
81、INT. BARTON CHURCH - DAY,doc_80_chunk_0,"we see the excited faces of ELINOR, MARGARET and MRS DASHWOOD.",
86、INT. BARTON COTTAGE - PARLOUR - DAY,doc_85_chunk_2,MRS DASHWOOD is getting defensive.,
7、INT. NORLAND PARK - MRS DASHWOOD'S BEDROOM - DAY,doc_6_chunk_0,"MRS DASHWOOD is rushing about, mourning ribbons flapping, putting her knick-knacks into a small valise.","Scene: Inside a home, during the preparation for departure after being displaced."
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_8,Mrs Dashwood approaches Elinor.,
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_8,"Mrs Dashwood says to Elinor, 'You must miss him, Elinor.'",
57、INT. BARTON COTTAGE - PARLOUR - LATE AFTERNOON,doc_56_chunk_8,"Mrs Dashwood says, 'But he loves you, dearest, of that I am certain.'",
61、INT. BARTON COTTAGE - FRONT DOOR - DAY,doc_60_chunk_0,MRS DASHWOOD and ELINOR rush to the front door.,"Front door of the house, upon seeing a stranger carrying Marianne."
61、INT. BARTON COTTAGE - FRONT DOOR - DAY,doc_60_chunk_0,MRS DASHWOOD exclaims 'Marianne!'.,"Front door of the house, upon seeing Marianne being carried by a stranger."
