doc_title,chunk_id,fact,scene_context
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_5,Santa acknowledges the elves' claim about union regulations by agreeing with them.,
60、INT. SANTA'S CONFERENCE ROOM - CONTINUOUS,doc_59_chunk_2,Santa draws a pistol from behind his belt and points it at the Hammer.,
54、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - SATURDAY NIGHT,doc_53_chunk_0,Santa has captured Esther.,Scene following the vault entrance: The Hammer informs the Chief that Santa has taken Esther.
44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,doc_43_chunk_2,"Santa successfully completes a plan to extract the Judeum from the clock, resulting in the cessation of the Jewish Calendar and the eradication of Hanukkah.",
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_12,Santa gives an order to his thugs to extract Judeum from the clock.,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_12,Santa instructs Tiny Tim to kill the Hebrew Hammer.,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_11,Santa realizes that the Hebrew Hammer cannot fight on the Sabbath.,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_11,Santa concludes that the Hebrew Hammer has a weakness based on his inability to fight on the Sabbath.,
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_7,Santa hands a bag of peanuts to each of the five Taiwanese boys as they pass him.,
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_7,Santa successfully directs the group of five Taiwanese boys to the assembly line.,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_2,Santa is disarmed after the Hammer shoots the pistol out of his hand.,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_2,Santa commands his Elf Thugs to attack the Hammer.,
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_9,Santa instructs a group to distribute bootleg copies of 'It's A Wonderful Life' to young people in Jewish neighborhoods across major cities.,
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_9,Santa provides free bootleg videocassettes of 'It's A Wonderful Life' as part of a targeted distribution plan.,
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_0,Santa is coordinating a plan with the Salvation Navy Guy via walkie-talkie.,Santa's Workshop: Santa receives a message that 'he's on his way' and responds that everything is going as planned.
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_0,Santa has knowledge of the Hebrew Hammer being removed from the situation.,"Santa's Workshop: Santa states that with the Hebrew Hammer out of the picture, Hanukkah will be diminished."
10、INT. SANTA'S CONFERENCE ROOM - DAY,doc_9_chunk_12,Damian assumes the role of Santa after the death of the previous Santa.,Scene following the death of Santa: Damian takes the bloodstained Santa hat and is thereafter referred to as SANTA.
10、INT. SANTA'S CONFERENCE ROOM - DAY,doc_9_chunk_12,The elves recognize Damian as their new master after he dons the Santa hat.,Scene following the death of Santa: The elves stare at Damian in horror as he becomes their new master.
