doc_title,chunk_id,fact,scene_context
19、INT. A CHAMBER,doc_18_chunk_22,CALL stumbles out of the room.,"Room, after CALL says she'll walk it off."
19、INT. A CHAMBER,doc_18_chunk_34,Call is present in the mess hall as part of the group being rounded up.,INT. MESS HALL - MOMENTS LATER
18、INT. BAY,doc_17_chunk_4,Call is the last person in the group.,
19、INT. A CHAMBER,doc_18_chunk_24,Call is inside Ripley's cell.,Ripley's cell
19、INT. A CHAMBER,doc_18_chunk_21,CALL has exited the current hand of cards.,"Card game, during a new hand where Johner is about to deal."
16、INT. CARGO BAY - CONTINUOUS,doc_15_chunk_2,The target character is instructed to adjust the generator plugs.,Aircraft repair scene: ELGYN instructs Call to adjust generator plugs.
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_27,CALL receives a grenade launcher from VRIESS.,"On the ship, VRIESS tosses a grenade launcher to CALL after unloading ammo and pulling it from his chair."
22、INT..NEXT CHAMBER,doc_21_chunk_4,CALL decides to take Purvis with the group.,"Chamber, after Ripley starts exiting"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_26,CALL is part of the group getting ready to dive.,Preparing to dive
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_30,Call is almost to the surface.,Swimming up the staircase toward the surface.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_36,A facehugger is inches from Call's face.,during the facehugger attack
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_33,Call cut a hole.,Water scene
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_44,Call's body is unmoving.,Alien attack sequence: Alien falls past Call's unmoving body.
19、INT. A CHAMBER,doc_18_chunk_23,Call is completely sober.,INT. HALL
19、INT. A CHAMBER,doc_18_chunk_30,Call is trying a different tack.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_50,Call is not dead.,"Lift arrives in shaft, Call emerges from hatch."
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_57,Call is a robot.,"Ripley spins Call around, revealing synthorganic wiring in her chest."
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_54,Call is freed from the alien's grasp.,in the lift
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_61,Call has a wound.,Group movement: Vriess attempts to examine Call's wound.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_6,Call is indicated by Ripley as a candidate to be thrown in as bait.,"Ripley proposes using a person as bait, indicating Call."
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_59,CALL's voice is slow and echoes strangely.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_23,Call is present at the front of the ship where the water is waste deep.,"Front of the ship, water waste deep, near a stairwell"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_64,Call explicitly refuses to access the mainframe.,During a discussion about accessing the mainframe.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_24,CALL explicitly commits to proceeding with the current plan.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_70,Call previously described Wren's location as being almost at the Betty.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_77,Call's voice is normal.,
24、INT. THE GARDEN CONTINUOUS,doc_23_chunk_2,Call is in the driver's seat.,"Jungle crossing: After finding a truck, the group boards it."
26、INT HALL NEARBY - CONTINUOUS,doc_25_chunk_4,Call is out of harm's way.,"Aliens crash through floor panels, Ripley hurls Call down the corridor to safety."
27、INT. WASTE TANK 5 - CONTINUOUS,doc_26_chunk_7,CALL agrees to patch in to the ship again to open the hatch.,INT: LOADING DOCK - Vriess requests Call to patch in to open the hatch.
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_31,CALL commits to blowing the ship.,During the ship's discussion about the threat to Earth
38、EXT. THE BETTY,doc_37_chunk_0,Call expertly avoids the Auriga,Space chase sequence
39、INT. THE BETTY,doc_38_chunk_15,Call is unconscious,Harvester crash
39、INT. THE BETTY,doc_38_chunk_10,Call is at the controls of the Harvester.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_31,Call is running out of air,Alien pursuit in goo environment
39、INT. THE BETTY,doc_38_chunk_14,The monster releases Call after the harvester collides with a tree.,"Harvester collides with tree, monster releases Call."
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_45,The facehugger abandons CALL after sensing no breath.,
25、INT. HALL CONTINUOUS,doc_24_chunk_1,CALL reports a potential hullbreach,narrow hall during firefight
25、INT. HALL CONTINUOUS,doc_24_chunk_1,CALL orders the sector to be cleared,narrow hall during firefight
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_53,"The lift stops halfway in front of the door, granting Call access.","Inside the lift, the lift stops halfway in front of the door."
39、INT. THE BETTY,doc_38_chunk_22,Call is freed from the harvester.,Inside the harvester during the alien attack
39、INT. THE BETTY,doc_38_chunk_3,Call cannot control the vehicle.,In the vehicle (THE BETTY) during a high-speed emergency.
39、INT. THE BETTY,doc_38_chunk_3,Call executes the order to kill thrust.,In the vehicle (THE BETTY) during a high-speed emergency.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_67,Call is convinced by Ripley's proposal to blow the ship.,
