doc_title,chunk_id,description,scene_context
109、INT. BEAM TUNNEL AREA - BENJAMIN INSTITUTE - DAY,doc_108_chunk_0,Hellboy and Abe bring up the rear.,
127、INT. SUBWAY PLATFORM - SAME,doc_126_chunk_0,He gives the cats to the young girl,
136、INT. TUNNEL LABYRINTH - CONNECTING SHOWER ROOM (SET) - DAY,doc_135_chunk_0,"Hellboy hears the gunfire, starts running.",
132、INT. SUBWAY TRACKS (NEAR THE STATION) - DAY,doc_131_chunk_0,Hellboy's locator belt crackles to life.,
105、INT. HELLBOY'S DEN - DAY,doc_104_chunk_0,"Hellboy is leaning over Broom, glaring at the old man.",
139、INT. B.P.R.D. MEDICAL BAY - DAY,doc_138_chunk_0,"Hellboy sits and studies him, as if in a trance.",
126、INT. SUBWAY PLATFORM STATION - DAY,doc_125_chunk_7,"Hellboy fights to free himself, but his sweaty face is millimeters away from being sliced by the glass.",
113、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_112_chunk_0,Hellboy lifts it.,"A large oval room of rusting metal, with pipes spilling water through a large GRATE on the floor."
105、INT. HELLBOY'S DEN - DAY,doc_104_chunk_2,Hellboy chuckles.,
105、INT. HELLBOY'S DEN - DAY,doc_104_chunk_2,Hellboy's face lights up.,
119、INT. TUNNEL LABYRINTH (SET) - DAY,doc_118_chunk_0,"Hellboy's flashlight is visible somewhere ahead, his booming footsteps rapidly receding.","Intersection of sewer tunnels, Hellboy is moving away from Clay."
112、INT. STORAGE ROOM - DAY,doc_111_chunk_0,The wall collapses under Hellboy's attack.,
112、INT. STORAGE ROOM - DAY,doc_111_chunk_0,Hellboy moves in.,
139、INT. B.P.R.D. MEDICAL BAY - DAY,doc_138_chunk_1,"Hellboy turns, Manning is there",
139、INT. B.P.R.D. MEDICAL BAY - DAY,doc_138_chunk_1,Hellboy gets up,
126、INT. SUBWAY PLATFORM STATION - DAY,doc_125_chunk_2,"Hellboy's stone hand emerges, triumphant.",
126、INT. SUBWAY PLATFORM STATION - DAY,doc_125_chunk_2,He climbs out of the crater.,
116、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_115_chunk_0,Hellboy does likewise.,
116、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_115_chunk_0,Hellboy extends a metal reliquary containing a small bone.,
118、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_117_chunk_1,Hellboy shines his light into an adjoining tunnel.,
118、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_117_chunk_1,"Hellboy tears after it, gun in hand.",
122、INT. INTERSECTION (LOCATION /BUILT SUGAR FACTORY) - DAY,doc_121_chunk_0,"Hellboy stops, disoriented.",
122、INT. INTERSECTION (LOCATION /BUILT SUGAR FACTORY) - DAY,doc_121_chunk_0,"He sniffs the air, then steps through a non-descript portal.",
126、INT. SUBWAY PLATFORM STATION - DAY,doc_125_chunk_1,"The Red Giant lands on a line of turnstiles, uprooting them all.",
126、INT. SUBWAY PLATFORM STATION - DAY,doc_125_chunk_1,Hellboy rolls away.,
142、INT. HELLBOY'S DEN - DUSK,doc_141_chunk_3,Hellboy sits back down,
118、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_117_chunk_0,Hellboy chews a Baby Ruth and pokes around.,
118、INT. ABANDONED SHOWER ROOM (SET) - DAY,doc_117_chunk_0,Finds a pile of children's shoes covering some yellowing albums.,
