doc_title,chunk_id,text,scene_context
37、EXT. CANYON. GULLEY.,doc_36_chunk_2,I didn't understand any of that.,"After a slide technique explanation, Megan expresses confusion."
31、INT. CAVE. DAY.,doc_30_chunk_0,We've got to go again. And film it!,"Pool scene: Megan and Kristi after crashing into the pool, Megan suggests filming again."
35、EXT. OUTSIDE THE CAVE.,doc_34_chunk_0,Phish?,Wilderness: Megan asks about Phish after Aron mentions his band.
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",doc_37_chunk_1,You'll never get out before dark.,Speaking to Aron about getting out before dark
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",doc_37_chunk_1,"You don't climb at night, do you?",Speaking to Aron about climbing at night
33、EXT. SNOWY MOUNTAINTOP. DAY. VIDEO FOOTAGE.,doc_32_chunk_0,"Wow, highest person in Colorado.","Snowy peak, speaking to Aron about being the highest person in Colorado."
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",doc_37_chunk_2,Where?,Megan asks for location after Kristi's question about time.
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",doc_37_chunk_3,cold beers!,Speaking with Kristi and Aron about beer.
30、INT. CAVE. DAY.,doc_29_chunk_0,Are you ok? ARON!,"In a cathedral, Megan asks Aron if he is okay."
28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.,doc_27_chunk_0,Megan.,Introduction at trailhead with Kristi and Aron
29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY,doc_28_chunk_1,You behave Aron Ralston or we'll tell your mother all about where you lure girls...,"In a dome, Megan threatens Aron about luring girls"
37、EXT. CANYON. GULLEY.,doc_36_chunk_0,An illegal instructor.,"Steep gulley: Megan at top, Aron halfway down, Kristi descending. Topic: Aron's unqualified instructor comment."
37、EXT. CANYON. GULLEY.,doc_36_chunk_0,"Oh whatever, you love it.","Steep gulley: Megan at top, Aron halfway down, Kristi about to put her ass on Aron's head. Topic: Kristi's warning and Megan's teasing."
34、EXT. STILL CAMERA. IMAGE OF `MOTEL 6',doc_33_chunk_0,Didn't you see it?,"Megan shows image to Aron, asking if he saw it."
34、EXT. STILL CAMERA. IMAGE OF `MOTEL 6',doc_33_chunk_0,"Yeah, it's an old cattle guardian's house - the roof's caved in and someone spray-painted MOTEL 6 on the side. Smelled weird though.",Megan describes the image of the house to Aron.
28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.,doc_27_chunk_2,We climb.,"At the Cathedral, Megan and KRISTI (with ARON) discuss the climb."
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",doc_37_chunk_0,"Kristi, I think this is our way back.","2PM-ish, at a fork in the paths, speaking with Kristi about the way back."
