doc_title,chunk_id,text,scene_context
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_1,Small towns.,Restaurant: Jack and Clara share contempt for small towns.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_7,Why do you say that?,In conversation with Father Benedetto about counterfeit money.
161、EXT. TOWN SQUARE- DAY,doc_160_chunk_5,What will you tell them?,"Amidst dead bodies, Jack confronts Father Benedetto with gun pointed as sirens approach."
135、INT. CAR- CONTINUOUS,doc_134_chunk_1,"You're not afraid of coming into the wild with me, are you?","In a car, Jack asks Clara if she is afraid of coming into the wild with him."
3、EXT. WOODS- MORNING,doc_2_chunk_0,Nothing.,"In the woods near a frozen lake, Jack responds to Ingrid's question about what he is looking for."
123、EXT.PAY PHONE- DAY,doc_122_chunk_1,Where?,Conversation with Larry about the drop location
123、EXT.PAY PHONE- DAY,doc_122_chunk_1,"I don't deliver, Larry. I never deliver. It's too dangerous. She comes to me. I know the town. That's what we agreed.",Discussion with Larry about delivery terms and agreement
123、EXT.PAY PHONE- DAY,doc_122_chunk_1,Breach? What breach?,Questioning Larry about a security breach
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_11,Expecting me to reciprocate?,Speaking with Father Benedetto about Hell and reciprocation.
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,When can I see you?,"Crowd with band, speaking with Clara."
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,"If I asked you would you come away
with me?","Crowd with band, speaking with Clara."
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,Why not?,"Crowd with band, speaking with Clara."
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,Together.,"Crowd with band, speaking with Clara."
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,"Wherever. Then when we're through,
we could come back here. For good.","Crowd with band, speaking with Clara."
"39、EXT. CASTELVECCHIO, CAFE- DAY",doc_38_chunk_6,You want a submachine gun to fit in a lady's purse?,In a conversation about gun concealment with Mathilde
"39、EXT. CASTELVECCHIO, CAFE- DAY",doc_38_chunk_6,A small briefcase would be possible.,In a conversation about gun concealment with Mathilde
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_2,It is. Very good.,Restaurant: Jack and Clara discuss the wine.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_6,Who says?,Father Benedetto questions Jack about his job and being on the run.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_6,Everyone's on the run from something.,Father Benedetto questions Jack about his job and being on the run.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_6,I've done nothing I didn't have good cause to do.,Father Benedetto questions Jack about his job and being on the run.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_6,For what reason?,Father Benedetto questions Jack about his job and being on the run.
116、EXT. PARCO DELLA RESISTENZA - JUST BEFORE DAWN,doc_115_chunk_6,I make things. Artifacts.,Father Benedetto questions Jack about his job and being on the run.
135、INT. CAR- CONTINUOUS,doc_134_chunk_12,"If we stay here for a year, they'll devour us.","Near water, Jack and Clara discuss danger of staying."
51、INT. FATHER BENEDETTO'S KITCHEN- EVENING,doc_50_chunk_6,I don't think God is interested in me. Father.,"Dinner with Father Benedetto, discussing Jack's faith"
136、EXT. LAKESIDE- DAY,doc_135_chunk_0,Is Clara yours?,Picnic: Jack asks if Clara is her real name.
136、EXT. LAKESIDE- DAY,doc_135_chunk_0,Edward is my real name.,Picnic: Jack states his real name.
135、INT. CAR- CONTINUOUS,doc_134_chunk_13,Maybe we should...,"Water setting (smooth stones), Jack and Clara discussing intimacy"
135、INT. CAR- CONTINUOUS,doc_134_chunk_13,I haven't.,"Water setting (smooth stones), Jack and Clara discussing intimacy"
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,How about our usual place?,"Jack and Clara on street, discussing usual place"
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,You've forgotten?,"Jack and Clara on street, Jack questions Clara's forgetfulness"
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,Maybe we should try something different.,"Jack and Clara on street, Jack proposes new place"
