doc_title,chunk_id,fact,scene_context
72、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,doc_71_chunk_0,Ed is assigned three detentions.,
35、EXT. MAGAZINE STAND - NIGHT,doc_34_chunk_0,Ed contributes a copy of MELONS Magazine to the pile of magazines gathered by The Boys.,
89、INT. UPSCALE RESTAURANT/DINING ROOM - NIGHT,doc_88_chunk_5,The target character apologizes for his behavior.,
39、INT. ED'S HOUSE/OFFICE - NIGHT,doc_38_chunk_0,Ed successfully teaches Mike how to create a Myspace page.,
8、INT. ED'S HOUSE/LIVING ROOM - MORNING,doc_7_chunk_3,Ed returns to the Acupuncturist after experiencing numbness in his legs.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_5,The target character decides to enroll the student elsewhere to pursue a relationship with Julie.,"Scene: At Julie's door, after she refuses to date him due to his status as a student's parent."
101、INT. ED'S HOUSE/LIVING ROOM - NIGHT,doc_100_chunk_0,Ed attempts to stop a girl from leaving the room.,"Scene: The crowded room during the party, after Julie ends the event."
101、INT. ED'S HOUSE/LIVING ROOM - NIGHT,doc_100_chunk_0,Ed receives information from a girl about Mark Freedman's whereabouts.,"Scene: The crowded room during the party, after Julie ends the event."
111、INT. BMW CONVERTIBLE - DAY,doc_110_chunk_0,Ed turns the radio off.,
111、INT. BMW CONVERTIBLE - DAY,doc_110_chunk_0,Ed references information from a website about learning a lesson and turning back.,
111、INT. BMW CONVERTIBLE - DAY,doc_110_chunk_0,Ed explicitly states that Mike needs to let others go and get on with his life.,
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,Ed successfully initiates a conversation with Julie.,
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,Ed expresses a desire to play D & D with Julie.,
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,Ed receives an affirmative and playful response from Julie regarding joining her in a D & D game.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,"The target character accesses a website related to spells, curses, and incantations.",
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,The target character clicks on a link while browsing a webpage about spells.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,The target character identifies a possible spell of enlightenment as the phenomenon being investigated.,
89、INT. UPSCALE RESTAURANT/DINING ROOM - NIGHT,doc_88_chunk_0,Ed is referred to as Mr. Freedman by the Hostess.,Scene at the restaurant: The Hostess addresses Ed by the surname Freedman when showing them to their table.
89、INT. UPSCALE RESTAURANT/DINING ROOM - NIGHT,doc_88_chunk_0,Ed gives a 50-dollar bill to the Hostess.,Scene at the restaurant: Ed hands the Hostess a 50 after being seated.
99、INT. FERRARI - NIGHT,doc_98_chunk_0,Ed acquires a copy of the th edition through connections with the Russian mafia.,"Scene: Ed and Julie drive through an upscale neighborhood, discussing the origin of the th edition."
99、INT. FERRARI - NIGHT,doc_98_chunk_0,Ed double parks the car in response to seeing a boy urinate in his flower bed.,Scene: Ed arrives at his house and reacts to property damage caused by a partygoer.
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,Ed acknowledges that Mark is his child born out of wedlock.,"Scene: Introduction at Julie's location, during a meeting."
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,Ed confirms that he is single.,"Scene: Introduction at Julie's location, during a meeting."
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,"Ed states that he is very rich, and this is presented as a factual claim within the narrative context.","Scene: Introduction at Julie's location, during a meeting."
56、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_55_chunk_0,"Ed explicitly praises Mike by saying 'Way to go, slugger!' upon entering the principal's office.","Outside the principal's office, after Mike's mother has been inside for a while."
56、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_55_chunk_0,Ed sits between Mike and Alex after entering the area outside the principal's office.,"Outside the principal's office, following his arrival."
56、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_55_chunk_0,Ed addresses Alex directly and asks how he is doing after sitting down.,"Outside the principal's office, immediately after sitting between Mike and Alex."
