doc_title,chunk_id,text,scene_context
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_13,You want it?,"Outdoor setting, speaking with Stephanie about a button."
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_3,No. .,Stephanie asks Mrs. Ganush to sign a document; Mrs. Ganush refuses.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_12,It's yours.,Speaking with Stephanie regarding a bank matter
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_12,"I am proud woman, Miss Brown, and never have I begged for anything. But I will beg for you now. This one time. I humble myself before you.",Speaking with Stephanie regarding a bank matter
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_2,You bitch! I pluck out your fucking eyes!,Car interior: Sylvia Ganush threatens to pluck out Stephanie's eyes.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_11,But where will I live?,Stephanie discusses loan documents and granddaughter as reference; Mrs. Ganush asks about living arrangements.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_11,I would not burden her.,Stephanie suggests living with granddaughter; Mrs. Ganush refuses to burden her.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_11,A nursing home? No. I will never live in one of those places,Stephanie suggests assisted living facilities; Mrs. Ganush rejects nursing home.
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_14,"Soon it will be you, who comes begging to me. It begins tonight when you hear the cry.","By a car, speaking to Stephanie about the Lamia and the cry."
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_14,The Lamia. It's coming for you.,"By a car, speaking to Stephanie about the Lamia and the cry."
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_10,What?,"Office: Stephanie denies loan extension, Mrs. Ganush pleads."
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_10,"No. Please, it's my home... I'm begging you.","Office: Stephanie denies loan extension, Mrs. Ganush pleads."
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_5,Please. Won't you try?,"Stephanie's desk, speaking to Stephanie"
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_0,I knew you'd come.,"Dark room, speaking to Stephanie about her arrival."
62、INT. GREAT ROOM - NIGHT,doc_61_chunk_19,"Make her stop, you dirty pork queen!","Floating above Stephanie, Mrs. Ganush speaks to Milos, demanding he stop Stephanie."
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_14,"I, Sylvia Ganush, beg. On my mother's grave, I beg you.","Public setting, speaking with Stephanie, begging about mother's grave"
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_14,You shame me.,"After Stephanie calls security, Sylvia expresses shame"
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_4,It was what I wanted before you shamed me. Now I want to see you suffer.,Confrontation with Stephanie; Mrs. Ganush demands Stephanie's suffering.
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_4,Not yet!,Confrontation with Stephanie; Mrs. Ganush demands Stephanie's suffering.
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_4,You know why.,Confrontation with Stephanie; Mrs. Ganush demands Stephanie's suffering.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_2,Will you help me?,Mrs. Ganush asks Stephanie for help and hands her papers.
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_15,I begged you...,Confronting Stephanie about charm bracelet
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_15,and you shame me.,Confronting Stephanie about charm bracelet
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_12,You shamed me.,"Pavement outside car, Mrs. Ganush confronts Stephanie after dragging her from the car."
13、EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY,doc_12_chunk_12,Lamia,"Pavement outside car, Mrs. Ganush waves a brass button and says 'Lamia'."
33、INT. MRS. GANUSH'S LIVING ROOM - DAY,doc_32_chunk_1,It's so empty now.,"In a room, speaking with Stephanie about the emptiness of her house."
11、INT. BANK OF CALIFORNIA - LATER,doc_10_chunk_3,"The trucks are there now. The men are packing all my things. Private things. Please, make them stop. This is my home for twenty years. And I make every payment until the sickness took my eye.",Stephanie delivers repossession notice for Brandon Street property; Mrs. Ganush pleads to stop the repossession.
27、INT. RAY'S BEDROOM - MORNING,doc_26_chunk_1,You shamed me,Dream sequence: Sylvia Ganush speaks to Ray about being shamed.
