doc_title,chunk_id,fact,scene_context
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_0,Bobby bowls a perfect strike.,"At the bowling alley, during a game with Elton, Rayette, and Stoney."
13、INT. SIGNAL HILL DOGHOUSE - DAY,doc_12_chunk_0,Bobby wins a poker game during a lunch break.,An impromptu card game among coworkers during a lunch break.
108、EXT. SIGNAL HILL OIL FIELD - DAY,doc_107_chunk_0,Bobby Dupea operates the levers of a back hoe while wearing a hard-hat and heavy gloves.,Opening scene: Bobby is working at a construction site operating heavy machinery.
117、INT. SIGNAL HILL DOGHOUSE - DAY,doc_116_chunk_0,Bobby wins a poker game during a lunch break.,Lunch break: Bobby lays down a winning poker hand and collects money from the table.
140、EXT. SIGNAL HILL RIG - DAY,doc_139_chunk_8,Bobby intervenes in a physical confrontation by grabbing the first man and wrestling him away from Elton.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_4,"Bobby successfully instructs Rayette to adjust her bowling technique, resulting in a strike.","Bowling alley: After repeated attempts, Rayette follows Bobby's instruction and knocks down all pins."
106、INT. RECITAL HALL GREEN ROOM - NIGHT,doc_105_chunk_0,Bobby Dupea performs 'Five Easy Pieces' by Grebner at a family recital.,"Scene: A family recital is announced in a program; Bobby, at age 10, is listed as the performer of 'Five Easy Pieces'."
140、EXT. SIGNAL HILL RIG - DAY,doc_139_chunk_5,Bobby Dupea explicitly states his intention to quit to the driller named Longcipher.,"Scene near the car outside the Field Office, where Bobby calls out to the driller."
1、INT. MUSIC ROOM - DUPEA HOME - DAY,doc_0_chunk_0,"Bobby is present during a musical performance involving his father, two brothers, and sister.",Opening scene: Bobby sits in a chair while his family performs a chamber piece.
1、INT. MUSIC ROOM - DUPEA HOME - DAY,doc_0_chunk_0,Bobby is receiving piano instruction from his mother.,Opening scene: Bobby sits beside his mother on a piano bench as she demonstrates an etude.
105、INT. MUSIC ROOM - DUPEA HOME - DAY,doc_104_chunk_0,Bobby is present during a family chamber music performance.,"Scene opening with Bach-Vivaldi music; Bobby sits in a chair while his father, brothers, and sister play."
105、INT. MUSIC ROOM - DUPEA HOME - DAY,doc_104_chunk_0,Bobby is receiving piano instruction from his mother.,Close on metronome followed by camera movement to Bobby on piano bench with his mother demonstrating an etude.
180、EXT. DUPEA GROUNDS - DAY,doc_179_chunk_5,Bobby wins three games of paddleball against Carl.,"At the paddleball court, during a match between Bobby and Carl."
165、EXT. MOTEL ROOM - DAY,doc_164_chunk_0,Bobby decides to visit his family to assess the situation before bringing Rayette.,
165、EXT. MOTEL ROOM - DAY,doc_164_chunk_0,Bobby provides Rayette with a roll of bills.,
144、INT. RECORDING STUDIO - DAY,doc_143_chunk_7,Bobby decides not to accompany Tita when she returns up north that night.,
144、INT. RECORDING STUDIO - DAY,doc_143_chunk_7,Bobby commits to driving up north by himself and considers going into Canada afterward.,
144、INT. RECORDING STUDIO - DAY,doc_143_chunk_7,"Bobby establishes a time limit on his trip, stating he cannot stay for more than a week at most.",
34、EXT. REAR OF DINER - LATE NIGHT,doc_33_chunk_0,Bobby physically prevents Rayette from opening her car door by pushing it shut.,"Outside the diner, after Rayette exits and attempts to leave."
36、EXT. SIGNAL HILL RIG - DAY,doc_35_chunk_8,Bobby intervenes in a physical confrontation by grabbing the first man and wrestling him away from Elton.,
12、EXT. SIGNAL HILL DERRICK - DAY,doc_11_chunk_0,Bobby is part of a four-man team working on a drilling rig.,Kaleidoscopic series of scenes showing Bobby and Elton working the rig.
12、EXT. SIGNAL HILL DERRICK - DAY,doc_11_chunk_0,Bobby has been working in the oil fields for some months.,Kaleidoscopic series of scenes showing Bobby working the rig.
12、EXT. SIGNAL HILL DERRICK - DAY,doc_11_chunk_0,Bobby is still somewhat of a novice in the operations of the rig.,Kaleidoscopic series of scenes showing Bobby working the rig.
2、INT. RECITAL HALL GREEN ROOM - NIGHT,doc_1_chunk_0,Bobby Dupea performs 'Five Easy Pieces' by Grebner at a family recital.,Scene: Family recital announced by a program; Bobby is listed as the performer of 'Five Easy Pieces'.
61、EXT. MOTEL ROOM - DAY,doc_60_chunk_0,Bobby provides a roll of bills to Rayette.,
4、EXT. SIGNAL HILL OIL FIELD - DAY,doc_3_chunk_0,Bobby Dupea operates the levers of a back hoe while wearing a hard-hat and heavy gloves.,
116、EXT. SIGNAL HILL DERRICK - DAY,doc_115_chunk_0,Bobby is part of a four-man team working on a drilling rig.,Kaleidoscopic series of scenes showing Bobby and Elton working the rig.
116、EXT. SIGNAL HILL DERRICK - DAY,doc_115_chunk_0,Bobby has been working on the oil fields for some months.,Kaleidoscopic series of scenes showing Bobby and Elton working the rig.
116、EXT. SIGNAL HILL DERRICK - DAY,doc_115_chunk_0,Bobby is still somewhat of a novice in the operations of the rig.,Kaleidoscopic series of scenes showing Bobby and Elton working the rig.
36、EXT. SIGNAL HILL RIG - DAY,doc_35_chunk_5,Bobby Dupea explicitly announces his decision to quit to the driller named Longcipher.,Scene near the car outside the Field Office: Bobby calls out to the driller and states he is quitting.
76、EXT. DUPEA GROUNDS - DAY,doc_75_chunk_5,Bobby wins three games of paddleball against Carl.,"At the paddleball court, during a match between Bobby and Carl."
3、INT. MORTUARY CHAPEL - DAY,doc_2_chunk_0,Bobby Dupea attends his mother's funeral.,Chapel scene: Bobby is present in the family pew during the funeral service for Isabelle Dupea.
3、INT. MORTUARY CHAPEL - DAY,doc_2_chunk_0,Bobby Dupea refuses to look at his mother's face in the open casket.,"Chapel scene: As the procession passes the open casket, Bobby keeps his gaze cast down to his lap."
146、INT. RAYETTE'S LIVING ROOM - DAY,doc_145_chunk_2,Bobby explicitly states his intention to go home because his father is sick.,Scene in bedroom: Bobby announces he must leave due to his father's illness.
146、INT. RAYETTE'S LIVING ROOM - DAY,doc_145_chunk_2,Bobby commits to being away for two or three weeks.,Scene in bedroom: Bobby tells Rayette he will be gone for two or three weeks.
146、INT. RAYETTE'S LIVING ROOM - DAY,doc_145_chunk_2,Bobby prepares to leave by packing his suitcase with personal belongings.,Scene in bedroom: Bobby extracts underwear and packs suitcase.
146、INT. RAYETTE'S LIVING ROOM - DAY,doc_145_chunk_2,Bobby declares his intention to call Rayette from his destination.,Scene in bedroom: Bobby says he will try to call Rayette once he arrives.
10、INT. BOWLING ALLEY - NIGHT,doc_9_chunk_0,Bobby bowls a perfect strike.,"At the bowling alley, during a game with Elton, Rayette, and Stoney."
40、INT. RECORDING STUDIO - DAY,doc_39_chunk_7,Bobby decides not to accompany Tita when she returns up north that night.,
40、INT. RECORDING STUDIO - DAY,doc_39_chunk_7,Bobby commits to driving up north himself and considers going into Canada afterward.,
40、INT. RECORDING STUDIO - DAY,doc_39_chunk_7,"Bobby establishes a time limit on his upcoming trip, stating he cannot stay longer than a week at most.",
10、INT. BOWLING ALLEY - NIGHT,doc_9_chunk_4,"Bobby successfully instructs Rayette to adjust her bowling technique, resulting in a strike.","Bowling alley: After repeated attempts, Rayette follows Bobby's instruction and knocks down all pins."
42、INT. RAYETTE'S LIVING ROOM - DAY,doc_41_chunk_2,Bobby Dupea decides to leave for his home due to his father's illness.,
42、INT. RAYETTE'S LIVING ROOM - DAY,doc_41_chunk_2,Bobby Dupea informs Rayette that he will be away for two or three weeks.,
42、INT. RAYETTE'S LIVING ROOM - DAY,doc_41_chunk_2,Bobby Dupea prepares to travel by packing his belongings into a suitcase.,
42、INT. RAYETTE'S LIVING ROOM - DAY,doc_41_chunk_2,Bobby Dupea commits to calling Rayette from his destination.,
95、EXT. DUPEA HOUSE - DAY,doc_94_chunk_0,Bobby decides to leave the location after staying for more than a week.,"Scene: Outside the house, as Bobby is departing with his suitcase."
95、EXT. DUPEA HOUSE - DAY,doc_94_chunk_0,Bobby acknowledges that he has overstayed his intended visit by more than a week.,"Scene: Outside the house, during conversation with Tita."
