doc_title,chunk_id,fact,scene_context
51、INT. JEN'S ROOM - NIGHT,doc_50_chunk_2,Jen disables the Governess by pressing a pressure point.,Fight scene in a room
30、INT. BO'S ROOM - DAY,doc_29_chunk_0,Jen orders the maid to show Miss Shu Lien in.,"Jen's room, maid announces Miss Shu Lien"
55、INT./EXT. CARRIAGE/MONGOLIAN DESERT - DAY,doc_54_chunk_0,The comb is Jen's most prized possession.,"Desert setting, Jen admires the comb."
15、INT. JEN'S ROOM - NIGHT,doc_14_chunk_0,Jen refuses to change into the silk pajamas.,Governess offers silk pajamas; Jen refuses.
107、EXT. WU TAN MOUNTAIN - DAY,doc_106_chunk_0,Jen disappears into the clouds.,On a bridge
44、EXT. SIR TE'S GARDEN - DAY,doc_43_chunk_3,Jen catches the tea pot before it falls.,"During tea pouring, Yu's pot slips and Jen catches it."
81、INT. TEA STALL - DAY,doc_80_chunk_2,Jen chops the weapons of two gangsters into scraps.,
64、INT. CAVE - NIGHT,doc_63_chunk_1,The violent confrontation transitions to an unleashed passion.,
72、INT. JEN'S ROOM - NIGHT,doc_71_chunk_1,Jen possesses the comb.,"Jen's room, after the maid exits."
83、INT. STAR RESTAURANT - DAY,doc_82_chunk_2,Jen disposes of Mi.,Jen sitting at a table sipping tea when Mi attacks.
84、INT. STAR RESTAURANT - DAY,doc_83_chunk_0,Jen battled with the bandaged men.,Yu and Li surrounded by bandaged men who battled with Jen
106、INT. WU TAN TEMPLE - DAY,doc_105_chunk_0,Jen is absent from the bedroom.,"bedroom, Lo wakes up"
103、INT. ABANDONED FACTORY - DAY,doc_102_chunk_0,Jen is not killed by Yu.,"After Li's death, Yu raises sword but does not kill Jen."
89、INT. YUAN COURTYARD - DAY,doc_88_chunk_1,Jen possesses the Green Destiny.,Battle scene: Jen holds the Green Destiny in her hands.
89、INT. YUAN COURTYARD - DAY,doc_88_chunk_2,Jen is not injured by Yu's attack.,
97、EXT. ABANDONED FACTORY - DAY,doc_96_chunk_0,Jen's thirst is quenched,Jen drinks raindrops in the rain
98、INT. ABANDONED FACTORY - DAY,doc_97_chunk_3,Jen promises to help the person who has previously assisted her.,
93、INT. ABANDONED FACTORY - DAY,doc_92_chunk_1,Jen is clutching the Green Destiny.,Fox leaves Jen clutching the Green Destiny.
98、INT. ABANDONED FACTORY - DAY,doc_97_chunk_0,Jen regains consciousness.,Jen regains consciousness after being drugged.
10、INT. TE'S STUDY - DAY,doc_9_chunk_0,Jen is inside Sir Te's study.,Study: De Lu opens door and finds Jen
