doc_title,chunk_id,fact,scene_context
外景，胡同，夜,doc_13_chunk_0,车夫推着爷爷进入了一条狭窄的胡同。,
外景，废屋外走廊，日,doc_48_chunk_0,车夫被诗人打伤。,房门外，三个人刚走出房间时。
外景，街道，夜,doc_16_chunk_0,车夫正在蹬三轮车。,夜色下拥挤的车流中，车夫穿着白汗衫努力蹬着三轮车。
内景，迪厅，夜,doc_20_chunk_0,车夫协助男青年将醉酒的男子从舞池中扶出。,迪厅内，舞池中间，男子醉酒后被架出。
内景，理发店，夜,doc_14_chunk_0,车夫将三轮车停放在理发店与自家之间的过道里。,车夫推车进入理发店，过道位于理发店内的另一扇门与车夫家门之间。
外景，街道，日,doc_3_chunk_0,车夫的三轮车因装载大量沉重货物导致后座离开地面。,
外景，街道，日,doc_3_chunk_0,车夫在两个运货年轻人的帮助下才得以骑上三轮车。,
内景，诗人住处，拂晓,doc_51_chunk_0,车夫在对面楼的二楼阳台上收昨晚晾出的汗衫。,街道上发生卡车拉军用直升机翻车事故时，车夫正在对面楼的二楼阳台。
内景，废屋，日,doc_39_chunk_0,车夫将头埋进鱼缸中清洗脸部。,室内，车夫站在鱼缸前，脸上沾有黑乎乎的物质。
内景，废屋，日,doc_39_chunk_0,车夫脸部的黑乎乎物质在鱼缸水中被清除。,室内，车夫从鱼缸中抬起脸，脸部已变干净。
内景，屠宰车间，夜,doc_60_chunk_0,车夫出现在屠宰车间的屠宰台前，观察屠夫处理猪肉。,屠宰车间内，屠夫在处理猪肉并藏匿海洛因。
外景，街道，日,doc_24_chunk_0,车夫将姐姐送到学校附近的路边，姐姐下车后与同学一同前往学校。,早晨的街道，车夫用三轮车搭载姐姐到学校附近。
外景，街道，日,doc_24_chunk_0,车夫在十字路口向右拐，随后被四名青年男子驾驶的摩托车和机动三轮车跟踪。,车夫骑三轮车在十字路口转弯后被跟踪。
外景，废屋楼顶，晨,doc_52_chunk_0,车夫从阳台的楼梯到达了楼顶。,
外景，废屋楼顶，晨,doc_52_chunk_0,车夫观察到了一架翻倒的直升机。,
外景，废屋楼顶，晨,doc_52_chunk_0,车夫坐在床边并躺下休息。,
内景，废屋，日,doc_43_chunk_0,车夫成功实施了烧店行动，且未被警察抓获。,车夫的屋里，白衬衣和黑衬衣正和车夫聊着烧店的事。
内景，废屋，日,doc_43_chunk_0,车夫向黑衬衣和白衬衣透露了自己熟悉所有小路的信息。,车夫的屋里，白衬衣和黑衬衣正和车夫聊着烧店的事。
内景，废屋，日,doc_63_chunk_0,车夫从家具下取出一沓旧钱并用纸包好塞进裤腰里。,清晨，车夫在屋内从家具下取出藏匿的钱并藏好。
内景，车夫家，夜,doc_22_chunk_0,车夫回到了家中。,家中，夜晚，灯已灭。
内景，车夫家，夜,doc_22_chunk_0,车夫脱下了鞋。,家中黑暗处，准备上阁楼前。
内景，车夫家，夜,doc_22_chunk_0,车夫通过梯子爬上了阁楼。,家中，从地面通往阁楼。
内景，车夫家，夜,doc_22_chunk_0,车夫在阁楼上躺下。,阁楼上，月光洒入的屋内。
外景，迪厅外，夜,doc_21_chunk_0,车夫协助男青年将一名醉倒的男子从舞厅架出并扶上三轮车。,舞厅外，男子醉倒后被送出。
外景，迪厅外，夜,doc_21_chunk_0,车夫接受了男青年递来的一张钱作为运送报酬。,舞厅外，男子被扶上车后。
外景，迪厅外，夜,doc_21_chunk_0,车夫骑三轮车将醉倒的男子运离现场。,舞厅外，运送任务开始。
外景，街道，白天,doc_0_chunk_0,车夫正在胡志明市街道上骑三轮车寻找客户。,胡志明市街道，车夫在人群中穿梭寻找乘客。
外景，街道，白天,doc_0_chunk_0,车夫的父亲曾以蹬三轮车为生，并将此视为没有前途的生活。,车夫父亲的画外音叙述家庭背景与生活困境。
外景，街道，白天,doc_0_chunk_0,车夫已处于持续蹬车导致身体出汗的状态。,车夫在炎热天气中骑行，汗流浃背。
内景，老板娘家客厅内外，黄昏,doc_11_chunk_0,"车夫向老板娘报告当天赚了26,000盾。",场景：租车行老板娘家的客厅，车夫汇报当日收入。
内景，老板娘家客厅内外，黄昏,doc_11_chunk_0,"车夫从当日收入中交给老板娘5,000盾。",场景：租车行老板娘家的客厅，车夫分配当日收入。
内景，老板娘家客厅内外，黄昏,doc_11_chunk_0,车夫告知老板娘有流氓抢了他的客人。,场景：租车行老板娘家的客厅，车夫汇报发生事件。
内景，废屋，日,doc_33_chunk_1,车夫明确表示不敢接受黑衬衣提出的要求。,室内，黑衬衣向车夫施压要求其执行任务时。
内景，废屋，日,doc_33_chunk_1,车夫将饭碗、水果和钱放在放鱼缸的小桌前。,诗人离开房间后，车夫在屋内行动的场景。
内景，废屋，日,doc_33_chunk_1,车夫弯身走到阳台并观察楼下离开的诗人及其手下。,诗人和手下离开房间下楼后，车夫在阳台观察的场景。
