doc_title,chunk_id,text,scene_context
12、饭馆，夜，外,doc_11_chunk_0,吃个饭哪那么多废话！,饭桌场景，艾迪生对马东的指责表示不满。
25、武馆门口，夜，外,doc_25_chunk_0,我不。,门口：马小劝艾迪生放弃打吴良
15、女浴室门口，日，外,doc_14_chunk_0,我朋友说，看见我在这里洗澡。,门口，艾迪生对马小说朋友看见他洗澡。
24、画面组合,doc_24_chunk_0,打。,武馆里，艾迪生与马小对话。
18、澳门拳击比赛场，夜，外,doc_17_chunk_1,我记住了。,天台上，马小教艾迪生打拳。
18、澳门拳击比赛场，夜，外,doc_17_chunk_3,让我出去。,擂台围栏边，艾迪生请求出去。
16、马小家，日，内,doc_15_chunk_2,干你,柜子里，与副主任对话
26、火锅店，夜，内,doc_26_chunk_1,吴良，你别欺人太甚，逼急了我曝光你们，大不了就是个鱼死网破。,艾迪生与吴良对峙
26、火锅店，夜，内,doc_26_chunk_0,东哥你没事吧！,火锅店内，艾迪生对马东表示关心。
13、马小家，夜，内,doc_12_chunk_0,我去你姥姥的。,浴室，打碎镜子后
13、马小家，夜，内,doc_12_chunk_0,我讨厌死你这个身体了。,浴室，与马小通话
23、饭馆，夜，外,doc_22_chunk_0,我终于明白老天为什么要给我这副身体了，就是为了让我捶死吴良这个渣男。,在餐厅，与马小、马东讨论债务和吴良
23、饭馆，夜，外,doc_22_chunk_0,就拿我这个砂锅一般大的拳头。,在餐厅，回应马小关于捶打吴良的质疑
12、饭馆，夜，外,doc_11_chunk_2,你怎么什么都知道啊？,马东介绍马小名字后，艾迪生质疑马小。
12、饭馆，夜，外,doc_11_chunk_2,我不是他闺女。,马小质疑艾迪生身份后，艾迪生否认。
12、饭馆，夜，外,doc_11_chunk_2,被水泡坏了。,马东询问录音笔后，艾迪生回答。
12、饭馆，夜，外,doc_11_chunk_2,但是你们俩也别高兴的太早，我迟早要曝光你们。,马东和马小笑后，艾迪生警告。
17、街道，夜，外,doc_16_chunk_0,不行。,救护车里，与马小对话，拒绝帮忙打比赛。
17、街道，夜，外,doc_16_chunk_0,还威胁我，你看他现在还有这个能力吗？,救护车里，与马小对话，回应威胁。
28、卷莲门，日，外,doc_28_chunk_0,那我就跟您学。,卷莲门：艾迪生与张茱萸对话，主题为学习。
18、澳门拳击比赛场，夜，外,doc_17_chunk_4,我不打了，我不打了，不打了，不打了。,第一个回合：艾迪生被魏翔攻击后表示不打。
18、澳门拳击比赛场，夜，外,doc_17_chunk_4,你要干什么？,比赛结束后，记者拍照时，马小指责后艾迪生回应。
12、饭馆，夜，外,doc_11_chunk_4,我跟你说了多少遍了，让我替你打假拳，你做梦去吧！,与马小的对话，主题：打假拳请求
12、饭馆，夜，外,doc_11_chunk_4,我现在不想听你说这些，我现在只想回去好好洗个澡，睡一觉。,与马小的对话，主题：洗澡请求
12、饭馆，夜，外,doc_11_chunk_4,你不能洗。,与马小的对话，主题：阻止洗澡
12、饭馆，夜，外,doc_11_chunk_4,你洗了不就什么都看见了吗？,与马小的对话，主题：洗澡后果
12、饭馆，夜，外,doc_11_chunk_4,你还眯着眼睛。,与马小的对话，主题：洗澡细节
12、饭馆，夜，外,doc_11_chunk_4,你发誓。,与马小的对话，主题：要求发誓
12、饭馆，夜，外,doc_11_chunk_4,你摸哪儿呢？,与马小的对话，主题：马小行为反应
26、火锅店，夜，内,doc_26_chunk_3,我要打赢吴良。,在对话中，艾迪生与马小讨论打赢吴良。
26、火锅店，夜，内,doc_26_chunk_3,告诉我该怎么做？,艾迪生与马东对话，主题为如何打赢吴良。
22、吴良家，夜，内,doc_21_chunk_0,阿良，你绑我干什么？,屋内，艾迪生与吴良对话，讨论被绑原因及打假拳计划。
22、吴良家，夜，内,doc_21_chunk_0,小毛……,屋内，艾迪生与吴良对话，讨论被绑原因及打假拳计划。
22、吴良家，夜，内,doc_21_chunk_0,你什么意思？打假拳的事，你也参与了？,屋内，艾迪生与吴良对话，讨论打假拳计划。
24、武馆，夜，内,doc_23_chunk_0,放音乐。,武馆，比赛开始前
24、武馆，夜，内,doc_23_chunk_0,千万别相信男人。,武馆，对女观众
24、武馆，夜，内,doc_23_chunk_0,打死你。,武馆，对对手小声
1、拳台，日，内,doc_0_chunk_1,你再给我加一万。,打假拳场合，与男子对话，主题：坐地起价
1、拳台，日，内,doc_0_chunk_1,那小泰迪多猛啊，（伸出胳膊让他看）你看看他给我挠的。,打假拳场合，与男子对话，主题：坐地起价
1、拳台，日，内,doc_0_chunk_1,我给你五秒钟的时间考虑。,打假拳场合，与男子对话，主题：坐地起价
1、拳台，日，内,doc_0_chunk_3,东哥。,台下，与东哥电话中，讨论称重仪式。
1、拳台，日，内,doc_0_chunk_3,接了个小活儿。,台下，与东哥电话中，讨论称重仪式。
1、拳台，日，内,doc_0_chunk_3,不是明天吗？,台下，与东哥电话中，讨论称重仪式。
12、饭馆，夜，外,doc_11_chunk_1,我来说，我跟你说，你说不明白。,与马小、马东讨论身体互换事件
12、饭馆，夜，外,doc_11_chunk_1,你就是说不明白。,与马小、马东讨论身体互换事件
12、饭馆，夜，外,doc_11_chunk_1,我俩被雷劈之后换了身体，其实她是艾迪生，我是马小。,与马小、马东讨论身体互换事件
22、吴良家，夜，内,doc_21_chunk_1,你谁啊？,美女从楼上下来坐到吴良面前，艾迪生质问身份。
22、吴良家，夜，内,doc_21_chunk_1,解释吧，这女的怎么回事？,艾迪生推开吴良坐在沙发上，要求解释美女身份。
22、吴良家，夜，内,doc_21_chunk_1,你有马小还不够吗？,艾迪生质疑吴良对马小的不满。
