id,scene,question,answer,evidence,qa_type
1,59、INT. PRINCIPAL MERKIN'S HONDA CIVIC - MOVING - DAY,What is the content of the radio spot's message?,Ad for 'The Girls of Xenia' pictorial mentioning cows' udders,RADIO SPOT (V.O.) (CONT'D) Come on down for 'The Girls of Xenia' pictorial. Let's show the nation our cows aren't the only ones with great udders.,detailed description
2,5、INT. TED'S OFFICE - NEWSROOM - DAY,"In [5、INT. TED'S OFFICE - NEWSROOM - DAY], What is Ted's state when the tornado drill alarm sounds?",Snapped out of a reverie.,The shrill ringing of a TORNADO DRILL ALARM snaps Ted out of his reverie.,character states
3,17、INT. LAX - TERMINAL - DAY,"In [17、INT. LAX - TERMINAL - DAY], What is Ted's emotional state when the chauffeur mentions his father?",Stunned.,Ted's stunned.,character states
4,10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY,What does Julie say to William Randolph about the woman's shoes?,She's got stiletto heels hidden in those Keds.,"I tried to warn you, William Randolph. She's got stiletto heels hidden in those Keds.",dialogue/beliefs
5,13、INT. NELSON LIVING ROOM - NIGHT,"In [13、INT. NELSON LIVING ROOM - NIGHT], What is Ted's emotional state during the will reading discussion?",Bewildered and moping,"Ted sits on the couch, bewildered. TED (quietly; moping)",character states
6,8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY,"In [8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY], Why do the teachers freeze when Principal Merkin enters?","He bursts in and spills 'EXPOSED!' flyers, causing shock.","PRINCIPAL MERKIN bursts in, spilling a stack of 'EXPOSED!' onto a table. Everyone freezes.",causal/relational queries
7,1、EXT. ABOVE THE CLOUDS - DAY,What does Ted say about life changing?,Your life CAN change in the blink of an eye.,TED (V.O.) ...Your life CAN change in the blink of an eye.,dialogue/beliefs
8,9、INT. TED'S OFFICE - NEWSROOM - DAY,How does Ted physically position himself in front of Christy?,gets down on one knee in front of Christy,He gets down on one knee in front of Christy.,detailed description
9,9、INT. TED'S OFFICE - NEWSROOM - DAY,What action does Julie perform while sitting in the chair?,"leans back on the chair, rests her feet on Ted's files, and blows a huge bubble","Julie leans back on the chair, rests her feet on Ted's files, and blows a huge bubble.",detailed description
10,"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT","In [31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT], What is Charlie's behavioral state in the scene?",Confident and dismissive,"Charlie tells Ted, 'Don't be such a pansy.'",character states
11,"24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY","In [24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY], What is Uncle Billy's emotional state when he winks at Ted?",Conspiratorial.,Uncle Billy winks at Ted. ... share a conspiratorial smirk.,character states
12,"33、INT. ""HEAVEN"" MANSION - GARAGE - THE NEXT MORNING",When does Ted realize the keys are in the ignition?,After Ginger points out they are in the ignition,Ted glances down. There they are.,temporal references
13,"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT","In [31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT], What is Ted's emotional state when he responds to Charlie?",Overwhelmed and uncertain,"Ted says, 'It's a lot to digest.'",character states
14,1、EXT. ABOVE THE CLOUDS - DAY,What belief does Ted express about dreams?,"It could happen to any guy, any time...even ME.","TED (V.O.) ...It could happen to any guy, any time...even ME.",dialogue/beliefs
15,18、INT. STRETCH LIMO - DAY,"In [18、INT. STRETCH LIMO - DAY], What is Ted's emotional state when Charlie opens the bar?",Extremely uptight,You are extremely uptight.,character states
16,"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY","In [27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY], What is Ted's behavioral state when responding to Uncle Billy's suggestion?",Nervous and flustered,Ted's voice cracking. I...uh...I think she's doing fine on her own.,character states
17,"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY","In [27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY], What is Ted's emotional state when Uncle Billy mentions his father?",Confused and surprised,His father. The words sound so strange. He never even met the guy.,character states
18,"23、INT. ""HEAVEN"" MANSION - CONFERENCE ROOM - DAY","In [23、INT. ""HEAVEN"" MANSION - CONFERENCE ROOM - DAY], What is Ted's emotional state when he learns he owns the 'Heaven' empire?",Stunned and speechless,"Ted's stunned, speechless.",character states
19,"33、INT. ""HEAVEN"" MANSION - GARAGE - THE NEXT MORNING",When does the Ferrari start?,After Ginger tells Ted to turn the key,The Ferrari growls to life. Ginger places her hand over Ted's.,temporal references
20,11、INT. THE NELSON KITCHEN - EVENING,Why does meatloaf symbolize Ted's dissatisfaction with his life?,Because it represents all that Ted hates about his mediocre life and the world.,Meatloaf has come to represent all that Ted hates about his mediocre life and the world we live in.,causal/relational queries
