doc_title,chunk_id,text,scene_context
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_1,How could they be trained?,
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_1,What will that do to him?,
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_4,How long would we be stuck there?,
138、INT. WORKSHOP - DAY,doc_137_chunk_0,What about your children?,
108、INT. LIVING ROOM - CONTINUOUS,doc_107_chunk_2,"I wanted to know what ""tests"" you need to do on your own every night.",
113、INT. ELEGANT HOTEL SUITE - CONTINUOUS (NOW NIGHT),doc_112_chunk_4,What is this place?,
113、INT. ELEGANT HOTEL SUITE - CONTINUOUS (NOW NIGHT),doc_112_chunk_4,What happened here?,
126、INT./EXT. CAB ON RAINY NEW YORK STREETS - CONTINUOUS,doc_125_chunk_3,This wasn't in the design-,"Inside the sedan, Ariadne speaks while watching the train passing, reacting to unexpected events."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_3,The truth that at any minute you might bring a freight train through the wall. The truth that Mal is bursting up through your subconscious.,
176、INT. ROOM 528 - CONTINUOUS,doc_175_chunk_6,,
"145、INT. OFFICE, WAREHOUSE - DAY",doc_144_chunk_2,I'm doing it for the others. They don't know the risk they've taken coming in here with you.,
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_6,But not for her?,"Scene: In a dream world, Ariadne speaks with Cobb about Mal's acceptance of the dream reality."
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_0,I didn't.,"Scene: After a chase involving a freight train, Arthur questions Ariadne about the presence of a train crossing in a downtown intersection; Ariadne responds defensively."
"136、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_135_chunk_0,And when you finally woke up?,
"136、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_135_chunk_0,What was it?,
150、INT. HOTEL LOBBY - CONTINUOUS,doc_149_chunk_0,"Who or what, exactly, is Mr. Charles?","Scene: In a lobby, Ariadne speaks with Arthur while observing Cobb and Fischer."
162、INT. HOTEL LOBBY - CONTINUOUS,doc_161_chunk_0,What's happening?,Scene where Ariadne and Arthur observe the weather and hotel guests; she speaks to Arthur about the strange events in the dream.
"145、INT. OFFICE, WAREHOUSE - DAY",doc_144_chunk_0,Psychiatrists judged her sane?,
"145、INT. OFFICE, WAREHOUSE - DAY",doc_144_chunk_0,Then why should you blame yourself?,
148、INT./EXT. VAN ON RAINY STREETS - CONTINUOUS,doc_147_chunk_0,So you destroy his one positive relationship?,Scene involving a conversation in a van during rain; Ariadne speaks with Cobb and Eames about Fischer's relationships.
152、INT. HOTEL LOBBY - CONTINUOUS,doc_151_chunk_0,And why don't you approve?,
152、INT. HOTEL LOBBY - CONTINUOUS,doc_151_chunk_0,Didn't Cobb say never to do that?,
115、INT. WORKSHOP - NIGHT,doc_114_chunk_0,You think you can just build a prison of memories to lock her in? You think that's going to contain her?,"Scene: Ariadne confronts Cobb while he is waking up, questioning his method of containing Mal in his memories."
113、INT. ELEGANT HOTEL SUITE - CONTINUOUS (NOW NIGHT),doc_112_chunk_1,My name is-,
113、INT. ELEGANT HOTEL SUITE - CONTINUOUS (NOW NIGHT),doc_112_chunk_1,I don't know. Trying to understand.,
113、INT. ELEGANT HOTEL SUITE - CONTINUOUS (NOW NIGHT),doc_112_chunk_1,No.,
"145、INT. OFFICE, WAREHOUSE - DAY",doc_144_chunk_1,"Your guilt defines her. Powers her. If we're going to succeed in this, you're going to have to forgive yourself, and you're going to have to confront her. But you don't have to do it alone.",
"111、INT. KITCHEN, COBB AND MAL'S HOUSE - MOMENTS LATER",doc_110_chunk_0,This is your house?,"Scene: In a kitchen, Ariadne speaks with Cobb about the house they are in."
"111、INT. KITCHEN, COBB AND MAL'S HOUSE - MOMENTS LATER",doc_110_chunk_0,Where is she?,"Scene: In a kitchen, Ariadne asks Cobb about Mal's whereabouts."
177、EXT. SNOW-COVERED MOUNTAINS - DAY,doc_176_chunk_1,I designed the place.,"Scene: At a snowy location, Ariadne speaks to Cobb and others as they plan their next move in the dream."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_5,How long were you stuck?,"Scene: On a shore, Ariadne speaks with Cobb about his time in the subconscious."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_5,How did you stand it?,"Scene: On a shore, Ariadne speaks with Cobb about his experience in the subconscious."
210、EXT. SNOW-COVERED MOUNTAINS - DAY,doc_209_chunk_0,What was that?,"Scene: Inside the complex, Ariadne speaks to Cobb after witnessing an avalanche cloud."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_4,"The truth that as we go deeper into Fischer, we're also going deeper into you-and I'm not sure we're going to like what we find there.",
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_4,"This is not just about Fischer, it's about you. Tell me what happened to you and Mal.",
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_3,Limbo?,Scene: Team discusses the risks of dying in the dream; Ariadne asks about Limbo after Cobb explains the consequence of death in the dream.
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_3,What's down there?,Scene: Team discusses the risks of dying in the dream; Ariadne asks Arthur what exists in Limbo.
109、INT. CAGE STYLE ELEVATOR - DAY,doc_108_chunk_0,Why do you do this to yourself?,"Scene: In an elevator rising to a beach-like dreamscape, Ariadne speaks to Cobb about his motivations for dreaming."
109、INT. CAGE STYLE ELEVATOR - DAY,doc_108_chunk_0,Is it so important to dream?,"Scene: On a beach in a dream, Ariadne questions Cobb about the significance of dreaming while observing his family."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_0,He's in a lot of pain.,"Scene: In a dream level, Ariadne informs Cobb about Saito's condition while they prepare to go deeper into the dream."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_0,And if he dies?,"Scene: In a dream level, Ariadne quietly asks Cobb about the consequences if Saito dies in the dream."
230、INT. ANTECHAMBER - CONTINUOUS,doc_229_chunk_0,"Fischer, look out!-",Antechamber scene: Ariadne warns Fischer over radio as Mal appears behind him.
"218、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_217_chunk_2,"These projections, they're part of his subconscious?",
"218、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_217_chunk_2,Are you destroying those parts of his mind?,
242、EXT. COAST (LIMBO)- DAY,doc_241_chunk_1,You built all this?,
242、EXT. COAST (LIMBO)- DAY,doc_241_chunk_1,It's incredible.,
"251、INT. KITCHEN, PENTHOUSE (LIMBO) - DAY",doc_250_chunk_2,Why?,
238、EXT. COAST (LIMBO) - DAY,doc_237_chunk_0,This is your world?,"Scene: In shallow water near decaying urban buildings, Ariadne speaks to Cobb about the environment around them."
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_2,When were you trapped in Limbo?,Scene with Cobb and Saito present; Ariadne is questioning Cobb about his past experience in Limbo.
"134、INT. OFFICE, WAREHOUSE - CONTINUOUS",doc_133_chunk_2,"Cobb, you might have convinced the rest of this team to carry on with the job. But they don't know the truth.",Scene with Cobb and Saito present; Ariadne confronts Cobb about withholding the truth from the team.
242、EXT. COAST (LIMBO)- DAY,doc_241_chunk_2,From what city?,"Scene: A peculiar square with eclectic buildings; Ariadne is speaking to Cobb, questioning the origin of the neighborhood."
"227、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_226_chunk_0,"Fischer, stop! It's a trap!-","Scene involving a skylight and main windows; Ariadne speaks over the radio to Fischer, warning him about a trap."
"229、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_228_chunk_0,"Cobb, that's not really her-",Scene where Cobb is about to fire and sees Mal; Ariadne uses binoculars and speaks to Cobb about Mal's identity.
115、INT. WORKSHOP - NIGHT,doc_114_chunk_1,I'm coming with you.,"Scene: Location not specified, Ariadne speaks to Cobb about joining him, topic is her involvement in the mission."
115、INT. WORKSHOP - NIGHT,doc_114_chunk_1,The team needs someone in there who understands what you're struggling with. If you don't want it to be me then you need to show Arthur what I just saw.,"Scene: Location not specified, Ariadne speaks to Cobb about her role in the team and his emotional struggles."
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_0,Mal killed Fischer-,"Scene in which Eames, Cobb, and Ariadne are present after Fischer and Mal are found; Ariadne explains what happened to Eames upon his arrival."
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_3,Can I trust you to do what's needed? Mal's down there-,
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_3,How do you know?,
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_2,"Get him in there-(points to doors) Then, as the music ends you blow the hospital and we all ride the kick back up through the layers.",
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_2,We have to try!,
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_1,There's still a way: We follow Fischer down-,
"237、INT. ANTECHAMBER, HOSPITAL CORRIDOR - DAY",doc_236_chunk_1,"Down there they'll be enough time. We'll find him-soon as you hear Arthur's music start, you use the defibrillator to revive him-we give him his own early kick from below.",
"259、EXT. PORCH, PENTHOUSE (LIMBO) - DAY",doc_258_chunk_1,You can't stay here to be with her-,"Scene where Cobb expresses desire to stay with Mal; Ariadne responds, indicating the conversation is about Cobb's attachment to Mal in a dream world."
61、EXT. PARISIAN CAFE - DAY,doc_60_chunk_6,"If it's just a dream, why are you covering your",
177、EXT. SNOW-COVERED MOUNTAINS - DAY,doc_176_chunk_0,Cobb? Cobb?,"Scene on a cliff: Ariadne is speaking to Cobb, trying to get his attention."
177、EXT. SNOW-COVERED MOUNTAINS - DAY,doc_176_chunk_0,What's down there?,"Scene on a cliff: Ariadne is speaking to Cobb, asking about the objective below."
177、EXT. SNOW-COVERED MOUNTAINS - DAY,doc_176_chunk_0,I meant what's down there for you?,"Scene on a cliff: Ariadne is speaking to Cobb, asking about his personal connection to the objective."
63、EXT. SAME PARISIAN STREET - DAY,doc_62_chunk_3,"It's something, isn't it?",
244、INT. SKYSCRAPER ELEVATOR (LIMBO) - CONTINUOUS,doc_243_chunk_0,How do we send Fischer back?,Scene in an elevator; Ariadne is speaking with Cobb about sending Fischer back.
244、INT. SKYSCRAPER ELEVATOR (LIMBO) - CONTINUOUS,doc_243_chunk_0,What?,"Scene in an elevator; Ariadne is speaking with Cobb, reacting to his mention of a 'kick'."
61、EXT. PARISIAN CAFE - DAY,doc_60_chunk_3,"But all the textures of real life- the stone, the fabric. cars... people... your mind can't create all this.",
"231、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_230_chunk_0,"Cobb, she's just a projection. Fischer... he's real.",Scene involving a confrontation with Mal and Fischer; Ariadne speaks to Cobb about the nature of the characters in the dream.
"231、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_230_chunk_0,Eames? Get to the anteroom now!,Ariadne shouts to Eames during a tense moment as they prepare to move to the anteroom.
173、INT. ROOM 491 - CONTINUOUS,doc_172_chunk_0,Do you use a timer?,"Scene: In a building, Ariadne speaks with Arthur as he sets explosives on the ceiling; topic is the timing mechanism for the explosion."
173、INT. ROOM 491 - CONTINUOUS,doc_172_chunk_0,How will you know?,"Scene: In a building, Ariadne speaks with Arthur as he explains the timing of the kick; topic is detecting when Yusuf's kick begins."
173、INT. ROOM 491 - CONTINUOUS,doc_172_chunk_0,Why not?,"Scene: In a building, Ariadne questions Arthur about why he can't drop the team during free fall; topic is the limitations of gravity during the kick."
"259、EXT. PORCH, PENTHOUSE (LIMBO) - DAY",doc_258_chunk_3,No!,"Scene: On a rooftop, Ariadne reacts to Mal attempting to strike with a knife."
"259、EXT. PORCH, PENTHOUSE (LIMBO) - DAY",doc_258_chunk_3,Improvising.,"Scene: On a rooftop, Ariadne responds to Cobb after shooting Mal and kicking Fischer off the roof."
63、EXT. SAME PARISIAN STREET - DAY,doc_62_chunk_1,How else do you do it?,
63、EXT. SAME PARISIAN STREET - DAY,doc_62_chunk_1,Then you break in and steal it.,
61、EXT. PARISIAN CAFE - DAY,doc_60_chunk_5,Oh my God. We're dreaming.,"Scene: In a restaurant that begins to fragment, Ariadne reacts to realizing they are in a dream, speaking with Cobb during a shared dreaming lesson."
61、EXT. PARISIAN CAFE - DAY,doc_60_chunk_1,How?,"Scene: Cobb and Ariadne are discussing how the mind works in dreams; Cobb explains the process of creating and perceiving a dream world, and Ariadne asks a question about the method."
63、EXT. SAME PARISIAN STREET - DAY,doc_62_chunk_2,"I love the concrete sense of things- (stamps foot) Real weight, you know? I thought a dream space would be all about the visual, but it's the feel of",
56、INT. CORRIDOR - LATER,doc_55_chunk_0,Pleased to meet you.,"Scene: After a lecture, Ariadne meets Cobb introduced by Miles."
56、INT. CORRIDOR - LATER,doc_55_chunk_0,A work placement?,"Scene: After a lecture, Ariadne speaks with Miles and Cobb about a job offer."
199、EXT. SNOW-COVERED MOUNTAINS - CONTINUOUS,doc_198_chunk_0,Yes.,
199、EXT. SNOW-COVERED MOUNTAINS - CONTINUOUS,doc_198_chunk_0,I shouldn't tell you. If Mal-,
199、EXT. SNOW-COVERED MOUNTAINS - CONTINUOUS,doc_198_chunk_0,"Utility closets, trap doors...",
199、EXT. SNOW-COVERED MOUNTAINS - CONTINUOUS,doc_198_chunk_0,Ducts. He added an air duct system-it doesn't follow the maze. They can use it to go straight from the outer walls to the upper tower.,
199、EXT. SNOW-COVERED MOUNTAINS - CONTINUOUS,doc_198_chunk_0,Saito?,"Ariadne speaks into a radio, addressing Saito."
64、INT. WORKSHOP-DAY,doc_63_chunk_1,That's some subconscious you've,
110、INT. CAGE STYLE ELEVATOR - CONTINUOUS,doc_109_chunk_0,"But these aren't just dreams, are they? They're memories. You said never to use memories.",Scene: Inside an elevator; Ariadne speaks to Cobb about the nature of the dreams and memories being used.
110、INT. CAGE STYLE ELEVATOR - CONTINUOUS,doc_109_chunk_0,You're keeping her alive.,Scene: Inside an elevator; Ariadne speaks to Cobb about his emotional attachment to his wife.
110、INT. CAGE STYLE ELEVATOR - CONTINUOUS,doc_109_chunk_0,You can't let her go.,Scene: Inside an elevator; Ariadne confronts Cobb about his inability to move on from his past.
110、INT. CAGE STYLE ELEVATOR - CONTINUOUS,doc_109_chunk_0,What've you got buried down there that you regret?,"Scene: Inside an elevator; Ariadne speaks to Cobb as she selects a floor, questioning his regrets."
"218、INT. TOP ROOM, SOUTH TOWER, HOSPITAL COMPLEX - CONTINUOUS",doc_217_chunk_0,That's the antechamber outside the strongroom.,"Scene: In a tower, Ariadne points out the antechamber to Cobb while discussing the layout."
